institution_id,reference_profile,n_oob_predictions,ensemble_dominant_profile,ensemble_dominant_probability,reference_profile_probability,profile_1_probability,profile_2_probability,normalized_entropy,membership_margin,within_reference_profile_consensus,cross_profile_leakage,consensus_gap,family_consistency,minimum_family_dominant_probability,family_disagreement_count,ensemble_agrees_with_reference,certainty_class
INST_023,1,196,2,0.7602040816326531,0.23979591836734693,0.23979591836734693,0.7602040816326531,0.7947007340248459,0.5204081632653061,0.2824392686140726,0.769259547608051,-0.48682027899397845,0.13043478260869565,0.625,0,0,BOUNDARY
INST_007,1,195,1,0.5743589743589743,0.5743589743589743,0.5743589743589743,0.4256410256410256,0.9839866005586037,0.14871794871794863,0.5901438535641511,0.4531908032603334,0.1369530503038177,0.38636363636363635,0.5925925925925926,2,1,BOUNDARY
INST_064,1,222,1,0.5900900900900901,0.5900900900900901,0.5900900900900901,0.4099099099099099,0.9764531390551179,0.18018018018018012,0.6235171888494023,0.4525778590264531,0.17093932982294924,0.3389830508474576,0.5087719298245614,2,1,BOUNDARY
INST_066,1,189,1,0.6349206349206349,0.6349206349206349,0.6349206349206349,0.36507936507936506,0.9468188316776024,0.26984126984126977,0.6614515582758825,0.41360761055250517,0.24784394772337737,0.42857142857142855,0.5178571428571429,2,1,BOUNDARY
INST_019,1,203,1,0.6945812807881774,0.6945812807881774,0.6945812807881774,0.3054187192118227,0.8878141835289391,0.38916256157635476,0.7112715070757656,0.3490408002594891,0.3622307068162765,0.5531914893617021,0.5531914893617021,0,1,BOUNDARY
INST_025,1,193,1,0.7616580310880829,0.7616580310880829,0.7616580310880829,0.23834196891191708,0.7922721426071054,0.5233160621761659,0.7256752822378021,0.2631939242364073,0.4624813580013948,0.5789473684210527,0.5789473684210527,0,1,BOUNDARY
INST_073,1,182,1,0.7967032967032966,0.7967032967032966,0.7967032967032966,0.2032967032967033,0.7284727029435499,0.5934065934065933,0.802626478879816,0.22466541240169177,0.5779610664781242,0.6938775510204082,0.6938775510204082,0,1,HALO
INST_052,1,199,1,0.8190954773869347,0.8190954773869347,0.8190954773869347,0.18090452261306533,0.6820518105356644,0.6381909547738693,0.8298516025823751,0.2026078969190424,0.6272437056633327,0.6730769230769231,0.6730769230769231,0,1,HALO
INST_033,1,179,1,0.8491620111731844,0.8491620111731844,0.8491620111731844,0.15083798882681565,0.6119334051869456,0.6983240223463687,0.844375489831885,0.18568109789401416,0.6586943919378709,0.7209302325581395,0.7209302325581395,0,1,HALO
INST_003,1,210,1,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.14285714285714285,0.5916727785823274,0.7142857142857142,0.8126118176417508,0.14855961530474285,0.664052202337008,0.7115384615384616,0.7115384615384616,0,1,HALO
INST_077,1,225,1,0.8622222222222222,0.8622222222222222,0.8622222222222222,0.13777777777777778,0.5783892934112775,0.7244444444444444,0.8557311329646798,0.14294517398976303,0.7127859589749168,0.7818181818181819,0.7818181818181819,0,1,HALO
INST_018,1,181,1,0.8674033149171271,0.8674033149171271,0.8674033149171271,0.13259668508287292,0.5645168396064475,0.7348066298342542,0.8700109266363939,0.1544126053588512,0.7155983212775427,0.7959183673469388,0.7959183673469388,0,1,HALO
INST_042,1,190,1,0.868421052631579,0.868421052631579,0.868421052631579,0.13157894736842105,0.5617526078313283,0.736842105263158,0.8578853809455813,0.13513790259146294,0.7227474783541183,0.7659574468085106,0.7659574468085106,0,1,HALO
INST_009,1,197,1,0.8730964467005076,0.8730964467005076,0.8730964467005076,0.12690355329949238,0.5488845983745034,0.7461928934010151,0.85630210194783,0.12609583766540447,0.7302062642824255,0.7608695652173914,0.7608695652173914,0,1,HALO
INST_015,1,202,1,0.8762376237623762,0.8762376237623762,0.8762376237623762,0.12376237623762376,0.5400798634000192,0.7524752475247525,0.8739340667572629,0.14265929013590606,0.7312747766213569,0.8222222222222222,0.8222222222222222,0,1,HALO
