candidate_id,institution_id,reference_profile,target_profile,certainty_class,rank,total_cost,ensemble_support,baseline_target_support_inductive,baseline_source_support_inductive,ensemble_support_gain,desired_flip_members,retained_target_members,reverse_loss_members,remained_source_members,conditional_flip_rate_among_baseline_source,target_retention_rate_among_baseline_target,reverse_loss_rate_among_baseline_target,net_member_gain_count,baseline_target_support_R0_KMEANS,cf_target_support_R0_KMEANS,support_gain_R0_KMEANS,conditional_flip_rate_R0_KMEANS,baseline_target_support_R0_WARD,cf_target_support_R0_WARD,support_gain_R0_WARD,conditional_flip_rate_R0_WARD,baseline_target_support_R1_PCA85_KMEANS,cf_target_support_R1_PCA85_KMEANS,support_gain_R1_PCA85_KMEANS,conditional_flip_rate_R1_PCA85_KMEANS,baseline_target_support_R1_PCA85_WARD,cf_target_support_R1_PCA85_WARD,support_gain_R1_PCA85_WARD,conditional_flip_rate_R1_PCA85_WARD
INST_007__CF01,INST_007,1,2,BOUNDARY,1,3.2499945000122503,0.9989837398373984,0.4105691056910569,0.5894308943089431,0.5884146341463414,579,404,0,1,0.9982758620689656,1.0,0.0,579,0.608,1.0,0.392,1.0,0.1885245901639344,0.9959016393442623,0.8073770491803279,0.9949494949494949,0.62,1.0,0.38,1.0,0.2125,1.0,0.7875,1.0
INST_007__CF02,INST_007,1,2,BOUNDARY,2,3.24999500001,0.9878048780487804,0.4105691056910569,0.5894308943089431,0.5772357723577235,568,404,0,12,0.9793103448275862,1.0,0.0,568,0.608,0.996,0.388,0.9897959183673469,0.1885245901639344,0.9754098360655737,0.7868852459016393,0.9696969696969697,0.62,1.0,0.38,1.0,0.2125,0.9791666666666666,0.7666666666666666,0.9735449735449735
INST_007__CF03,INST_007,1,2,BOUNDARY,3,3.3333286388986063,0.9969512195121952,0.4105691056910569,0.5894308943089431,0.5863821138211383,577,404,0,3,0.9948275862068966,1.0,0.0,577,0.608,1.0,0.392,1.0,0.1885245901639344,0.9918032786885246,0.8032786885245902,0.98989898989899,0.62,1.0,0.38,1.0,0.2125,0.9958333333333333,0.7833333333333333,0.9947089947089947
INST_007__CF04,INST_007,1,2,BOUNDARY,4,3.333328888897481,0.9867886178861788,0.4105691056910569,0.5894308943089431,0.5762195121951219,567,404,0,13,0.9775862068965517,1.0,0.0,567,0.608,0.992,0.384,0.9795918367346939,0.1885245901639344,0.9754098360655737,0.7868852459016393,0.9696969696969697,0.62,1.0,0.38,1.0,0.2125,0.9791666666666666,0.7666666666666666,0.9735449735449735
INST_007__CF05,INST_007,1,2,BOUNDARY,5,3.333329138896606,0.9928861788617886,0.4105691056910569,0.5894308943089431,0.5823170731707317,573,404,0,7,0.9879310344827587,1.0,0.0,573,0.608,0.992,0.384,0.9795918367346939,0.1885245901639344,0.9877049180327869,0.7991803278688525,0.9848484848484849,0.62,1.0,0.38,1.0,0.2125,0.9916666666666667,0.7791666666666667,0.9894179894179894
INST_019__CF01,INST_019,1,2,BOUNDARY,1,3.249995250009125,0.9796747967479674,0.3851626016260163,0.6148373983739838,0.5945121951219512,585,379,0,20,0.9669421487603306,1.0,0.0,585,0.608,0.972,0.364,0.9285714285714286,0.1762295081967213,0.9713114754098361,0.7950819672131147,0.9651741293532339,0.564,0.996,0.43200000000000005,0.9908256880733946,0.17916666666666667,0.9791666666666666,0.7999999999999999,0.9746192893401016
INST_019__CF02,INST_019,1,2,BOUNDARY,2,3.8333281388986062,0.9532520325203252,0.3851626016260163,0.6148373983739838,0.568089430894309,559,379,0,46,0.9239669421487603,1.0,0.0,559,0.608,0.944,0.33599999999999997,0.8571428571428571,0.1762295081967213,0.9344262295081968,0.7581967213114754,0.9203980099502488,0.564,0.988,0.42400000000000004,0.9724770642201835,0.17916666666666667,0.9458333333333333,0.7666666666666666,0.934010152284264
INST_019__CF03,INST_019,1,2,BOUNDARY,3,3.99999400001225,0.9989837398373984,0.3851626016260163,0.6148373983739838,0.6138211382113821,604,379,0,1,0.9983471074380166,1.0,0.0,604,0.608,1.0,0.392,1.0,0.1762295081967213,0.9959016393442623,0.819672131147541,0.9950248756218906,0.564,1.0,0.43600000000000005,1.0,0.17916666666666667,1.0,0.8208333333333333,1.0
INST_019__CF04,INST_019,1,2,BOUNDARY,4,3.999994250011125,0.9979674796747968,0.3851626016260163,0.6148373983739838,0.6128048780487805,603,379,0,2,0.996694214876033,1.0,0.0,603,0.608,1.0,0.392,1.0,0.1762295081967213,0.9959016393442623,0.819672131147541,0.9950248756218906,0.564,1.0,0.43600000000000005,1.0,0.17916666666666667,0.9958333333333333,0.8166666666666667,0.9949238578680203
INST_022__CF01,INST_022,2,1,CORE,1,6.4999870000325,0.4563008130081301,0.0010162601626016261,0.9989837398373984,0.45528455284552843,449,0,1,534,0.45676500508647,0.0,1.0,448,0.0,0.32,0.32,0.32,0.004098360655737705,0.5655737704918032,0.5614754098360656,0.5679012345679012,0.0,0.348,0.348,0.348,0.0,0.6,0.6,0.6
