candidate_id,institution_id,reference_profile,target_profile,certainty_class,rank,total_cost,ensemble_support,baseline_target_support_inductive,baseline_source_support_inductive,ensemble_support_gain,desired_flip_members,retained_target_members,reverse_loss_members,remained_source_members,conditional_flip_rate_among_baseline_source,target_retention_rate_among_baseline_target,reverse_loss_rate_among_baseline_target,net_member_gain_count,baseline_target_support_R0_KMEANS,cf_target_support_R0_KMEANS,support_gain_R0_KMEANS,conditional_flip_rate_R0_KMEANS,baseline_target_support_R0_WARD,cf_target_support_R0_WARD,support_gain_R0_WARD,conditional_flip_rate_R0_WARD,baseline_target_support_R1_PCA85_KMEANS,cf_target_support_R1_PCA85_KMEANS,support_gain_R1_PCA85_KMEANS,conditional_flip_rate_R1_PCA85_KMEANS,baseline_target_support_R1_PCA85_WARD,cf_target_support_R1_PCA85_WARD,support_gain_R1_PCA85_WARD,conditional_flip_rate_R1_PCA85_WARD,robustly_reachable_tau_0.90,selection_basis
INST_007__CF01,INST_007,1,2,BOUNDARY,1,3.2499945000122503,0.9989837398373984,0.4105691056910569,0.5894308943089431,0.5884146341463414,579,404,0,1,0.9982758620689656,1.0,0.0,579,0.608,1.0,0.392,1.0,0.1885245901639344,0.9959016393442623,0.8073770491803279,0.9949494949494949,0.62,1.0,0.38,1.0,0.2125,1.0,0.7875,1.0,True,PRIMARY_ROBUST_BEST
INST_019__CF01,INST_019,1,2,BOUNDARY,1,3.249995250009125,0.9796747967479674,0.3851626016260163,0.6148373983739838,0.5945121951219512,585,379,0,20,0.9669421487603306,1.0,0.0,585,0.608,0.972,0.364,0.9285714285714286,0.1762295081967213,0.9713114754098361,0.7950819672131147,0.9651741293532339,0.564,0.996,0.43200000000000005,0.9908256880733946,0.17916666666666667,0.9791666666666666,0.7999999999999999,0.9746192893401016,True,PRIMARY_ROBUST_BEST
INST_022__CF02,INST_022,2,1,CORE,2,6.99998550003725,0.4776422764227642,0.0010162601626016261,0.9989837398373984,0.4766260162601626,470,0,1,513,0.47812817904374366,0.0,1.0,469,0.0,0.348,0.348,0.348,0.004098360655737705,0.6024590163934426,0.5983606557377049,0.6049382716049383,0.0,0.36,0.36,0.36,0.0,0.6083333333333333,0.6083333333333333,0.6083333333333333,False,MAX_SUPPORT_NONROBUST
INST_023__CF01,INST_023,1,2,BOUNDARY,1,1.499998000004,0.9522357723577236,0.7378048780487805,0.2621951219512195,0.21443089430894313,211,726,0,47,0.8178294573643411,1.0,0.0,211,0.852,0.956,0.10399999999999998,0.7027027027027027,0.569672131147541,0.9139344262295082,0.34426229508196715,0.8,0.908,0.992,0.08399999999999996,0.9130434782608695,0.6125,0.9458333333333333,0.33333333333333326,0.8602150537634409,True,PRIMARY_ROBUST_BEST
INST_025__CF01,INST_025,1,2,BOUNDARY,1,4.499993000013999,0.9979674796747968,0.25914634146341464,0.7408536585365854,0.7388211382113821,727,255,0,2,0.9972565157750343,1.0,0.0,727,0.368,1.0,0.632,1.0,0.10655737704918032,0.9959016393442623,0.889344262295082,0.9954128440366973,0.428,1.0,0.5720000000000001,1.0,0.125,0.9958333333333333,0.8708333333333333,0.9952380952380953,True,PRIMARY_ROBUST_BEST
INST_027__CF03,INST_027,2,1,CORE,3,7.499983250045126,0.3607723577235772,0.0010162601626016261,0.9989837398373984,0.3597560975609756,354,1,0,629,0.36012207527975587,1.0,0.0,354,0.0,0.252,0.252,0.252,0.004098360655737705,0.5,0.4959016393442623,0.49794238683127573,0.0,0.196,0.196,0.196,0.0,0.5041666666666667,0.5041666666666667,0.5041666666666667,False,MAX_SUPPORT_NONROBUST
INST_030__CF01,INST_030,1,2,CORE,1,6.999988000024,0.9796747967479674,0.049796747967479675,0.9502032520325203,0.9298780487804877,915,49,0,20,0.9786096256684492,1.0,0.0,915,0.088,0.972,0.884,0.9692982456140351,0.0,0.9631147540983607,0.9631147540983607,0.9631147540983607,0.096,1.0,0.904,1.0,0.0125,0.9833333333333333,0.9708333333333333,0.9831223628691983,True,PRIMARY_ROBUST_BEST
INST_033__CF01,INST_033,1,2,HALO,1,4.4999910000242505,0.988821138211382,0.18089430894308944,0.8191056910569106,0.8079268292682926,795,178,0,11,0.9863523573200993,1.0,0.0,795,0.316,0.996,0.6799999999999999,0.9941520467836257,0.0778688524590164,0.9836065573770492,0.9057377049180327,0.9822222222222222,0.248,0.992,0.744,0.9893617021276596,0.075,0.9833333333333333,0.9083333333333333,0.9819819819819819,True,PRIMARY_ROBUST_BEST
INST_034__CF01,INST_034,2,1,CORE,1,5.499989750024626,0.4573170731707317,0.0010162601626016261,0.9989837398373984,0.4563008130081301,449,1,0,534,0.45676500508647,1.0,0.0,449,0.0,0.296,0.296,0.296,0.004098360655737705,0.6229508196721312,0.6188524590163935,0.6213991769547325,0.0,0.296,0.296,0.296,0.0,0.625,0.625,0.625,False,MAX_SUPPORT_NONROBUST
INST_036__CF01,INST_036,2,1,CORE,1,6.499986250035376,0.4186991869918699,0.0010162601626016261,0.9989837398373984,0.4176829268292683,411,1,0,572,0.41810783316378436,1.0,0.0,411,0.0,0.3,0.3,0.3,0.004098360655737705,0.5860655737704918,0.5819672131147542,0.5843621399176955,0.0,0.276,0.276,0.276,0.0,0.5208333333333334,0.5208333333333334,0.5208333333333334,False,MAX_SUPPORT_NONROBUST
INST_037__CF01,INST_037,2,1,CORE,1,8.499980000054501,0.3922764227642276,0.0010162601626016261,0.9989837398373984,0.391260162601626,385,1,0,598,0.3916581892166836,1.0,0.0,385,0.0,0.28,0.28,0.28,0.004098360655737705,0.5860655737704918,0.5819672131147542,0.5843621399176955,0.0,0.216,0.216,0.216,0.0,0.49583333333333335,0.49583333333333335,0.49583333333333335,False,MAX_SUPPORT_NONROBUST
INST_039__CF03,INST_039,2,1,CORE,3,4.499990750025376,0.4105691056910569,0.0010162601626016261,0.9989837398373984,0.4095528455284553,403,1,0,580,0.40996948118006105,1.0,0.0,403,0.0,0.264,0.264,0.264,0.004098360655737705,0.610655737704918,0.6065573770491803,0.6090534979423868,0.0,0.248,0.248,0.248,0.0,0.5291666666666667,0.5291666666666667,0.5291666666666667,False,MAX_SUPPORT_NONROBUST
INST_054__CF01,INST_054,2,1,CORE,1,4.9999905000235,0.4278455284552845,0.0010162601626016261,0.9989837398373984,0.4268292682926829,421,0,1,562,0.42828077314343843,0.0,1.0,420,0.0,0.3,0.3,0.3,0.004098360655737705,0.5573770491803278,0.5532786885245902,0.5596707818930041,0.0,0.316,0.316,0.316,0.0,0.5458333333333333,0.5458333333333333,0.5458333333333333,False,MAX_SUPPORT_NONROBUST
INST_064__CF02,INST_064,1,2,BOUNDARY,2,2.499996000008,0.9949186991869918,0.4695121951219512,0.5304878048780488,0.5254065040650406,517,462,0,5,0.9904214559386973,1.0,0.0,517,0.684,0.992,0.30799999999999994,0.9746835443037974,0.23770491803278687,0.9877049180327869,0.75,0.9838709677419355,0.676,1.0,0.32399999999999995,1.0,0.26666666666666666,1.0,0.7333333333333334,1.0,True,PRIMARY_ROBUST_BEST
INST_065__CF03,INST_065,2,1,CORE,3,5.249989000028,0.3556910569105691,0.0010162601626016261,0.9989837398373984,0.3546747967479675,349,1,0,634,0.3550356052899288,1.0,0.0,349,0.0,0.2,0.2,0.2,0.004098360655737705,0.5409836065573771,0.5368852459016394,0.5390946502057613,0.0,0.148,0.148,0.148,0.0,0.5458333333333333,0.5458333333333333,0.5458333333333333,False,MAX_SUPPORT_NONROBUST
INST_066__CF02,INST_066,1,2,BOUNDARY,2,2.499996000008,0.9949186991869918,0.4695121951219512,0.5304878048780488,0.5254065040650406,517,462,0,5,0.9904214559386973,1.0,0.0,517,0.684,0.992,0.30799999999999994,0.9746835443037974,0.23770491803278687,0.9877049180327869,0.75,0.9838709677419355,0.676,1.0,0.32399999999999995,1.0,0.26666666666666666,1.0,0.7333333333333334,1.0,True,PRIMARY_ROBUST_BEST
