candidate_id,institution_id,reference_profile,target_profile,certainty_class,rank,is_exact_global_minimum,weighted_l1,l0,total_cost,plausibility_distance,target_margin,changed_features_json,signed_items_json,changes_json,ensemble_support,support_R0_KMEANS,support_R0_WARD,support_R1_PCA85_KMEANS,support_R1_PCA85_WARD,minimum_family_support,maximum_family_support,family_support_range,valid_tau_0.80,valid_tau_0.90,valid_tau_0.95
INST_007__CF01,INST_007,1,2,BOUNDARY,1,True,2.4999945000122503,3,3.2499945000122503,0.7911358538616302,1.397906191889414,"[""digital_tool_variety_constraint"", ""administrative_disorganization_constraint"", ""system_change_resistance_constraint""]","[""digital_tool_variety_constraint↑"", ""administrative_disorganization_constraint↓"", ""system_change_resistance_constraint↓""]","[{""feature"": ""digital_tool_variety_constraint"", ""from"": 0.4, ""to"": 0.8, ""delta"": 0.4, ""signed_direction"": ""UP"", ""actionability_class"": ""DIRECTLY_MODIFIABLE"", ""realistic_improvement_direction"": ""DECREASE_FRICTION""}, {""feature"": ""administrative_disorganization_constraint"", ""from"": 0.5, ""to"": 0.25, ""delta"": -0.25, ""signed_direction"": ""DOWN"", ""actionability_class"": ""INDIRECTLY_MODIFIABLE"", ""realistic_improvement_direction"": ""DECREASE_FRICTION""}, {""feature"": ""system_change_resistance_constraint"", ""from"": 0.75, ""to"": 0.25, ""delta"": -0.5, ""signed_direction"": ""DOWN"", ""actionability_class"": ""INDIRECTLY_MODIFIABLE"", ""realistic_improvement_direction"": ""DECREASE_FRICTION""}]",0.9989837398373984,1.0,0.9959016393442623,1.0,1.0,0.9959016393442623,1.0,0.004098360655737654,True,True,True
INST_007__CF02,INST_007,1,2,BOUNDARY,2,False,2.49999500001,3,3.24999500001,0.7830682000415932,0.8947278963984049,"[""staffing_constraint_score"", ""administrative_disorganization_constraint"", ""system_change_resistance_constraint""]","[""staffing_constraint_score↓"", ""administrative_disorganization_constraint↓"", ""system_change_resistance_constraint↓""]","[{""feature"": ""staffing_constraint_score"", ""from"": 0.75, ""to"": 0.5, ""delta"": -0.25, ""signed_direction"": ""DOWN"", ""actionability_class"": ""CONTEXTUALLY_MODIFIABLE"", ""realistic_improvement_direction"": ""DECREASE_FRICTION""}, {""feature"": ""administrative_disorganization_constraint"", ""from"": 0.5, ""to"": 0.0, ""delta"": -0.5, ""signed_direction"": ""DOWN"", ""actionability_class"": ""INDIRECTLY_MODIFIABLE"", ""realistic_improvement_direction"": ""DECREASE_FRICTION""}, {""feature"": ""system_change_resistance_constraint"", ""from"": 0.75, ""to"": 0.25, ""delta"": -0.5, ""signed_direction"": ""DOWN"", ""actionability_class"": ""INDIRECTLY_MODIFIABLE"", ""realistic_improvement_direction"": ""DECREASE_FRICTION""}]",0.9878048780487805,0.996,0.9754098360655737,1.0,0.9791666666666666,0.9754098360655737,1.0,0.024590163934426257,True,True,True
INST_007__CF03,INST_007,1,2,BOUNDARY,3,False,2.3333286388986063,4,3.3333286388986063,0.7858382132159427,1.159844543726802,"[""training_deficit_score"", ""digital_tool_variety_constraint"", ""administrative_disorganization_constraint"", ""system_change_resistance_constraint""]","[""training_deficit_score↓"", ""digital_tool_variety_constraint↑"", ""administrative_disorganization_constraint↓"", ""system_change_resistance_constraint↓""]","[{""feature"": ""training_deficit_score"", ""from"": 0.75, ""to"": 0.5, ""delta"": -0.25, ""signed_direction"": ""DOWN"", ""actionability_class"": ""DIRECTLY_MODIFIABLE"", ""realistic_improvement_direction"": ""DECREASE_FRICTION""}, {""feature"": ""digital_tool_variety_constraint"", ""from"": 0.4, ""to"": 0.6, ""delta"": 0.19999999999999996, ""signed_direction"": ""UP"", ""actionability_class"": ""DIRECTLY_MODIFIABLE"", ""realistic_improvement_direction"": ""DECREASE_FRICTION""}, {""feature"": ""administrative_disorganization_constraint"", ""from"": 0.5, ""to"": 0.25, ""delta"": -0.25, ""signed_direction"": ""DOWN"", ""actionability_class"": ""INDIRECTLY_MODIFIABLE"", ""realistic_improvement_direction"": ""DECREASE_FRICTION""}, {""feature"": ""system_change_resistance_constraint"", ""from"": 0.75, ""to"": 0.25, ""delta"": -0.5, ""signed_direction"": ""DOWN"", ""actionability_class"": ""INDIRECTLY_MODIFIABLE"", ""realistic_improvement_direction"": ""DECREASE_FRICTION""}]",0.9969512195121951,1.0,0.9918032786885246,1.0,0.9958333333333333,0.9918032786885246,1.0,0.008196721311475419,True,True,True
INST_007__CF04,INST_007,1,2,BOUNDARY,4,False,2.333328888897481,4,3.333328888897481,0.7830682000415932,0.9366406785634838,"[""training_deficit_score"", ""staffing_constraint_score"", ""administrative_disorganization_constraint"", ""system_change_resistance_constraint""]","[""training_deficit_score↓"", ""staffing_constraint_score↓"", ""administrative_disorganization_constraint↓"", ""system_change_resistance_constraint↓""]","[{""feature"": ""training_deficit_score"", ""from"": 0.75, ""to"": 0.5, ""delta"": -0.25, ""signed_direction"": ""DOWN"", ""actionability_class"": ""DIRECTLY_MODIFIABLE"", ""realistic_improvement_direction"": ""DECREASE_FRICTION""}, {""feature"": ""staffing_constraint_score"", ""from"": 0.75, ""to"": 0.5, ""delta"": -0.25, ""signed_direction"": ""DOWN"", ""actionability_class"": ""CONTEXTUALLY_MODIFIABLE"", ""realistic_improvement_direction"": ""DECREASE_FRICTION""}, {""feature"": ""administrative_disorganization_constraint"", ""from"": 0.5, ""to"": 0.25, ""delta"": -0.25, ""signed_direction"": ""DOWN"", ""actionability_class"": ""INDIRECTLY_MODIFIABLE"", ""realistic_improvement_direction"": ""DECREASE_FRICTION""}, {""feature"": ""system_change_resistance_constraint"", ""from"": 0.75, ""to"": 0.25, ""delta"": -0.5, ""signed_direction"": ""DOWN"", ""actionability_class"": ""INDIRECTLY_MODIFIABLE"", ""realistic_improvement_direction"": ""DECREASE_FRICTION""}]",0.9867886178861789,0.992,0.9754098360655737,1.0,0.9791666666666666,0.9754098360655737,1.0,0.024590163934426257,True,True,True
INST_007__CF05,INST_007,1,2,BOUNDARY,5,False,2.333329138896606,4,3.333329138896606,0.7817045892617303,1.2045895700895488,"[""training_deficit_score"", ""administrative_disorganization_constraint"", ""recording_system_constraint"", ""system_change_resistance_constraint""]","[""training_deficit_score↓"", ""administrative_disorganization_constraint↓"", ""recording_system_constraint↑"", ""system_change_resistance_constraint↓""]","[{""feature"": ""training_deficit_score"", ""from"": 0.75, ""to"": 0.5, ""delta"": -0.25, ""signed_direction"": ""DOWN"", ""actionability_class"": ""DIRECTLY_MODIFIABLE"", ""realistic_improvement_direction"": ""DECREASE_FRICTION""}, {""feature"": ""administrative_disorganization_constraint"", ""from"": 0.5, ""to"": 0.25, ""delta"": -0.25, ""signed_direction"": ""DOWN"", ""actionability_class"": ""INDIRECTLY_MODIFIABLE"", ""realistic_improvement_direction"": ""DECREASE_FRICTION""}, {""feature"": ""recording_system_constraint"", ""from"": 0.6666666666666666, ""to"": 1.0, ""delta"": 0.33333333333333337, ""signed_direction"": ""UP"", ""actionability_class"": ""DIRECTLY_MODIFIABLE"", ""realistic_improvement_direction"": ""DECREASE_FRICTION""}, {""feature"": ""system_change_resistance_constraint"", ""from"": 0.75, ""to"": 0.25, ""delta"": -0.5, ""signed_direction"": ""DOWN"", ""actionability_class"": ""INDIRECTLY_MODIFIABLE"", ""realistic_improvement_direction"": ""DECREASE_FRICTION""}]",0.9928861788617886,0.992,0.9877049180327869,1.0,0.9916666666666667,0.9877049180327869,1.0,0.012295081967213073,True,True,True
INST_019__CF01,INST_019,1,2,BOUNDARY,1,True,2.499995250009125,3,3.249995250009125,0.7547939736742857,0.8406281968183511,"[""internet_stability_constraint"", ""administrative_disorganization_constraint"", ""recording_system_constraint""]","[""internet_stability_constraint↑"", ""administrative_disorganization_constraint↓"", ""recording_system_constraint↑""]","[{""feature"": ""internet_stability_constraint"", ""from"": 0.25, ""to"": 0.5, ""delta"": 0.25, ""signed_direction"": ""UP"", ""actionability_class"": ""CONTEXTUALLY_MODIFIABLE"", ""realistic_improvement_direction"": ""DECREASE_FRICTION""}, {""feature"": ""administrative_disorganization_constraint"", ""from"": 1.0, ""to"": 0.25, ""delta"": -0.75, ""signed_direction"": ""DOWN"", ""actionability_class"": ""INDIRECTLY_MODIFIABLE"", ""realistic_improvement_direction"": ""DECREASE_FRICTION""}, {""feature"": ""recording_system_constraint"", ""from"": 0.6666666666666666, ""to"": 1.0, ""delta"": 0.33333333333333337, ""signed_direction"": ""UP"", ""actionability_class"": ""DIRECTLY_MODIFIABLE"", ""realistic_improvement_direction"": ""DECREASE_FRICTION""}]",0.9796747967479674,0.972,0.9713114754098361,0.996,0.9791666666666666,0.9713114754098361,0.996,0.024688524590163907,True,True,True
INST_019__CF02,INST_019,1,2,BOUNDARY,2,False,2.8333281388986062,4,3.8333281388986062,0.7421660694089016,0.6434039549800863,"[""training_deficit_score"", ""internet_stability_constraint"", ""administrative_disorganization_constraint"", ""recording_system_constraint""]","[""training_deficit_score↑"", ""internet_stability_constraint↑"", ""administrative_disorganization_constraint↓"", ""recording_system_constraint↑""]","[{""feature"": ""training_deficit_score"", ""from"": 0.25, ""to"": 0.5, ""delta"": 0.25, ""signed_direction"": ""UP"", ""actionability_class"": ""DIRECTLY_MODIFIABLE"", ""realistic_improvement_direction"": ""DECREASE_FRICTION""}, {""feature"": ""internet_stability_constraint"", ""from"": 0.25, ""to"": 0.5, ""delta"": 0.25, ""signed_direction"": ""UP"", ""actionability_class"": ""CONTEXTUALLY_MODIFIABLE"", ""realistic_improvement_direction"": ""DECREASE_FRICTION""}, {""feature"": ""administrative_disorganization_constraint"", ""from"": 1.0, ""to"": 0.25, ""delta"": -0.75, ""signed_direction"": ""DOWN"", ""actionability_class"": ""INDIRECTLY_MODIFIABLE"", ""realistic_improvement_direction"": ""DECREASE_FRICTION""}, {""feature"": ""recording_system_constraint"", ""from"": 0.6666666666666666, ""to"": 1.0, ""delta"": 0.33333333333333337, ""signed_direction"": ""UP"", ""actionability_class"": ""DIRECTLY_MODIFIABLE"", ""realistic_improvement_direction"": ""DECREASE_FRICTION""}]",0.9532520325203252,0.944,0.9344262295081968,0.988,0.9458333333333333,0.9344262295081968,0.988,0.05357377049180323,True,True,True
INST_019__CF03,INST_019,1,2,BOUNDARY,3,False,2.9999940000122503,4,3.99999400001225,0.7381141132280569,1.4153799869172778,"[""digital_tool_variety_constraint"", ""internet_stability_constraint"", ""administrative_disorganization_constraint"", ""recording_system_constraint""]","[""digital_tool_variety_constraint↑"", ""internet_stability_constraint↑"", ""administrative_disorganization_constraint↓"", ""recording_system_constraint↑""]","[{""feature"": ""digital_tool_variety_constraint"", ""from"": 0.6, ""to"": 0.8, ""delta"": 0.20000000000000007, ""signed_direction"": ""UP"", ""actionability_class"": ""DIRECTLY_MODIFIABLE"", ""realistic_improvement_direction"": ""DECREASE_FRICTION""}, {""feature"": ""internet_stability_constraint"", ""from"": 0.25, ""to"": 0.5, ""delta"": 0.25, ""signed_direction"": ""UP"", ""actionability_class"": ""CONTEXTUALLY_MODIFIABLE"", ""realistic_improvement_direction"": ""DECREASE_FRICTION""}, {""feature"": ""administrative_disorganization_constraint"", ""from"": 1.0, ""to"": 0.25, ""delta"": -0.75, ""signed_direction"": ""DOWN"", ""actionability_class"": ""INDIRECTLY_MODIFIABLE"", ""realistic_improvement_direction"": ""DECREASE_FRICTION""}, {""feature"": ""recording_system_constraint"", ""from"": 0.6666666666666666, ""to"": 1.0, ""delta"": 0.33333333333333337, ""signed_direction"": ""UP"", ""actionability_class"": ""DIRECTLY_MODIFIABLE"", ""realistic_improvement_direction"": ""DECREASE_FRICTION""}]",0.9989837398373984,1.0,0.9959016393442623,1.0,1.0,0.9959016393442623,1.0,0.004098360655737654,True,True,True
INST_019__CF04,INST_019,1,2,BOUNDARY,4,False,2.999994250011125,4,3.999994250011125,0.7297393986855931,1.2201634945985185,"[""internet_stability_constraint"", ""administrative_disorganization_constraint"", ""recording_system_constraint"", ""resource_constraint_score""]","[""internet_stability_constraint↑"", ""administrative_disorganization_constraint↓"", ""recording_system_constraint↑"", ""resource_constraint_score↑""]","[{""feature"": ""internet_stability_constraint"", ""from"": 0.25, ""to"": 0.5, ""delta"": 0.25, ""signed_direction"": ""UP"", ""actionability_class"": ""CONTEXTUALLY_MODIFIABLE"", ""realistic_improvement_direction"": ""DECREASE_FRICTION""}, {""feature"": ""administrative_disorganization_constraint"", ""from"": 1.0, ""to"": 0.25, ""delta"": -0.75, ""signed_direction"": ""DOWN"", ""actionability_class"": ""INDIRECTLY_MODIFIABLE"", ""realistic_improvement_direction"": ""DECREASE_FRICTION""}, {""feature"": ""recording_system_constraint"", ""from"": 0.6666666666666666, ""to"": 1.0, ""delta"": 0.33333333333333337, ""signed_direction"": ""UP"", ""actionability_class"": ""DIRECTLY_MODIFIABLE"", ""realistic_improvement_direction"": ""DECREASE_FRICTION""}, {""feature"": ""resource_constraint_score"", ""from"": 0.75, ""to"": 1.0, ""delta"": 0.25, ""signed_direction"": ""UP"", ""actionability_class"": ""CONTEXTUALLY_MODIFIABLE"", ""realistic_improvement_direction"": ""DECREASE_FRICTION""}]",0.9979674796747967,1.0,0.9959016393442623,1.0,0.9958333333333333,0.9958333333333333,1.0,0.004166666666666652,True,True,True
INST_022__CF01,INST_022,2,1,CORE,1,True,5.4999870000325,4,6.4999870000325,0.943198045407216,0.2677942796306038,"[""digital_usage_constraint_score"", ""digital_tool_variety_constraint"", ""recording_system_constraint"", ""resource_constraint_score""]","[""digital_usage_constraint_score↓"", ""digital_tool_variety_constraint↓"", ""recording_system_constraint↓"", ""resource_constraint_score↓""]","[{""feature"": ""digital_usage_constraint_score"", ""from"": 0.6666666666666666, ""to"": 0.0, ""delta"": -0.6666666666666666, ""signed_direction"": ""DOWN"", ""actionability_class"": ""INDIRECTLY_MODIFIABLE"", ""realistic_improvement_direction"": ""DECREASE_FRICTION""}, {""feature"": ""digital_tool_variety_constraint"", ""from"": 0.8, ""to"": 0.4, ""delta"": -0.4, ""signed_direction"": ""DOWN"", ""actionability_class"": ""DIRECTLY_MODIFIABLE"", ""realistic_improvement_direction"": ""DECREASE_FRICTION""}, {""feature"": ""recording_system_constraint"", ""from"": 1.0, ""to"": 0.3333333333333333, ""delta"": -0.6666666666666667, ""signed_direction"": ""DOWN"", ""actionability_class"": ""DIRECTLY_MODIFIABLE"", ""realistic_improvement_direction"": ""DECREASE_FRICTION""}, {""feature"": ""resource_constraint_score"", ""from"": 1.0, ""to"": 0.25, ""delta"": -0.75, ""signed_direction"": ""DOWN"", ""actionability_class"": ""CONTEXTUALLY_MODIFIABLE"", ""realistic_improvement_direction"": ""DECREASE_FRICTION""}]",0.4563008130081301,0.32,0.5655737704918032,0.348,0.6,0.32,0.6,0.27999999999999997,False,False,False
