institution_id,reference_profile,target_profile,certainty_class,reference_profile_probability,family_consistency,expected_exact_candidates,evaluated_exact_candidates,transition_candidates,plausible_candidates,valid_plausible_candidates,selected_counterfactuals,global_best_cost,global_best_l0,depth1_valid,depth2_valid,depth3_valid,depth4_valid,failure_mode,elapsed_seconds
INST_001,2,1,CORE,0.9951219512195122,0.9827586206896552,147291,147291,5,0,0,0,,,0,0,0,0,TRANSITIONS_FAIL_PLAUSIBILITY,2.072557443010737
INST_002,1,2,CORE,1.0,1.0,147291,147291,1134,0,0,0,,,0,0,0,0,TRANSITIONS_FAIL_PLAUSIBILITY,1.394936378012062
INST_003,1,2,HALO,0.8571428571428571,0.7115384615384616,147291,147291,25223,0,0,0,,,0,0,0,0,TRANSITIONS_FAIL_PLAUSIBILITY,1.389892093007802
INST_004,1,2,CORE,0.9946524064171124,0.9743589743589745,147291,147291,328,0,0,0,,,0,0,0,0,TRANSITIONS_FAIL_PLAUSIBILITY,1.364062502005254
INST_005,1,2,CORE,0.9950248756218906,0.9791666666666666,147291,147291,9490,0,0,0,,,0,0,0,0,TRANSITIONS_FAIL_PLAUSIBILITY,1.3548457430006238
INST_006,1,2,CORE,1.0,1.0,147291,147291,0,0,0,0,,,0,0,0,0,NO_TRANSITION_WITHIN_4_FEATURES,1.368778536998434
INST_007,1,2,BOUNDARY,0.5743589743589743,0.3863636363636363,147291,147291,41823,277,277,5,3.2499945000122503,3.0,0,0,18,259,SOLVABLE,1.3905292830022518
INST_008,1,2,CORE,0.9563318777292577,0.9253731343283582,147291,147291,1915,0,0,0,,,0,0,0,0,TRANSITIONS_FAIL_PLAUSIBILITY,1.351798449002672
INST_009,1,2,HALO,0.8730964467005076,0.7608695652173914,147291,147291,13264,0,0,0,,,0,0,0,0,TRANSITIONS_FAIL_PLAUSIBILITY,1.319898560992442
INST_010,1,2,CORE,1.0,1.0,147291,147291,2173,0,0,0,,,0,0,0,0,TRANSITIONS_FAIL_PLAUSIBILITY,1.453327110997634
INST_011,1,2,CORE,1.0,1.0,147291,147291,0,0,0,0,,,0,0,0,0,NO_TRANSITION_WITHIN_4_FEATURES,1.3436482489923947
INST_012,1,2,CORE,1.0,1.0,147291,147291,13,0,0,0,,,0,0,0,0,TRANSITIONS_FAIL_PLAUSIBILITY,1.4152995089971228
INST_013,1,2,CORE,1.0,1.0,147291,147291,3638,0,0,0,,,0,0,0,0,TRANSITIONS_FAIL_PLAUSIBILITY,1.3890162600000622
INST_014,1,2,CORE,1.0,1.0,147291,147291,2,0,0,0,,,0,0,0,0,TRANSITIONS_FAIL_PLAUSIBILITY,1.405446728997049
INST_015,1,2,HALO,0.8762376237623762,0.8222222222222222,147291,147291,3772,0,0,0,,,0,0,0,0,TRANSITIONS_FAIL_PLAUSIBILITY,1.3830627019924577
INST_016,1,2,CORE,1.0,1.0,147291,147291,0,0,0,0,,,0,0,0,0,NO_TRANSITION_WITHIN_4_FEATURES,1.3578999460005434
INST_017,1,2,CORE,1.0,1.0,147291,147291,9,0,0,0,,,0,0,0,0,TRANSITIONS_FAIL_PLAUSIBILITY,1.3614713629940525
