feature,grid_levels,grid_values_json,minimum,maximum,q1,q3,iqr,cost_denominator,actionability_class,diagnostic_direction,realistic_improvement_direction
willingness_constraint_score,5,"[0.0, 0.25, 0.5, 0.75, 1.0]",0.0,1.0,0.0,0.5,0.5,0.500001,INDIRECTLY_MODIFIABLE,BOTH,DECREASE_FRICTION
digital_usage_constraint_score,4,"[0.0, 0.3333333333333333, 0.6666666666666666, 1.0]",0.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.3333343333333333,INDIRECTLY_MODIFIABLE,BOTH,DECREASE_FRICTION
training_deficit_score,5,"[0.0, 0.25, 0.5, 0.75, 1.0]",0.0,1.0,0.25,1.0,0.75,0.750001,DIRECTLY_MODIFIABLE,BOTH,DECREASE_FRICTION
device_constraint,4,"[0.0, 0.3333333333333333, 0.6666666666666666, 1.0]",0.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.3333343333333333,DIRECTLY_MODIFIABLE,BOTH,DECREASE_FRICTION
digital_tool_variety_constraint,5,"[0.2, 0.4, 0.6, 0.8, 1.0]",0.2,1.0,0.2,0.6,0.39999999999999997,0.40000099999999994,DIRECTLY_MODIFIABLE,BOTH,DECREASE_FRICTION
internet_stability_constraint,5,"[0.0, 0.25, 0.5, 0.75, 1.0]",0.0,1.0,0.0,0.5,0.5,0.500001,CONTEXTUALLY_MODIFIABLE,BOTH,DECREASE_FRICTION
staffing_constraint_score,5,"[0.0, 0.25, 0.5, 0.75, 1.0]",0.0,1.0,0.25,0.75,0.5,0.500001,CONTEXTUALLY_MODIFIABLE,BOTH,DECREASE_FRICTION
time_constraint_score,5,"[0.0, 0.25, 0.5, 0.75, 1.0]",0.0,1.0,0.25,0.75,0.5,0.500001,INDIRECTLY_MODIFIABLE,BOTH,DECREASE_FRICTION
administrative_disorganization_constraint,5,"[0.0, 0.25, 0.5, 0.75, 1.0]",0.0,1.0,0.25,0.75,0.5,0.500001,INDIRECTLY_MODIFIABLE,BOTH,DECREASE_FRICTION
recording_system_constraint,4,"[0.0, 0.3333333333333333, 0.6666666666666666, 1.0]",0.0,1.0,0.0,0.6666666666666666,0.6666666666666666,0.6666676666666667,DIRECTLY_MODIFIABLE,BOTH,DECREASE_FRICTION
system_change_resistance_constraint,5,"[0.0, 0.25, 0.5, 0.75, 1.0]",0.0,1.0,0.25,0.75,0.5,0.500001,INDIRECTLY_MODIFIABLE,BOTH,DECREASE_FRICTION
admin_time_load_constraint,4,"[0.0, 0.3333333333333333, 0.6666666666666666, 1.0]",0.0,1.0,0.3333333333333333,1.0,0.6666666666666667,0.6666676666666668,INDIRECTLY_MODIFIABLE,BOTH,DECREASE_FRICTION
resource_constraint_score,5,"[0.0, 0.25, 0.5, 0.75, 1.0]",0.0,1.0,0.25,0.75,0.5,0.500001,CONTEXTUALLY_MODIFIABLE,BOTH,DECREASE_FRICTION
