institution_id,reference_profile,centroid_prediction,distance_profile_1,distance_profile_2,target_profile,target_margin
INST_001,2,2,7.353094795497506,2.1401698014887716,1,-5.212924994008734
INST_002,1,1,1.979126741542816,5.833706442216001,2,-3.854579700673185
INST_003,1,1,3.402693575185832,4.717775326466726,2,-1.315081751280894
INST_004,1,1,2.2733647564408663,5.846552317955687,2,-3.5731875615148203
INST_005,1,1,2.6164737386801296,4.815095675735797,2,-2.198621937055668
INST_006,1,1,2.618842386460859,6.834166313743333,2,-4.2153239272824745
INST_007,1,1,2.7499582776563596,3.4559570684651413,2,-0.7059987908087817
INST_008,1,1,2.616837441059456,6.154118360062153,2,-3.537280919002697
INST_009,1,1,2.887106115045992,5.040862248493873,2,-2.153756133447881
INST_010,1,1,1.9031585815259426,5.4903803472010075,2,-3.587221765675065
INST_011,1,1,2.8319425202286346,7.944094399388634,2,-5.112151879159999
INST_012,1,1,2.8892685037853463,7.111582646442951,2,-4.222314142657605
INST_013,1,1,2.6692425074856887,5.554458891402349,2,-2.88521638391666
INST_014,1,1,2.5218263035524013,7.557768791216876,2,-5.0359424876644745
INST_015,1,1,3.885092865066368,6.7068884795464925,2,-2.8217956144801244
INST_016,1,1,2.985741904398994,7.832861769261715,2,-4.847119864862721
INST_017,1,1,3.2915845886998647,7.738650038311534,2,-4.447065449611669
INST_018,1,1,4.479223943299636,6.67134009732388,2,-2.1921161540242444
INST_019,1,1,2.8899091296875605,3.911026848865341,2,-1.0211177191777803
INST_020,1,1,2.4301763898688864,5.491779409783095,2,-3.0616030199142084
INST_021,1,1,1.7212446648698145,6.1804777324222115,2,-4.459233067552397
INST_022,2,2,5.344862853606122,0.9946163072054015,1,-4.3502465464007205
INST_023,1,1,2.894082613972491,2.9530474162160822,2,-0.05896480224359113
INST_024,1,1,2.85239860751854,7.222163529080864,2,-4.369764921562323
INST_025,1,1,3.803460383908825,4.606816578577483,2,-0.803356194668658
INST_026,1,1,2.9335116935689567,7.009323174885102,2,-4.075811481316146
INST_027,2,2,6.251162044554191,2.494378626718248,1,-3.756783417835943
INST_028,1,1,1.9959460192271439,6.5527963907122215,2,-4.556850371485078
INST_029,1,1,2.118266147802575,4.5956996061323405,2,-2.4774334583297657
INST_030,1,1,3.570309247515008,5.5588298208719165,2,-1.9885205733569085
INST_031,1,1,4.001923771048591,6.595413868132127,2,-2.593490097083536
INST_032,1,1,1.7107516597436618,5.656900869850219,2,-3.946149210106557
INST_033,1,1,3.057774256077542,4.537506223765053,2,-1.4797319676875111
INST_034,2,2,4.962386990521815,1.0971513824079755,1,-3.8652356081138395
INST_035,1,1,3.1727168447330247,8.297044044168937,2,-5.124327199435912
INST_036,2,2,5.459897756013914,1.2638083372183186,1,-4.196089418795596
INST_037,2,2,6.518276516876415,1.6184646226263262,1,-4.899811894250089
INST_038,1,1,2.895136319653873,7.137332688978497,2,-4.242196369324624
INST_039,2,2,4.5585697207456,1.7350784119143006,1,-2.8234913088313
INST_040,1,1,1.7648181890244665,5.796190180038938,2,-4.031371991014471
INST_041,2,2,5.632849367247964,0.8512422645628266,1,-4.781607102685137
INST_042,1,1,2.6444521068571323,5.29972275814935,2,-2.6552706512922173
INST_043,1,1,2.614964666744193,7.297858791125189,2,-4.682894124380996
INST_044,1,1,4.479223943299636,6.67134009732388,2,-2.1921161540242444
INST_045,1,1,2.1304247644146757,4.6323435638777095,2,-2.501918799463034
