institution_id,current_profile,target_profile,depth,evaluated,transition_count,plausible_count,valid_and_plausible_count,best_target_margin,best_plausible_target_margin,minimum_plausibility_distance_among_transitions,minimum_cost_among_transitions
INST_023,1,2,1,48,22,0,0,1.5951050596196388,,0.8565509620563303,0.5833328888894815
INST_023,1,2,2,1062,422,10,10,2.6243014626973356,1.8089075642640164,0.7644006853254645,1.3333316388926066
INST_023,1,2,3,14340,5685,139,139,3.496411927387168,3.101392298891949,0.6766148205103196,2.0833306388946067
INST_023,1,2,4,131841,49953,1096,1095,4.192249557956428,3.931938076159978,0.5899238907129163,2.8333296388966067
INST_007,1,2,1,48,7,0,0,0.8769575348018082,,0.9541649196788564,1.2499975000062502
INST_007,1,2,2,1062,275,0,0,1.9993521864080335,,0.8447832954270955,1.3333316388926066
INST_007,1,2,3,14340,3848,18,18,3.1057191561380786,2.298024260605052,0.7646375763469744,2.0833306388946067
INST_007,1,2,4,131841,37693,259,259,4.266795920986513,3.559347518455261,0.6870457456852026,2.8333296388966067
INST_043,1,2,1,48,0,0,0,-3.6607377807510084,,,
INST_043,1,2,2,1062,0,0,0,-2.2320770101989025,,,
INST_043,1,2,3,14340,0,0,0,-0.8221962068959838,,,
INST_043,1,2,4,131841,4,0,0,0.25612327134823776,,1.6596243241619786,9.499979750050876
INST_046,1,2,1,48,0,0,0,-3.7770143606700057,,,
INST_046,1,2,2,1062,0,0,0,-2.3811580565329584,,,
INST_046,1,2,3,14340,0,0,0,-0.5358852642116849,,,
INST_046,1,2,4,131841,93,0,0,1.2316356315253452,,1.268193277772172,7.833320305581802
INST_071,2,1,1,48,0,3,0,-0.8930307829011976,-1.5778539415610884,,
INST_071,2,1,2,1062,25,59,0,0.6781638603698612,-0.231546117439001,1.027889546496576,2.999995250009625
INST_071,2,1,3,14340,1564,838,96,2.3680338303127253,1.6341919018660795,0.8116348351203572,3.2499947500113753
INST_071,2,1,4,131841,28459,7233,2579,3.364806668659752,2.6267316653104853,0.7279945623575707,3.6666615277883383
INST_065,2,1,1,48,0,0,0,-1.932076869909805,,,
INST_065,2,1,2,1062,0,10,0,-0.2593174715114728,-1.046325189283925,,
INST_065,2,1,3,14340,278,354,4,1.3981926685173982,0.08828268704390885,0.9431584954416973,4.2499922500173755
INST_065,2,1,4,131841,11278,4113,461,2.7252463987517412,1.5816889038000084,0.8104171845300204,4.4999925000165
