institution_id,INST_001,INST_002,INST_003,INST_004,INST_005,INST_006,INST_007,INST_008,INST_009,INST_010,INST_011,INST_012,INST_013,INST_014,INST_015,INST_016,INST_017,INST_018,INST_019,INST_020,INST_021,INST_022,INST_023,INST_024,INST_025,INST_026,INST_027,INST_028,INST_029,INST_030,INST_031,INST_032,INST_033,INST_034,INST_035,INST_036,INST_037,INST_038,INST_039,INST_040,INST_041,INST_042,INST_043,INST_044,INST_045,INST_046,INST_047,INST_048,INST_049,INST_050,INST_051,INST_052,INST_053,INST_054,INST_055,INST_056,INST_057,INST_058,INST_059,INST_060,INST_061,INST_062,INST_063,INST_064,INST_065,INST_066,INST_067,INST_068,INST_069,INST_070,INST_071,INST_072,INST_073,INST_074,INST_075,INST_076,INST_077,INST_078,INST_079,INST_080,INST_081
INST_001,1.0,0.002,0.152,0.002,0.031,0.001,0.357,0.04,0.141,0.001,0.001,0.001,0.001,0.001,0.135,0.001,0.004,0.135,0.389,0.036,0.001,1.0,0.58,0.001,0.223,0.001,1.0,0.001,0.029,0.053,0.135,0.003,0.187,1.0,0.001,1.0,1.0,0.018,0.995,0.001,1.0,0.135,0.001,0.135,0.012,0.015,0.002,0.001,0.001,0.033,1.0,0.135,0.001,1.0,0.001,0.002,0.001,0.001,0.001,0.008,0.001,0.044,0.135,0.449,1.0,0.45,0.009,0.002,0.001,0.001,0.999,0.001,0.196,1.0,0.001,0.001,0.137,0.001,0.001,0.008,0.002
INST_002,0.002,1.0,0.85,0.998,0.971,0.999,0.645,0.958,0.857,0.999,0.999,0.999,0.999,0.999,0.863,0.999,0.994,0.863,0.613,0.962,0.999,0.002,0.422,0.999,0.779,0.999,0.002,0.999,0.973,0.949,0.863,0.997,0.815,0.002,0.999,0.002,0.002,0.98,0.007,0.999,0.002,0.863,0.999,0.863,0.99,0.983,0.998,0.999,0.999,0.965,0.002,0.863,0.999,0.002,0.999,0.998,0.999,0.999,0.999,0.99,0.999,0.954,0.863,0.553,0.002,0.552,0.993,0.998,0.999,0.999,0.003,0.999,0.806,0.002,0.999,0.999,0.861,0.999,0.999,0.994,0.998
INST_003,0.152,0.85,1.0,0.85,0.879,0.849,0.793,0.808,0.713,0.849,0.849,0.849,0.849,0.849,0.713,0.849,0.844,0.713,0.705,0.812,0.849,0.152,0.572,0.849,0.929,0.849,0.152,0.849,0.873,0.901,0.713,0.847,0.729,0.152,0.849,0.152,0.152,0.83,0.157,0.849,0.152,0.713,0.849,0.713,0.86,0.833,0.848,0.849,0.849,0.815,0.152,0.713,0.849,0.152,0.849,0.85,0.849,0.849,0.849,0.84,0.849,0.804,0.713,0.681,0.152,0.68,0.855,0.85,0.849,0.849,0.153,0.849,0.742,0.152,0.849,0.849,0.711,0.849,0.849,0.852,0.85
INST_004,0.002,0.998,0.85,1.0,0.971,0.999,0.645,0.958,0.857,0.999,0.999,0.999,0.999,0.999,0.863,0.999,0.994,0.863,0.613,0.962,0.999,0.002,0.422,0.999,0.779,0.999,0.002,0.999,0.973,0.949,0.863,0.997,0.813,0.002,0.999,0.002,0.002,0.98,0.007,0.999,0.002,0.863,0.999,0.863,0.99,0.983,0.998,0.999,0.999,0.965,0.002,0.863,0.999,0.002,0.999,1.0,0.999,0.999,0.999,0.99,0.999,0.954,0.863,0.553,0.002,0.552,0.993,1.0,0.999,0.999,0.003,0.999,0.804,0.002,0.999,0.999,0.861,0.999,0.999,0.992,1.0
INST_005,0.031,0.971,0.879,0.971,1.0,0.97,0.674,0.929,0.83,0.97,0.97,0.97,0.97,0.97,0.834,0.97,0.965,0.834,0.642,0.933,0.97,0.031,0.451,0.97,0.808,0.97,0.031,0.97,0.986,0.966,0.834,0.968,0.82,0.031,0.97,0.031,0.031,0.951,0.036,0.97,0.031,0.834,0.97,0.834,0.973,0.954,0.969,0.97,0.97,0.936,0.031,0.834,0.97,0.031,0.97,0.971,0.97,0.97,0.97,0.961,0.97,0.925,0.834,0.582,0.031,0.581,0.976,0.971,0.97,0.97,0.032,0.97,0.825,0.031,0.97,0.97,0.832,0.97,0.97,0.971,0.971
INST_006,0.001,0.999,0.849,0.999,0.97,1.0,0.644,0.959,0.858,1.0,1.0,1.0,1.0,1.0,0.864,1.0,0.995,0.864,0.612,0.963,1.0,0.001,0.421,1.0,0.778,1.0,0.001,1.0,0.972,0.948,0.864,0.998,0.814,0.001,1.0,0.001,0.001,0.981,0.006,1.0,0.001,0.864,1.0,0.864,0.989,0.984,0.999,1.0,1.0,0.966,0.001,0.864,1.0,0.001,1.0,0.999,1.0,1.0,1.0,0.991,1.0,0.955,0.864,0.552,0.001,0.551,0.992,0.999,1.0,1.0,0.002,1.0,0.805,0.001,1.0,1.0,0.862,1.0,1.0,0.993,0.999
INST_007,0.357,0.645,0.793,0.645,0.674,0.644,1.0,0.637,0.684,0.644,0.644,0.644,0.644,0.644,0.68,0.644,0.639,0.68,0.8,0.639,0.644,0.357,0.713,0.644,0.8,0.644,0.357,0.644,0.67,0.696,0.68,0.644,0.74,0.357,0.644,0.357,0.357,0.629,0.362,0.644,0.357,0.68,0.644,0.68,0.655,0.632,0.645,0.644,0.644,0.634,0.357,0.68,0.644,0.357,0.644,0.645,0.644,0.644,0.644,0.635,0.644,0.623,0.68,0.812,0.357,0.811,0.65,0.645,0.644,0.644,0.358,0.644,0.737,0.357,0.644,0.644,0.678,0.644,0.644,0.649,0.645
INST_008,0.04,0.958,0.808,0.958,0.929,0.959,0.637,1.0,0.899,0.959,0.959,0.959,0.959,0.959,0.905,0.959,0.964,0.905,0.647,0.992,0.959,0.04,0.442,0.959,0.737,0.959,0.04,0.959,0.933,0.907,0.905,0.961,0.849,0.04,0.959,0.04,0.04,0.978,0.045,0.959,0.04,0.905,0.959,0.905,0.948,0.975,0.96,0.959,0.959,0.991,0.04,0.905,0.959,0.04,0.959,0.958,0.959,0.959,0.959,0.968,0.959,0.976,0.905,0.587,0.04,0.588,0.953,0.958,0.959,0.959,0.041,0.959,0.826,0.04,0.959,0.959,0.903,0.959,0.959,0.954,0.958
INST_009,0.141,0.857,0.713,0.857,0.83,0.858,0.684,0.899,1.0,0.858,0.858,0.858,0.858,0.858,0.992,0.858,0.863,0.992,0.748,0.895,0.858,0.141,0.521,0.858,0.644,0.858,0.141,0.858,0.832,0.808,0.992,0.86,0.94,0.141,0.858,0.141,0.141,0.877,0.146,0.858,0.141,0.992,0.858,0.992,0.847,0.874,0.859,0.858,0.858,0.892,0.141,0.992,0.858,0.141,0.858,0.857,0.858,0.858,0.858,0.867,0.858,0.903,0.992,0.688,0.141,0.689,0.852,0.857,0.858,0.858,0.142,0.858,0.915,0.141,0.858,0.858,0.99,0.858,0.858,0.853,0.857
INST_010,0.001,0.999,0.849,0.999,0.97,1.0,0.644,0.959,0.858,1.0,1.0,1.0,1.0,1.0,0.864,1.0,0.995,0.864,0.612,0.963,1.0,0.001,0.421,1.0,0.778,1.0,0.001,1.0,0.972,0.948,0.864,0.998,0.814,0.001,1.0,0.001,0.001,0.981,0.006,1.0,0.001,0.864,1.0,0.864,0.989,0.984,0.999,1.0,1.0,0.966,0.001,0.864,1.0,0.001,1.0,0.999,1.0,1.0,1.0,0.991,1.0,0.955,0.864,0.552,0.001,0.551,0.992,0.999,1.0,1.0,0.002,1.0,0.805,0.001,1.0,1.0,0.862,1.0,1.0,0.993,0.999
