institution_id,INST_001,INST_002,INST_003,INST_004,INST_005,INST_006,INST_007,INST_008,INST_009,INST_010,INST_011,INST_012,INST_013,INST_014,INST_015,INST_016,INST_017,INST_018,INST_019,INST_020,INST_021,INST_022,INST_023,INST_024,INST_025,INST_026,INST_027,INST_028,INST_029,INST_030,INST_031,INST_032,INST_033,INST_034,INST_035,INST_036,INST_037,INST_038,INST_039,INST_040,INST_041,INST_042,INST_043,INST_044,INST_045,INST_046,INST_047,INST_048,INST_049,INST_050,INST_051,INST_052,INST_053,INST_054,INST_055,INST_056,INST_057,INST_058,INST_059,INST_060,INST_061,INST_062,INST_063,INST_064,INST_065,INST_066,INST_067,INST_068,INST_069,INST_070,INST_071,INST_072,INST_073,INST_074,INST_075,INST_076,INST_077,INST_078,INST_079,INST_080,INST_081
INST_001,205,45,48,42,41,26,31,43,35,42,40,35,31,38,37,41,38,34,31,46,38,41,40,33,39,43,31,41,39,40,45,42,40,40,40,45,38,32,33,40,31,36,33,39,37,37,43,41,40,38,44,32,35,38,34,44,43,42,42,47,36,37,30,43,29,39,40,49,25,33,33,49,30,45,43,44,45,33,38,34,40
INST_002,45,213,47,32,44,38,48,42,48,42,45,35,34,42,39,31,38,37,36,40,41,45,36,41,33,34,41,37,48,40,39,43,22,41,34,44,41,36,34,39,38,33,44,43,54,37,42,38,48,43,43,43,36,44,40,47,45,38,40,39,35,36,34,44,32,33,42,39,43,40,42,50,33,35,38,45,46,35,52,36,38
INST_003,48,47,210,37,41,35,45,40,25,37,52,41,41,48,40,38,40,35,31,41,35,42,41,34,39,45,39,37,32,30,45,41,30,38,34,43,44,38,40,38,43,46,36,47,33,52,42,38,44,40,36,42,29,40,40,37,43,47,35,45,38,37,41,41,37,43,48,36,32,30,39,42,38,37,37,45,41,36,29,41,40
INST_004,42,32,37,187,32,29,32,41,42,32,37,40,36,34,30,35,32,39,38,41,36,42,30,31,20,31,40,36,32,41,34,41,37,38,31,31,20,39,32,41,41,41,36,42,34,39,37,29,37,35,29,40,29,36,30,37,40,35,28,35,37,32,34,34,31,35,30,38,31,26,37,44,36,38,31,43,43,26,26,39,40
INST_005,41,44,41,32,201,30,45,50,46,33,31,44,42,52,38,32,42,41,37,36,43,35,43,27,32,32,33,39,35,39,49,35,33,36,33,37,46,25,37,47,33,38,33,38,52,48,38,39,35,53,38,44,31,39,40,31,41,50,39,38,37,40,38,36,27,31,36,36,31,24,35,33,34,41,35,32,40,33,35,32,38
INST_006,26,38,35,29,30,178,29,38,33,29,31,31,36,38,46,34,41,27,27,36,34,42,35,42,26,35,39,37,29,35,29,35,29,28,34,29,39,35,31,33,38,24,37,35,26,38,35,36,23,34,37,30,30,31,40,23,33,35,36,32,30,39,35,44,30,35,40,44,32,30,25,33,29,27,37,30,38,30,33,28,38
INST_007,31,48,45,32,45,29,195,44,43,31,35,34,37,39,34,26,35,33,38,32,35,37,40,43,33,32,41,32,39,34,37,40,31,39,34,29,32,41,34,35,34,32,33,37,49,47,45,33,36,48,34,34,30,27,46,42,44,40,32,38,35,34,35,38,34,35,39,40,36,32,32,32,36,34,32,42,44,30,31,45,39
INST_008,43,42,40,41,50,38,44,229,47,32,47,46,34,38,51,42,43,34,43,40,41,50,47,54,38,41,42,39,30,42,41,63,43,44,40,45,44,59,53,42,41,47,40,48,49,47,53,40,40,45,43,49,44,39,35,46,42,41,46,43,44,46,46,46,39,42,45,44,40,38,42,39,37,36,38,41,52,41,31,34,43
INST_009,35,48,25,42,46,33,43,47,197,39,44,37,28,43,39,32,34,36,43,39,36,37,28,37,39,27,43,42,38,37,32,41,43,41,44,35,37,42,27,27,44,28,37,33,41,36,40,36,36,40,40,40,30,33,34,36,42,45,29,32,42,27,39,38,25,32,41,38,34,38,39,37,34,31,37,43,42,34,31,31,44
INST_010,42,42,37,32,33,29,31,32,39,194,34,37,29,42,36,37,35,38,38,33,42,45,42,42,39,43,41,32,33,43,31,41,24,35,38,32,42,32,33,33,47,38,31,36,41,40,43,39,30,42,42,39,29,31,33,22,37,37,26,31,37,34,46,44,33,32,34,41,31,29,50,37,31,41,39,46,45,35,32,23,37
INST_011,40,45,52,37,31,31,35,47,44,34,213,27,37,51,35,38,42,39,45,41,47,46,34,31,47,48,47,36,31,39,44,43,35,50,44,39,37,39,25,43,48,43,40,40,44,38,46,37,40,45,33,43,35,40,37,34,40,43,40,42,41,33,37,55,38,41,40,39,41,37,50,39,32,42,45,45,39,37,35,33,32
INST_012,35,35,41,40,44,31,34,46,37,37,27,195,38,43,45,29,44,34,45,35,44,36,37,30,40,33,36,28,37,45,46,44,30,35,32,43,33,29,43,38,30,35,38,44,31,30,33,42,42,31,39,40,35,33,40,28,35,39,40,32,29,39,30,42,32,41,41,39,28,31,28,32,34,35,36,44,42,41,36,37,32
