member_id,family,silhouette,davies_bouldin,calinski_harabasz,reference_ari_on_sample,ward_or_native_extension_fidelity_on_sample,minimum_sampled_cluster_size,raw_cluster_sizes_json,aligned_cluster_sizes_json
R0_WARD__M0001,R0_WARD,0.304745301430534,0.9966700336217915,22.51449338037864,1.0,0.9692307692307692,10,"{""0"": 55, ""1"": 10}","{""1"": 55, ""2"": 10}"
R0_WARD__M0002,R0_WARD,0.3407253085198061,1.002067671232239,31.694163291103937,0.7858376511226253,0.9846153846153847,13,"{""0"": 52, ""1"": 13}","{""1"": 52, ""2"": 13}"
R0_WARD__M0003,R0_WARD,0.3837311566353583,0.7673249209225187,28.72787397807486,1.0,0.9846153846153847,8,"{""0"": 57, ""1"": 8}","{""1"": 57, ""2"": 8}"
R0_WARD__M0004,R0_WARD,0.40773782569205197,0.7998147143299543,33.207354529618364,1.0,1.0,9,"{""0"": 56, ""1"": 9}","{""1"": 56, ""2"": 9}"
R0_WARD__M0005,R0_WARD,0.37578949867265216,0.8804229968604226,32.33660620818016,1.0,1.0,11,"{""0"": 54, ""1"": 11}","{""1"": 54, ""2"": 11}"
R0_WARD__M0006,R0_WARD,0.35927988507951325,0.8998604472612726,27.012633988765323,1.0,1.0,9,"{""0"": 56, ""1"": 9}","{""1"": 56, ""2"": 9}"
R0_WARD__M0007,R0_WARD,0.39078167915113243,0.8128232236387826,31.40869411693275,1.0,0.9692307692307692,9,"{""0"": 56, ""1"": 9}","{""1"": 56, ""2"": 9}"
R0_WARD__M0008,R0_WARD,0.4083736800930675,0.8027412933266793,38.64676400617028,1.0,1.0,11,"{""0"": 54, ""1"": 11}","{""1"": 54, ""2"": 11}"
R0_WARD__M0009,R0_WARD,0.35263998296988086,0.9090961082061058,31.945268613794543,1.0,0.9846153846153847,12,"{""0"": 53, ""1"": 12}","{""1"": 53, ""2"": 12}"
R0_WARD__M0010,R0_WARD,0.3451704981027006,0.930050278281292,31.0362758027823,1.0,0.9846153846153847,12,"{""0"": 53, ""1"": 12}","{""1"": 53, ""2"": 12}"
R0_WARD__M0011,R0_WARD,0.36769195826919193,0.8478405521417054,28.09071777419781,1.0,1.0,9,"{""0"": 56, ""1"": 9}","{""1"": 56, ""2"": 9}"
R0_WARD__M0012,R0_WARD,0.35140188496257696,0.922075372924003,31.23690003051651,1.0,1.0,12,"{""0"": 53, ""1"": 12}","{""1"": 53, ""2"": 12}"
R0_WARD__M0013,R0_WARD,0.34832311972142144,0.9030492114550137,27.908505665318682,1.0,0.9846153846153847,10,"{""0"": 55, ""1"": 10}","{""1"": 55, ""2"": 10}"
R0_WARD__M0014,R0_WARD,0.4020044408576213,0.7882535822931133,38.40335430835815,1.0,1.0,11,"{""0"": 54, ""1"": 11}","{""1"": 54, ""2"": 11}"
R0_WARD__M0015,R0_WARD,0.38233470963724897,0.8753439595337213,33.19461543794212,1.0,1.0,11,"{""0"": 54, ""1"": 11}","{""1"": 54, ""2"": 11}"
R0_WARD__M0016,R0_WARD,0.3094666746233821,1.3377289899635965,26.06834967305387,0.5528937381404174,0.9538461538461539,16,"{""0"": 16, ""1"": 49}","{""1"": 49, ""2"": 16}"
R0_WARD__M0017,R0_WARD,0.25903583648016865,1.568649546175732,24.41693440554962,0.13632739835237842,0.9538461538461539,29,"{""0"": 29, ""1"": 36}","{""1"": 36, ""2"": 29}"
R0_WARD__M0018,R0_WARD,0.2619586665300727,1.5430441156108168,23.01497291995336,0.3511630096995951,0.9538461538461539,21,"{""0"": 21, ""1"": 44}","{""1"": 44, ""2"": 21}"
R0_WARD__M0019,R0_WARD,0.34369764178425016,0.852640250160655,23.33164220887861,1.0,0.9846153846153847,8,"{""0"": 57, ""1"": 8}","{""1"": 57, ""2"": 8}"
R0_WARD__M0020,R0_WARD,0.3487469151459348,0.893324626687755,29.543458356479903,1.0,0.9846153846153847,11,"{""0"": 54, ""1"": 11}","{""1"": 54, ""2"": 11}"
R0_WARD__M0021,R0_WARD,0.35831260525355296,0.923314236151871,33.741465286569955,1.0,1.0,13,"{""0"": 52, ""1"": 13}","{""1"": 52, ""2"": 13}"
R0_WARD__M0022,R0_WARD,0.3825839219131211,0.8362854843310051,35.10341700612122,1.0,1.0,11,"{""0"": 54, ""1"": 11}","{""1"": 54, ""2"": 11}"
R0_WARD__M0023,R0_WARD,0.364974643491499,0.8894461678538053,32.438351184640496,1.0,0.9846153846153847,12,"{""0"": 53, ""1"": 12}","{""1"": 53, ""2"": 12}"
R0_WARD__M0024,R0_WARD,0.37754401706944624,0.8872409977230775,31.90100422166893,1.0,1.0,11,"{""0"": 54, ""1"": 11}","{""1"": 54, ""2"": 11}"
R0_WARD__M0025,R0_WARD,0.37923246119014153,0.8411796636641138,32.721499660453986,1.0,0.9846153846153847,10,"{""0"": 55, ""1"": 10}","{""1"": 55, ""2"": 10}"
R0_WARD__M0026,R0_WARD,0.36599384976738614,0.8914932135955118,33.46531188152115,1.0,0.9846153846153847,12,"{""0"": 53, ""1"": 12}","{""1"": 53, ""2"": 12}"
R0_WARD__M0027,R0_WARD,0.33302931830027854,1.0097361438643735,28.900749780989983,0.8517043139740166,0.9692307692307692,12,"{""0"": 53, ""1"": 12}","{""1"": 53, ""2"": 12}"
R0_WARD__M0028,R0_WARD,0.36615143848648585,0.8689692703127789,31.54456389934959,1.0,1.0,11,"{""0"": 54, ""1"": 11}","{""1"": 54, ""2"": 11}"
R0_WARD__M0029,R0_WARD,0.3495704890631398,0.9022963457011524,28.215037010063448,0.9187261893132753,1.0,10,"{""0"": 55, ""1"": 10}","{""1"": 55, ""2"": 10}"
R0_WARD__M0030,R0_WARD,0.3408770448846131,0.9263029631409877,28.184440119669567,1.0,0.9846153846153847,11,"{""0"": 54, ""1"": 11}","{""1"": 54, ""2"": 11}"
R0_WARD__M0031,R0_WARD,0.3364643440819393,0.9238218078403087,29.361363596223597,1.0,0.9846153846153847,12,"{""0"": 53, ""1"": 12}","{""1"": 53, ""2"": 12}"
R0_WARD__M0032,R0_WARD,0.39831131998195624,0.8107202010304008,37.312927846966765,1.0,0.9846153846153847,11,"{""0"": 54, ""1"": 11}","{""1"": 54, ""2"": 11}"
R0_WARD__M0033,R0_WARD,0.38758626963083187,0.8120096086002115,30.554052859505433,1.0,1.0,9,"{""0"": 56, ""1"": 9}","{""1"": 56, ""2"": 9}"
R0_WARD__M0034,R0_WARD,0.3457252461926478,0.8990091788377327,26.909823155560634,1.0,1.0,10,"{""0"": 55, ""1"": 10}","{""1"": 55, ""2"": 10}"
R0_WARD__M0035,R0_WARD,0.34580449667057944,1.0294064694877263,33.10546272586457,0.7933783662535089,0.9692307692307692,14,"{""0"": 51, ""1"": 14}","{""1"": 51, ""2"": 14}"
R0_WARD__M0036,R0_WARD,0.3709473408635048,0.8840110348159174,27.804042103704912,1.0,1.0,9,"{""0"": 56, ""1"": 9}","{""1"": 56, ""2"": 9}"
R0_WARD__M0037,R0_WARD,0.3865899271438524,0.8383245540450562,40.496937479945146,1.0,0.9692307692307692,13,"{""0"": 52, ""1"": 13}","{""1"": 52, ""2"": 13}"
R0_WARD__M0038,R0_WARD,0.3899618724081897,0.8532824397860646,34.904408864497576,1.0,1.0,11,"{""0"": 54, ""1"": 11}","{""1"": 54, ""2"": 11}"
R0_WARD__M0039,R0_WARD,0.37583672520805284,0.8533616284919251,34.94119623290829,1.0,1.0,12,"{""0"": 53, ""1"": 12}","{""1"": 53, ""2"": 12}"
R0_WARD__M0040,R0_WARD,0.3989261360114325,0.7974537415427361,38.10595383103386,1.0,0.9846153846153847,11,"{""0"": 54, ""1"": 11}","{""1"": 54, ""2"": 11}"
R0_WARD__M0041,R0_WARD,0.2630702437295562,1.4008886392242978,26.74583005031961,0.30656819114351547,0.9384615384615385,21,"{""0"": 44, ""1"": 21}","{""1"": 44, ""2"": 21}"
R0_WARD__M0042,R0_WARD,0.37156268827105177,0.8397574380694981,32.28017299983227,1.0,1.0,11,"{""0"": 54, ""1"": 11}","{""1"": 54, ""2"": 11}"
R0_WARD__M0043,R0_WARD,0.34189462123686404,0.9307601309421636,28.348101634909217,0.9228790582346534,1.0,11,"{""0"": 54, ""1"": 11}","{""1"": 54, ""2"": 11}"
R0_WARD__M0044,R0_WARD,0.38562133272086363,0.8528758936661062,35.10371583938461,1.0,0.9846153846153847,11,"{""0"": 54, ""1"": 11}","{""1"": 54, ""2"": 11}"
R0_WARD__M0045,R0_WARD,0.3387613449876552,0.9398448204523316,30.147137377218424,0.9261606184048209,1.0,12,"{""0"": 53, ""1"": 12}","{""1"": 53, ""2"": 12}"
R0_WARD__M0046,R0_WARD,0.3427823269933568,1.030169312545594,31.92354350644324,0.7933783662535089,1.0,14,"{""0"": 51, ""1"": 14}","{""1"": 51, ""2"": 14}"
R0_WARD__M0047,R0_WARD,0.3571735829352734,0.8763906699246542,28.50207440408103,1.0,1.0,10,"{""0"": 55, ""1"": 10}","{""1"": 55, ""2"": 10}"
R0_WARD__M0048,R0_WARD,0.3660513545025705,0.8627306760296003,32.74811109940129,1.0,1.0,11,"{""0"": 54, ""1"": 11}","{""1"": 54, ""2"": 11}"
