institution_id,candidate_id,reference_profile,target_profile,certainty_class,candidate_rank,total_cost,ensemble_support,minimum_family_support,transaction_size,signed_items_json
INST_007,INST_007__CF01,1,2,BOUNDARY,1,3.2499945000122503,0.9989837398373984,0.9959016393442623,3,"[""administrative_disorganization_constraint↓"", ""digital_tool_variety_constraint↑"", ""system_change_resistance_constraint↓""]"
INST_019,INST_019__CF01,1,2,BOUNDARY,1,3.249995250009125,0.9796747967479674,0.971311475409836,3,"[""administrative_disorganization_constraint↓"", ""internet_stability_constraint↑"", ""recording_system_constraint↑""]"
INST_023,INST_023__CF01,1,2,BOUNDARY,1,1.499998000004,0.9522357723577236,0.9139344262295082,2,"[""administrative_disorganization_constraint↓"", ""resource_constraint_score↑""]"
INST_025,INST_025__CF01,1,2,BOUNDARY,1,4.499993000013999,0.9979674796747968,0.9958333333333332,4,"[""staffing_constraint_score↓"", ""system_change_resistance_constraint↓"", ""time_constraint_score↓"", ""willingness_constraint_score↓""]"
INST_030,INST_030__CF01,1,2,CORE,1,6.999988000024,0.9796747967479674,0.9631147540983608,4,"[""administrative_disorganization_constraint↓"", ""system_change_resistance_constraint↓"", ""time_constraint_score↓"", ""willingness_constraint_score↓""]"
INST_033,INST_033__CF01,1,2,HALO,1,4.4999910000242505,0.988821138211382,0.9833333333333332,4,"[""admin_time_load_constraint↓"", ""device_constraint↑"", ""digital_tool_variety_constraint↑"", ""system_change_resistance_constraint↓""]"
INST_064,INST_064__CF02,1,2,BOUNDARY,2,2.499996000008,0.9949186991869918,0.9877049180327868,2,"[""administrative_disorganization_constraint↓"", ""internet_stability_constraint↑""]"
INST_066,INST_066__CF02,1,2,BOUNDARY,2,2.499996000008,0.9949186991869918,0.9877049180327868,2,"[""administrative_disorganization_constraint↓"", ""internet_stability_constraint↑""]"
INST_073,INST_073__CF01,1,2,HALO,1,3.999992750018375,0.9939024390243902,0.9875,4,"[""admin_time_load_constraint↓"", ""digital_tool_variety_constraint↑"", ""digital_usage_constraint_score↑"", ""time_constraint_score↓""]"
INST_077,INST_077__CF03,1,2,HALO,3,4.499992250018125,0.9634146341463414,0.925,4,"[""digital_usage_constraint_score↑"", ""internet_stability_constraint↑"", ""recording_system_constraint↑"", ""resource_constraint_score↑""]"
