institution_id,source_index,source_profile,target_profile,status,candidate_count_evaluated,valid_candidate_count,pareto_candidate_count,saved_candidate_count,single_model_reachable,best_ensemble_support,robust_reachable_tau_080,robust_reachable_tau_090,robust_reachable_tau_095
SYN_S1_CONFIG_TWO_PROFILE_R001_003,5,2,1,COMPLETED,66378,0,0,0,False,,False,False,False
SYN_S1_CONFIG_TWO_PROFILE_R001_008,31,2,1,COMPLETED,66378,0,0,0,False,,False,False,False
SYN_S1_CONFIG_TWO_PROFILE_R001_010,22,2,1,COMPLETED,66378,0,0,0,False,,False,False,False
SYN_S1_CONFIG_TWO_PROFILE_R001_023,67,2,1,COMPLETED,66378,0,0,0,False,,False,False,False
SYN_S1_CONFIG_TWO_PROFILE_R001_024,66,2,1,COMPLETED,66378,0,0,0,False,,False,False,False
SYN_S1_CONFIG_TWO_PROFILE_R001_025,49,2,1,COMPLETED,66378,0,0,0,False,,False,False,False
SYN_S1_CONFIG_TWO_PROFILE_R001_026,70,2,1,COMPLETED,66378,0,0,0,False,,False,False,False
SYN_S1_CONFIG_TWO_PROFILE_R001_030,43,2,1,COMPLETED,66378,0,0,0,False,,False,False,False
SYN_S1_CONFIG_TWO_PROFILE_R001_032,74,2,1,COMPLETED,66378,0,0,0,False,,False,False,False
SYN_S1_CONFIG_TWO_PROFILE_R001_035,51,2,1,COMPLETED,66378,0,0,0,False,,False,False,False
SYN_S1_CONFIG_TWO_PROFILE_R001_044,47,1,2,COMPLETED,66378,0,0,0,False,,False,False,False
SYN_S1_CONFIG_TWO_PROFILE_R001_045,29,1,2,COMPLETED,66378,0,0,0,False,,False,False,False
SYN_S1_CONFIG_TWO_PROFILE_R001_052,17,1,2,COMPLETED,66378,0,0,0,False,,False,False,False
SYN_S1_CONFIG_TWO_PROFILE_R001_055,41,1,2,COMPLETED,66378,0,0,0,False,,False,False,False
SYN_S1_CONFIG_TWO_PROFILE_R001_059,36,1,2,COMPLETED,66378,0,0,0,False,,False,False,False
SYN_S1_CONFIG_TWO_PROFILE_R001_061,10,1,2,COMPLETED,66378,0,0,0,False,,False,False,False
SYN_S1_CONFIG_TWO_PROFILE_R001_069,19,1,2,COMPLETED,66378,0,0,0,False,,False,False,False
SYN_S1_CONFIG_TWO_PROFILE_R001_071,45,1,2,COMPLETED,66378,0,0,0,False,,False,False,False
SYN_S1_CONFIG_TWO_PROFILE_R001_073,6,1,2,COMPLETED,66378,0,0,0,False,,False,False,False
SYN_S1_CONFIG_TWO_PROFILE_R001_079,53,1,2,COMPLETED,66378,0,0,0,False,,False,False,False
