institution_id,source_index,source_profile,target_profile,status,candidate_count_evaluated,valid_candidate_count,pareto_candidate_count,saved_candidate_count,single_model_reachable,best_ensemble_support,robust_reachable_tau_080,robust_reachable_tau_090,robust_reachable_tau_095
SYN_S3_DIRECTIONAL_REACHABILITY_R001_007,51,1,2,COMPLETED,66378,0,0,0,False,,False,False,False
SYN_S3_DIRECTIONAL_REACHABILITY_R001_011,75,1,2,COMPLETED,66378,0,0,0,False,,False,False,False
SYN_S3_DIRECTIONAL_REACHABILITY_R001_014,46,1,2,COMPLETED,66378,0,0,0,False,,False,False,False
SYN_S3_DIRECTIONAL_REACHABILITY_R001_020,71,1,2,COMPLETED,66378,0,0,0,False,,False,False,False
SYN_S3_DIRECTIONAL_REACHABILITY_R001_022,78,1,2,COMPLETED,66378,0,0,0,False,,False,False,False
SYN_S3_DIRECTIONAL_REACHABILITY_R001_026,45,1,2,COMPLETED,66378,8442,46,5,True,0.655,False,False,False
SYN_S3_DIRECTIONAL_REACHABILITY_R001_030,9,1,2,COMPLETED,66378,14556,40,5,True,0.78,False,False,False
SYN_S3_DIRECTIONAL_REACHABILITY_R001_032,15,1,2,COMPLETED,66378,7688,38,5,True,0.66,False,False,False
SYN_S3_DIRECTIONAL_REACHABILITY_R001_037,39,1,2,COMPLETED,66378,10768,28,5,True,0.66,False,False,False
SYN_S3_DIRECTIONAL_REACHABILITY_R001_039,76,1,2,COMPLETED,66378,16507,42,5,True,0.8,True,False,False
SYN_S3_DIRECTIONAL_REACHABILITY_R001_046,22,2,1,COMPLETED,66378,0,0,0,False,,False,False,False
SYN_S3_DIRECTIONAL_REACHABILITY_R001_048,34,2,1,COMPLETED,66378,0,0,0,False,,False,False,False
SYN_S3_DIRECTIONAL_REACHABILITY_R001_049,21,2,1,COMPLETED,66378,0,0,0,False,,False,False,False
SYN_S3_DIRECTIONAL_REACHABILITY_R001_050,17,2,1,COMPLETED,66378,0,0,0,False,,False,False,False
SYN_S3_DIRECTIONAL_REACHABILITY_R001_052,50,2,1,COMPLETED,66378,0,0,0,False,,False,False,False
SYN_S3_DIRECTIONAL_REACHABILITY_R001_053,60,2,1,COMPLETED,66378,0,0,0,False,,False,False,False
SYN_S3_DIRECTIONAL_REACHABILITY_R001_055,20,2,1,COMPLETED,66378,0,0,0,False,,False,False,False
SYN_S3_DIRECTIONAL_REACHABILITY_R001_059,38,2,1,COMPLETED,66378,0,0,0,False,,False,False,False
SYN_S3_DIRECTIONAL_REACHABILITY_R001_060,13,2,1,COMPLETED,66378,0,0,0,False,,False,False,False
SYN_S3_DIRECTIONAL_REACHABILITY_R001_074,4,2,1,COMPLETED,66378,0,0,0,False,,False,False,False
