institution_id,source_index,source_profile,target_profile,status,candidate_count_evaluated,valid_candidate_count,pareto_candidate_count,saved_candidate_count,single_model_reachable
SYN_S6_NO_CLUSTER_NULL_R001_001,38,1,2,COMPLETED,66378,1933,20,5,True
SYN_S6_NO_CLUSTER_NULL_R001_019,25,1,2,COMPLETED,66378,30305,28,5,True
SYN_S6_NO_CLUSTER_NULL_R001_025,35,1,2,COMPLETED,66378,6138,22,5,True
SYN_S6_NO_CLUSTER_NULL_R001_031,27,1,2,COMPLETED,66378,12,6,5,True
SYN_S6_NO_CLUSTER_NULL_R001_040,78,2,1,COMPLETED,66378,35054,43,5,True
SYN_S6_NO_CLUSTER_NULL_R001_041,46,2,1,COMPLETED,66378,42,6,5,True
SYN_S6_NO_CLUSTER_NULL_R001_050,22,1,2,COMPLETED,66378,28366,35,5,True
SYN_S6_NO_CLUSTER_NULL_R001_051,49,1,2,COMPLETED,66378,4684,20,5,True
SYN_S6_NO_CLUSTER_NULL_R001_052,21,2,1,COMPLETED,66378,77,7,5,True
SYN_S6_NO_CLUSTER_NULL_R001_053,75,1,2,COMPLETED,66378,14920,19,5,True
SYN_S6_NO_CLUSTER_NULL_R001_054,14,2,1,COMPLETED,66378,10848,23,5,True
SYN_S6_NO_CLUSTER_NULL_R001_055,11,1,2,COMPLETED,66378,37321,33,5,True
SYN_S6_NO_CLUSTER_NULL_R001_057,12,1,2,COMPLETED,66378,5394,30,5,True
SYN_S6_NO_CLUSTER_NULL_R001_066,44,1,2,COMPLETED,66378,11800,26,5,True
SYN_S6_NO_CLUSTER_NULL_R001_068,37,2,1,COMPLETED,66378,945,20,5,True
SYN_S6_NO_CLUSTER_NULL_R001_070,47,2,1,COMPLETED,66378,12093,22,5,True
SYN_S6_NO_CLUSTER_NULL_R001_071,67,2,1,COMPLETED,66378,3351,22,5,True
SYN_S6_NO_CLUSTER_NULL_R001_074,17,2,1,COMPLETED,66378,0,0,0,False
SYN_S6_NO_CLUSTER_NULL_R001_078,73,2,1,COMPLETED,66378,2482,15,5,True
SYN_S6_NO_CLUSTER_NULL_R001_080,53,2,1,COMPLETED,66378,1195,20,5,True
