candidate_id,representation,algorithm,k_requested,silhouette,davies_bouldin,calinski_harabasz,minimum_cluster_size,maximum_cluster_size,eligible_min_cluster_size
R0_STANDARDIZED__HAC_WARD__K2,R0_STANDARDIZED,HAC_WARD,2,0.7483361110822359,0.36312473385778654,515.425762717116,40,40,True
R0_STANDARDIZED__HAC_WARD__K3,R0_STANDARDIZED,HAC_WARD,3,0.5078348303293135,0.9345124875893168,324.86423058065554,19,40,True
R0_STANDARDIZED__HAC_WARD__K4,R0_STANDARDIZED,HAC_WARD,4,0.29332683361961864,1.200142287846826,284.3002134748308,12,28,True
R0_STANDARDIZED__HAC_WARD__K5,R0_STANDARDIZED,HAC_WARD,5,0.2722475950925345,1.283413482732961,242.88977682068196,6,28,True
R0_STANDARDIZED__HAC_WARD__K6,R0_STANDARDIZED,HAC_WARD,6,0.21537676224876642,1.2726652509472085,206.5672203048385,3,25,False
R0_STANDARDIZED__KMEANS__K2,R0_STANDARDIZED,KMEANS,2,0.7483361110822359,0.36312473385778654,515.425762717116,40,40,True
R0_STANDARDIZED__KMEANS__K3,R0_STANDARDIZED,KMEANS,3,0.51693986175049,0.9175552555777715,328.4445358925178,19,40,True
R0_STANDARDIZED__KMEANS__K4,R0_STANDARDIZED,KMEANS,4,0.29493150051721984,1.2062369154050905,289.09801373365246,14,26,True
R0_STANDARDIZED__KMEANS__K5,R0_STANDARDIZED,KMEANS,5,0.2719156715999992,1.26960549625582,246.51078231972107,6,26,True
R0_STANDARDIZED__KMEANS__K6,R0_STANDARDIZED,KMEANS,6,0.22437184665345428,1.2931110967731065,213.48544202495896,3,20,False
R1_PCA85__HAC_WARD__K2,R1_PCA85,HAC_WARD,2,0.9549433786330026,0.061439146366007696,12768.659648052626,40,40,True
R1_PCA85__HAC_WARD__K3,R1_PCA85,HAC_WARD,3,0.755188321861684,0.40066956865133774,10049.597758686943,18,40,True
R1_PCA85__HAC_WARD__K4,R1_PCA85,HAC_WARD,4,0.5641220716424117,0.5249202915856961,10528.561448515971,6,34,True
R1_PCA85__HAC_WARD__K5,R1_PCA85,HAC_WARD,5,0.550236681863346,0.5527196669854921,11662.565799338992,6,22,True
R1_PCA85__HAC_WARD__K6,R1_PCA85,HAC_WARD,6,0.5437849744553782,0.5029418025325363,12593.476706128997,4,22,False
R1_PCA85__KMEANS__K2,R1_PCA85,KMEANS,2,0.9549433786330026,0.061439146366007696,12768.659648052626,40,40,True
R1_PCA85__KMEANS__K3,R1_PCA85,KMEANS,3,0.755188321861684,0.40066956865133774,10049.597758686943,18,40,True
R1_PCA85__KMEANS__K4,R1_PCA85,KMEANS,4,0.5267291209295076,0.6273221113458564,11347.038706301533,15,25,True
R1_PCA85__KMEANS__K5,R1_PCA85,KMEANS,5,0.5594608936006553,0.5505725994265742,11749.849253260329,6,22,True
R1_PCA85__KMEANS__K6,R1_PCA85,KMEANS,6,0.5440938985215032,0.5512345975353999,14495.139310846931,6,21,True
