institution_id,row_index,reference_profile,n_oob_predictions,profile_1_probability,profile_2_probability,reference_profile_probability,normalized_entropy,membership_margin,family_consistency,certainty_class
SYN_S1_CONFIG_TWO_PROFILE_R002_014,0,1,42,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_012,1,1,44,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_055,2,2,32,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_048,3,2,43,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_070,4,2,45,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_032,5,1,48,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_060,6,2,53,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_078,7,2,37,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_057,8,2,38,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_024,9,1,29,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_033,10,1,50,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_019,11,1,39,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_049,12,2,43,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_030,13,1,41,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_039,14,1,42,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_016,15,1,35,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_071,16,2,46,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_045,17,2,44,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_004,18,1,43,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_031,19,1,35,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_075,20,2,38,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_035,21,1,43,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_061,22,2,39,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_074,23,2,41,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_040,24,1,43,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_010,25,1,39,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_043,26,2,38,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_037,27,1,34,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_062,28,2,43,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_068,29,2,38,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_018,30,1,36,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_041,31,2,46,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_052,32,2,41,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_021,33,1,36,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_051,34,2,43,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_026,35,1,42,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_066,36,2,33,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_005,37,1,53,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_006,38,1,37,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_029,39,1,35,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_020,40,1,37,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_017,41,1,37,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_080,42,2,38,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_058,43,2,48,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_077,44,2,37,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_002,45,1,38,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_003,46,1,47,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_076,47,2,41,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_013,48,1,32,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_009,49,1,38,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_011,50,1,36,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_063,51,2,33,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_059,52,2,38,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_069,53,2,35,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_027,54,1,44,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_050,55,2,37,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_022,56,1,35,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_001,57,1,46,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_072,58,2,36,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_025,59,1,49,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_065,60,2,32,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_054,61,2,49,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_053,62,2,43,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_067,63,2,54,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_046,64,2,37,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_056,65,2,43,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_028,66,1,37,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_047,67,2,41,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_042,68,2,41,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_036,69,1,39,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_023,70,1,33,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_044,71,2,33,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_064,72,2,29,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_038,73,1,48,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_079,74,2,38,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_034,75,1,40,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_073,76,2,39,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_008,77,1,37,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_015,78,1,33,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R002_007,79,1,45,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
