institution_id,source_index,source_profile,target_profile,status,candidate_count_evaluated,valid_candidate_count,pareto_candidate_count,saved_candidate_count,single_model_reachable,best_ensemble_support,robust_reachable_tau_080,robust_reachable_tau_090,robust_reachable_tau_095
SYN_S1_CONFIG_TWO_PROFILE_R002_005,37,1,2,COMPLETED,66378,0,0,0,False,,False,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_009,49,1,2,COMPLETED,66378,0,0,0,False,,False,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_014,0,1,2,COMPLETED,66378,0,0,0,False,,False,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_016,15,1,2,COMPLETED,66378,0,0,0,False,,False,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_019,11,1,2,COMPLETED,66378,0,0,0,False,,False,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_027,54,1,2,COMPLETED,66378,0,0,0,False,,False,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_031,19,1,2,COMPLETED,66378,0,0,0,False,,False,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_034,75,1,2,COMPLETED,66378,0,0,0,False,,False,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_037,27,1,2,COMPLETED,66378,0,0,0,False,,False,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_039,14,1,2,COMPLETED,66378,0,0,0,False,,False,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_041,31,2,1,COMPLETED,66378,0,0,0,False,,False,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_042,68,2,1,COMPLETED,66378,0,0,0,False,,False,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_046,64,2,1,COMPLETED,66378,0,0,0,False,,False,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_050,55,2,1,COMPLETED,66378,0,0,0,False,,False,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_055,2,2,1,COMPLETED,66378,0,0,0,False,,False,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_058,43,2,1,COMPLETED,66378,0,0,0,False,,False,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_062,28,2,1,COMPLETED,66378,0,0,0,False,,False,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_066,36,2,1,COMPLETED,66378,0,0,0,False,,False,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_067,63,2,1,COMPLETED,66378,0,0,0,False,,False,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_076,47,2,1,COMPLETED,66378,0,0,0,False,,False,False,False
