institution_id,cluster_id
SYN_S1_CONFIG_TWO_PROFILE_R002_014,0
SYN_S1_CONFIG_TWO_PROFILE_R002_012,0
SYN_S1_CONFIG_TWO_PROFILE_R002_055,1
SYN_S1_CONFIG_TWO_PROFILE_R002_048,1
SYN_S1_CONFIG_TWO_PROFILE_R002_070,1
SYN_S1_CONFIG_TWO_PROFILE_R002_032,0
SYN_S1_CONFIG_TWO_PROFILE_R002_060,1
SYN_S1_CONFIG_TWO_PROFILE_R002_078,1
SYN_S1_CONFIG_TWO_PROFILE_R002_057,1
SYN_S1_CONFIG_TWO_PROFILE_R002_024,0
SYN_S1_CONFIG_TWO_PROFILE_R002_033,0
SYN_S1_CONFIG_TWO_PROFILE_R002_019,0
SYN_S1_CONFIG_TWO_PROFILE_R002_049,1
SYN_S1_CONFIG_TWO_PROFILE_R002_030,0
SYN_S1_CONFIG_TWO_PROFILE_R002_039,0
SYN_S1_CONFIG_TWO_PROFILE_R002_016,0
SYN_S1_CONFIG_TWO_PROFILE_R002_071,1
SYN_S1_CONFIG_TWO_PROFILE_R002_045,1
SYN_S1_CONFIG_TWO_PROFILE_R002_004,0
SYN_S1_CONFIG_TWO_PROFILE_R002_031,0
SYN_S1_CONFIG_TWO_PROFILE_R002_075,1
SYN_S1_CONFIG_TWO_PROFILE_R002_035,0
SYN_S1_CONFIG_TWO_PROFILE_R002_061,1
SYN_S1_CONFIG_TWO_PROFILE_R002_074,1
SYN_S1_CONFIG_TWO_PROFILE_R002_040,0
SYN_S1_CONFIG_TWO_PROFILE_R002_010,0
SYN_S1_CONFIG_TWO_PROFILE_R002_043,1
SYN_S1_CONFIG_TWO_PROFILE_R002_037,0
SYN_S1_CONFIG_TWO_PROFILE_R002_062,1
SYN_S1_CONFIG_TWO_PROFILE_R002_068,1
SYN_S1_CONFIG_TWO_PROFILE_R002_018,0
SYN_S1_CONFIG_TWO_PROFILE_R002_041,1
SYN_S1_CONFIG_TWO_PROFILE_R002_052,1
SYN_S1_CONFIG_TWO_PROFILE_R002_021,0
SYN_S1_CONFIG_TWO_PROFILE_R002_051,1
SYN_S1_CONFIG_TWO_PROFILE_R002_026,0
SYN_S1_CONFIG_TWO_PROFILE_R002_066,1
SYN_S1_CONFIG_TWO_PROFILE_R002_005,0
SYN_S1_CONFIG_TWO_PROFILE_R002_006,0
SYN_S1_CONFIG_TWO_PROFILE_R002_029,0
SYN_S1_CONFIG_TWO_PROFILE_R002_020,0
SYN_S1_CONFIG_TWO_PROFILE_R002_017,0
SYN_S1_CONFIG_TWO_PROFILE_R002_080,1
SYN_S1_CONFIG_TWO_PROFILE_R002_058,1
SYN_S1_CONFIG_TWO_PROFILE_R002_077,1
SYN_S1_CONFIG_TWO_PROFILE_R002_002,0
SYN_S1_CONFIG_TWO_PROFILE_R002_003,0
SYN_S1_CONFIG_TWO_PROFILE_R002_076,1
SYN_S1_CONFIG_TWO_PROFILE_R002_013,0
SYN_S1_CONFIG_TWO_PROFILE_R002_009,0
SYN_S1_CONFIG_TWO_PROFILE_R002_011,0
SYN_S1_CONFIG_TWO_PROFILE_R002_063,1
SYN_S1_CONFIG_TWO_PROFILE_R002_059,1
SYN_S1_CONFIG_TWO_PROFILE_R002_069,1
SYN_S1_CONFIG_TWO_PROFILE_R002_027,0
SYN_S1_CONFIG_TWO_PROFILE_R002_050,1
SYN_S1_CONFIG_TWO_PROFILE_R002_022,0
SYN_S1_CONFIG_TWO_PROFILE_R002_001,0
SYN_S1_CONFIG_TWO_PROFILE_R002_072,1
SYN_S1_CONFIG_TWO_PROFILE_R002_025,0
SYN_S1_CONFIG_TWO_PROFILE_R002_065,1
SYN_S1_CONFIG_TWO_PROFILE_R002_054,1
SYN_S1_CONFIG_TWO_PROFILE_R002_053,1
SYN_S1_CONFIG_TWO_PROFILE_R002_067,1
SYN_S1_CONFIG_TWO_PROFILE_R002_046,1
SYN_S1_CONFIG_TWO_PROFILE_R002_056,1
SYN_S1_CONFIG_TWO_PROFILE_R002_028,0
SYN_S1_CONFIG_TWO_PROFILE_R002_047,1
SYN_S1_CONFIG_TWO_PROFILE_R002_042,1
SYN_S1_CONFIG_TWO_PROFILE_R002_036,0
SYN_S1_CONFIG_TWO_PROFILE_R002_023,0
SYN_S1_CONFIG_TWO_PROFILE_R002_044,1
SYN_S1_CONFIG_TWO_PROFILE_R002_064,1
SYN_S1_CONFIG_TWO_PROFILE_R002_038,0
SYN_S1_CONFIG_TWO_PROFILE_R002_079,1
SYN_S1_CONFIG_TWO_PROFILE_R002_034,0
SYN_S1_CONFIG_TWO_PROFILE_R002_073,1
SYN_S1_CONFIG_TWO_PROFILE_R002_008,0
SYN_S1_CONFIG_TWO_PROFILE_R002_015,0
SYN_S1_CONFIG_TWO_PROFILE_R002_007,0
