institution_id,latent_profile,true_profile,true_boundary,oracle_reachable
SYN_S1_CONFIG_TWO_PROFILE_R002_014,A,2,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_012,A,2,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_055,B,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_048,B,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_070,B,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_032,A,2,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_060,B,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_078,B,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_057,B,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_024,A,2,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_033,A,2,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_019,A,2,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_049,B,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_030,A,2,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_039,A,2,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_016,A,2,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_071,B,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_045,B,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_004,A,2,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_031,A,2,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_075,B,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_035,A,2,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_061,B,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_074,B,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_040,A,2,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_010,A,2,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_043,B,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_037,A,2,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_062,B,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_068,B,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_018,A,2,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_041,B,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_052,B,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_021,A,2,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_051,B,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_026,A,2,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_066,B,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_005,A,2,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_006,A,2,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_029,A,2,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_020,A,2,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_017,A,2,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_080,B,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_058,B,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_077,B,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_002,A,2,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_003,A,2,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_076,B,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_013,A,2,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_009,A,2,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_011,A,2,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_063,B,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_059,B,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_069,B,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_027,A,2,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_050,B,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_022,A,2,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_001,A,2,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_072,B,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_025,A,2,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_065,B,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_054,B,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_053,B,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_067,B,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_046,B,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_056,B,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_028,A,2,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_047,B,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_042,B,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_036,A,2,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_023,A,2,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_044,B,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_064,B,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_038,A,2,False,False
SYN_S1_CONFIG_TWO_PROFILE_R002_079,B,1,False,False
