candidate_id,representation,algorithm,k_requested,silhouette,davies_bouldin,calinski_harabasz,minimum_cluster_size,maximum_cluster_size,eligible_min_cluster_size
R0_STANDARDIZED__HAC_WARD__K2,R0_STANDARDIZED,HAC_WARD,2,0.5571846744767402,0.5907350610852096,159.9632123338357,28,52,True
R0_STANDARDIZED__HAC_WARD__K3,R0_STANDARDIZED,HAC_WARD,3,0.5697693884418513,0.5912023713187812,241.57868396631036,24,28,True
R0_STANDARDIZED__HAC_WARD__K4,R0_STANDARDIZED,HAC_WARD,4,0.47960126090690025,0.8878060496941431,196.05614138910798,14,28,True
R0_STANDARDIZED__HAC_WARD__K5,R0_STANDARDIZED,HAC_WARD,5,0.3743581933401406,1.1020342904847285,178.25656982475448,13,24,True
R0_STANDARDIZED__HAC_WARD__K6,R0_STANDARDIZED,HAC_WARD,6,0.26512956526985143,1.3011917168193872,154.73659873903856,10,15,True
R0_STANDARDIZED__KMEANS__K2,R0_STANDARDIZED,KMEANS,2,0.5520820738795817,0.6046016992880544,165.77970404500473,30,50,True
R0_STANDARDIZED__KMEANS__K3,R0_STANDARDIZED,KMEANS,3,0.5697693884418513,0.5912023713187812,241.57868396631036,24,28,True
R0_STANDARDIZED__KMEANS__K4,R0_STANDARDIZED,KMEANS,4,0.4798360916279834,0.8853952143674502,196.415521613247,12,28,True
R0_STANDARDIZED__KMEANS__K5,R0_STANDARDIZED,KMEANS,5,0.3837861732263351,1.0695920327461956,180.6067227045274,11,24,True
R0_STANDARDIZED__KMEANS__K6,R0_STANDARDIZED,KMEANS,6,0.2742374104972328,1.2741400710952815,157.17752110198103,11,17,True
R1_PCA85__HAC_WARD__K2,R1_PCA85,HAC_WARD,2,0.7049133837554357,0.34376385508679513,259.7540101525399,28,52,True
R1_PCA85__HAC_WARD__K3,R1_PCA85,HAC_WARD,3,0.8745025263208259,0.19629982857572104,2469.4576992800303,24,28,True
R1_PCA85__HAC_WARD__K4,R1_PCA85,HAC_WARD,4,0.8187165827293679,0.2948084097631989,3263.2256011329896,12,28,True
R1_PCA85__HAC_WARD__K5,R1_PCA85,HAC_WARD,5,0.7438681782767615,0.3727281310022793,3421.2738750787594,10,28,True
R1_PCA85__HAC_WARD__K6,R1_PCA85,HAC_WARD,6,0.7393483348244942,0.3375446484340295,3647.7931864128277,2,28,False
R1_PCA85__KMEANS__K2,R1_PCA85,KMEANS,2,0.6979965222561727,0.37196915208787135,274.1685125368433,30,50,True
R1_PCA85__KMEANS__K3,R1_PCA85,KMEANS,3,0.8745025263208259,0.19629982857572104,2469.4576992800303,24,28,True
R1_PCA85__KMEANS__K4,R1_PCA85,KMEANS,4,0.8185216142231017,0.30553482366194146,3280.709849447471,11,28,True
R1_PCA85__KMEANS__K5,R1_PCA85,KMEANS,5,0.743185600985643,0.37996590484014947,3447.180160385827,10,28,True
R1_PCA85__KMEANS__K6,R1_PCA85,KMEANS,6,0.7364082038171039,0.37778289361171175,3733.972234458345,3,28,False
