institution_id,cluster_id
SYN_S2_CORE_BOUNDARY_R002_069,0
SYN_S2_CORE_BOUNDARY_R002_001,2
SYN_S2_CORE_BOUNDARY_R002_029,0
SYN_S2_CORE_BOUNDARY_R002_038,0
SYN_S2_CORE_BOUNDARY_R002_065,1
SYN_S2_CORE_BOUNDARY_R002_023,2
SYN_S2_CORE_BOUNDARY_R002_005,2
SYN_S2_CORE_BOUNDARY_R002_067,1
SYN_S2_CORE_BOUNDARY_R002_012,2
SYN_S2_CORE_BOUNDARY_R002_058,1
SYN_S2_CORE_BOUNDARY_R002_037,0
SYN_S2_CORE_BOUNDARY_R002_017,2
SYN_S2_CORE_BOUNDARY_R002_032,0
SYN_S2_CORE_BOUNDARY_R002_030,0
SYN_S2_CORE_BOUNDARY_R002_061,1
SYN_S2_CORE_BOUNDARY_R002_062,1
SYN_S2_CORE_BOUNDARY_R002_026,2
SYN_S2_CORE_BOUNDARY_R002_075,0
SYN_S2_CORE_BOUNDARY_R002_063,1
SYN_S2_CORE_BOUNDARY_R002_071,0
SYN_S2_CORE_BOUNDARY_R002_040,0
SYN_S2_CORE_BOUNDARY_R002_019,2
SYN_S2_CORE_BOUNDARY_R002_080,0
SYN_S2_CORE_BOUNDARY_R002_057,1
SYN_S2_CORE_BOUNDARY_R002_070,0
SYN_S2_CORE_BOUNDARY_R002_034,0
SYN_S2_CORE_BOUNDARY_R002_021,2
SYN_S2_CORE_BOUNDARY_R002_018,2
SYN_S2_CORE_BOUNDARY_R002_068,1
SYN_S2_CORE_BOUNDARY_R002_004,2
SYN_S2_CORE_BOUNDARY_R002_052,1
SYN_S2_CORE_BOUNDARY_R002_055,1
SYN_S2_CORE_BOUNDARY_R002_042,1
SYN_S2_CORE_BOUNDARY_R002_035,0
SYN_S2_CORE_BOUNDARY_R002_022,2
SYN_S2_CORE_BOUNDARY_R002_016,2
SYN_S2_CORE_BOUNDARY_R002_079,0
SYN_S2_CORE_BOUNDARY_R002_056,1
SYN_S2_CORE_BOUNDARY_R002_044,1
SYN_S2_CORE_BOUNDARY_R002_072,0
SYN_S2_CORE_BOUNDARY_R002_078,0
SYN_S2_CORE_BOUNDARY_R002_028,2
SYN_S2_CORE_BOUNDARY_R002_047,1
SYN_S2_CORE_BOUNDARY_R002_010,2
SYN_S2_CORE_BOUNDARY_R002_020,2
SYN_S2_CORE_BOUNDARY_R002_076,0
SYN_S2_CORE_BOUNDARY_R002_054,1
SYN_S2_CORE_BOUNDARY_R002_025,2
SYN_S2_CORE_BOUNDARY_R002_006,2
SYN_S2_CORE_BOUNDARY_R002_050,1
SYN_S2_CORE_BOUNDARY_R002_066,1
SYN_S2_CORE_BOUNDARY_R002_041,1
SYN_S2_CORE_BOUNDARY_R002_003,2
SYN_S2_CORE_BOUNDARY_R002_043,1
SYN_S2_CORE_BOUNDARY_R002_036,0
SYN_S2_CORE_BOUNDARY_R002_051,1
SYN_S2_CORE_BOUNDARY_R002_073,0
SYN_S2_CORE_BOUNDARY_R002_014,2
SYN_S2_CORE_BOUNDARY_R002_046,1
SYN_S2_CORE_BOUNDARY_R002_027,2
SYN_S2_CORE_BOUNDARY_R002_002,2
SYN_S2_CORE_BOUNDARY_R002_077,0
SYN_S2_CORE_BOUNDARY_R002_064,1
SYN_S2_CORE_BOUNDARY_R002_009,2
SYN_S2_CORE_BOUNDARY_R002_060,1
SYN_S2_CORE_BOUNDARY_R002_024,2
SYN_S2_CORE_BOUNDARY_R002_045,1
SYN_S2_CORE_BOUNDARY_R002_015,2
SYN_S2_CORE_BOUNDARY_R002_031,0
SYN_S2_CORE_BOUNDARY_R002_053,1
SYN_S2_CORE_BOUNDARY_R002_059,1
SYN_S2_CORE_BOUNDARY_R002_007,2
SYN_S2_CORE_BOUNDARY_R002_048,1
SYN_S2_CORE_BOUNDARY_R002_049,1
SYN_S2_CORE_BOUNDARY_R002_013,2
SYN_S2_CORE_BOUNDARY_R002_008,2
SYN_S2_CORE_BOUNDARY_R002_039,0
SYN_S2_CORE_BOUNDARY_R002_033,0
SYN_S2_CORE_BOUNDARY_R002_011,2
SYN_S2_CORE_BOUNDARY_R002_074,0
