candidate_id,representation,algorithm,k_requested,silhouette,davies_bouldin,calinski_harabasz,minimum_cluster_size,maximum_cluster_size,eligible_min_cluster_size
R0_STANDARDIZED__HAC_WARD__K2,R0_STANDARDIZED,HAC_WARD,2,0.4828730150546837,0.851096260744144,95.54885016661218,40,40,True
R0_STANDARDIZED__HAC_WARD__K3,R0_STANDARDIZED,HAC_WARD,3,0.33566530926941207,0.9516884581884844,58.77353017754893,16,40,True
R0_STANDARDIZED__HAC_WARD__K4,R0_STANDARDIZED,HAC_WARD,4,0.2661444615427415,1.7921913774386478,45.96776757199897,16,24,True
R0_STANDARDIZED__HAC_WARD__K5,R0_STANDARDIZED,HAC_WARD,5,0.26839759891829157,1.618968264209753,39.191579320968195,8,24,True
R0_STANDARDIZED__HAC_WARD__K6,R0_STANDARDIZED,HAC_WARD,6,0.27065385729987596,1.5572774562894873,35.59742565092675,7,24,True
R0_STANDARDIZED__KMEANS__K2,R0_STANDARDIZED,KMEANS,2,0.4828730150546837,0.851096260744144,95.54885016661218,40,40,True
R0_STANDARDIZED__KMEANS__K3,R0_STANDARDIZED,KMEANS,3,0.33566530926941207,0.9516884581884844,58.773530177548935,16,40,True
R0_STANDARDIZED__KMEANS__K4,R0_STANDARDIZED,KMEANS,4,0.2739094450150424,1.7163361820767082,46.91073079188416,16,24,True
R0_STANDARDIZED__KMEANS__K5,R0_STANDARDIZED,KMEANS,5,0.2786280385226977,1.579499554485355,41.29563487274043,11,24,True
R0_STANDARDIZED__KMEANS__K6,R0_STANDARDIZED,KMEANS,6,0.2824767065259817,1.5182760964902833,36.973406431425474,8,24,True
R1_PCA85__HAC_WARD__K2,R1_PCA85,HAC_WARD,2,0.5438569596910111,0.7196321639867052,132.40405382106,40,40,True
R1_PCA85__HAC_WARD__K3,R1_PCA85,HAC_WARD,3,0.39956817722898136,0.8661053905493388,81.81887960318721,16,40,True
R1_PCA85__HAC_WARD__K4,R1_PCA85,HAC_WARD,4,0.309179106250577,1.5062054703419607,66.77700556272222,16,24,True
R1_PCA85__HAC_WARD__K5,R1_PCA85,HAC_WARD,5,0.3195456696811338,1.337826689718234,60.36172289059532,6,24,True
R1_PCA85__HAC_WARD__K6,R1_PCA85,HAC_WARD,6,0.328652452523142,1.238658620815187,56.78379663660575,6,24,True
R1_PCA85__KMEANS__K2,R1_PCA85,KMEANS,2,0.5438569596910111,0.7196321639867052,132.40405382106,40,40,True
R1_PCA85__KMEANS__K3,R1_PCA85,KMEANS,3,0.4076645414119838,1.5050176663441317,82.7450171759376,19,40,True
R1_PCA85__KMEANS__K4,R1_PCA85,KMEANS,4,0.3151573005427518,1.4243768795551184,69.26574893058273,16,24,True
R1_PCA85__KMEANS__K5,R1_PCA85,KMEANS,5,0.3274724087155566,1.3151005304425647,63.24524990233208,9,24,True
R1_PCA85__KMEANS__K6,R1_PCA85,KMEANS,6,0.33331771279860617,1.2245828380131636,58.44676244580789,7,24,True
