institution_id,row_index,reference_profile,n_oob_predictions,profile_1_probability,profile_2_probability,reference_profile_probability,normalized_entropy,membership_margin,family_consistency,certainty_class
SYN_S3_DIRECTIONAL_REACHABILITY_R002_046,0,1,36,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_054,1,1,36,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_064,2,1,34,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_042,3,1,39,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_007,4,2,38,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_009,5,2,45,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_078,6,1,35,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_001,7,2,46,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_067,8,1,44,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_079,9,1,37,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_004,10,2,40,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_061,11,1,42,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_040,12,2,39,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_018,13,2,35,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_017,14,2,40,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_050,15,1,36,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_010,16,2,44,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_065,17,1,39,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_070,18,1,41,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_006,19,2,37,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_002,20,2,31,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_028,21,2,37,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_075,22,1,49,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_072,23,1,44,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_053,24,1,37,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_031,25,2,46,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_048,26,1,33,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_076,27,1,37,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_073,28,1,43,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_044,29,1,38,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_049,30,1,48,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_047,31,1,42,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_059,32,1,43,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_016,33,2,46,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_019,34,2,31,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_037,35,2,42,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_058,36,1,30,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_068,37,1,34,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_057,38,1,39,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_032,39,2,44,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_039,40,2,40,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_060,41,1,38,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_005,42,2,28,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_022,43,2,43,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_013,44,2,43,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_052,45,1,45,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_045,46,1,38,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_043,47,1,41,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_063,48,1,28,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_014,49,2,36,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_012,50,2,53,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_074,51,1,38,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_021,52,2,41,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_051,53,1,43,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_011,54,2,50,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_035,55,2,47,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_025,56,2,37,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_026,57,2,41,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_029,58,2,39,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_062,59,1,46,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_055,60,1,36,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_003,61,2,40,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_038,62,2,31,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_080,63,1,38,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_023,64,2,54,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_015,65,2,48,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_008,66,2,35,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_036,67,2,38,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_027,68,2,48,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_020,69,2,42,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_041,70,1,40,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_077,71,1,44,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_034,72,2,33,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_071,73,1,41,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_066,74,1,35,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_024,75,2,34,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_030,76,2,45,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_056,77,1,44,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_033,78,2,36,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R002_069,79,1,46,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
