institution_id,source_index,source_profile,target_profile,status,candidate_count_evaluated,valid_candidate_count,pareto_candidate_count,saved_candidate_count,single_model_reachable,best_ensemble_support,robust_reachable_tau_080,robust_reachable_tau_090,robust_reachable_tau_095
SYN_S3_DIRECTIONAL_REACHABILITY_R002_003,61,2,1,COMPLETED,66378,0,0,0,False,,False,False,False
SYN_S3_DIRECTIONAL_REACHABILITY_R002_004,10,2,1,COMPLETED,66378,0,0,0,False,,False,False,False
SYN_S3_DIRECTIONAL_REACHABILITY_R002_010,16,2,1,COMPLETED,66378,0,0,0,False,,False,False,False
SYN_S3_DIRECTIONAL_REACHABILITY_R002_012,50,2,1,COMPLETED,66378,0,0,0,False,,False,False,False
SYN_S3_DIRECTIONAL_REACHABILITY_R002_013,44,2,1,COMPLETED,66378,0,0,0,False,,False,False,False
SYN_S3_DIRECTIONAL_REACHABILITY_R002_016,33,2,1,COMPLETED,66378,0,0,0,False,,False,False,False
SYN_S3_DIRECTIONAL_REACHABILITY_R002_018,13,2,1,COMPLETED,66378,0,0,0,False,,False,False,False
SYN_S3_DIRECTIONAL_REACHABILITY_R002_034,72,2,1,COMPLETED,66378,0,0,0,False,,False,False,False
SYN_S3_DIRECTIONAL_REACHABILITY_R002_035,55,2,1,COMPLETED,66378,0,0,0,False,,False,False,False
SYN_S3_DIRECTIONAL_REACHABILITY_R002_037,35,2,1,COMPLETED,66378,0,0,0,False,,False,False,False
SYN_S3_DIRECTIONAL_REACHABILITY_R002_043,47,1,2,COMPLETED,66378,0,0,0,False,,False,False,False
SYN_S3_DIRECTIONAL_REACHABILITY_R002_052,45,1,2,COMPLETED,66378,0,0,0,False,,False,False,False
SYN_S3_DIRECTIONAL_REACHABILITY_R002_063,48,1,2,COMPLETED,66378,0,0,0,False,,False,False,False
SYN_S3_DIRECTIONAL_REACHABILITY_R002_065,17,1,2,COMPLETED,66378,6972,28,5,True,0.631,False,False,False
SYN_S3_DIRECTIONAL_REACHABILITY_R002_066,74,1,2,COMPLETED,66378,3022,27,5,True,0.992,True,True,True
SYN_S3_DIRECTIONAL_REACHABILITY_R002_068,37,1,2,COMPLETED,66378,3164,20,5,True,0.863,True,False,False
SYN_S3_DIRECTIONAL_REACHABILITY_R002_074,51,1,2,COMPLETED,66378,6492,18,5,True,0.745,False,False,False
SYN_S3_DIRECTIONAL_REACHABILITY_R002_077,71,1,2,COMPLETED,66378,5166,37,5,True,0.582,False,False,False
SYN_S3_DIRECTIONAL_REACHABILITY_R002_078,6,1,2,COMPLETED,66378,2492,20,5,True,0.655,False,False,False
SYN_S3_DIRECTIONAL_REACHABILITY_R002_080,63,1,2,COMPLETED,66378,6798,31,5,True,0.592,False,False,False
