institution_id,cluster_id
SYN_S4_SEVERITY_CONTINUUM_R002_069,0
SYN_S4_SEVERITY_CONTINUUM_R002_030,3
SYN_S4_SEVERITY_CONTINUUM_R002_032,2
SYN_S4_SEVERITY_CONTINUUM_R002_073,3
SYN_S4_SEVERITY_CONTINUUM_R002_035,1
SYN_S4_SEVERITY_CONTINUUM_R002_015,3
SYN_S4_SEVERITY_CONTINUUM_R002_070,2
SYN_S4_SEVERITY_CONTINUUM_R002_061,3
SYN_S4_SEVERITY_CONTINUUM_R002_014,2
SYN_S4_SEVERITY_CONTINUUM_R002_006,0
SYN_S4_SEVERITY_CONTINUUM_R002_009,2
SYN_S4_SEVERITY_CONTINUUM_R002_066,2
SYN_S4_SEVERITY_CONTINUUM_R002_053,2
SYN_S4_SEVERITY_CONTINUUM_R002_055,2
SYN_S4_SEVERITY_CONTINUUM_R002_050,2
SYN_S4_SEVERITY_CONTINUUM_R002_042,1
SYN_S4_SEVERITY_CONTINUUM_R002_029,3
SYN_S4_SEVERITY_CONTINUUM_R002_060,0
SYN_S4_SEVERITY_CONTINUUM_R002_056,0
SYN_S4_SEVERITY_CONTINUUM_R002_067,0
SYN_S4_SEVERITY_CONTINUUM_R002_018,3
SYN_S4_SEVERITY_CONTINUUM_R002_075,1
SYN_S4_SEVERITY_CONTINUUM_R002_063,2
SYN_S4_SEVERITY_CONTINUUM_R002_040,3
SYN_S4_SEVERITY_CONTINUUM_R002_017,1
SYN_S4_SEVERITY_CONTINUUM_R002_048,1
SYN_S4_SEVERITY_CONTINUUM_R002_023,2
SYN_S4_SEVERITY_CONTINUUM_R002_005,0
SYN_S4_SEVERITY_CONTINUUM_R002_019,0
SYN_S4_SEVERITY_CONTINUUM_R002_052,2
SYN_S4_SEVERITY_CONTINUUM_R002_072,3
SYN_S4_SEVERITY_CONTINUUM_R002_038,2
SYN_S4_SEVERITY_CONTINUUM_R002_079,0
SYN_S4_SEVERITY_CONTINUUM_R002_049,1
SYN_S4_SEVERITY_CONTINUUM_R002_076,3
SYN_S4_SEVERITY_CONTINUUM_R002_062,3
SYN_S4_SEVERITY_CONTINUUM_R002_021,0
SYN_S4_SEVERITY_CONTINUUM_R002_058,3
SYN_S4_SEVERITY_CONTINUUM_R002_003,1
SYN_S4_SEVERITY_CONTINUUM_R002_037,3
SYN_S4_SEVERITY_CONTINUUM_R002_026,2
SYN_S4_SEVERITY_CONTINUUM_R002_008,1
SYN_S4_SEVERITY_CONTINUUM_R002_059,2
SYN_S4_SEVERITY_CONTINUUM_R002_036,1
SYN_S4_SEVERITY_CONTINUUM_R002_011,0
SYN_S4_SEVERITY_CONTINUUM_R002_044,0
SYN_S4_SEVERITY_CONTINUUM_R002_047,1
SYN_S4_SEVERITY_CONTINUUM_R002_001,2
SYN_S4_SEVERITY_CONTINUUM_R002_027,1
SYN_S4_SEVERITY_CONTINUUM_R002_002,1
SYN_S4_SEVERITY_CONTINUUM_R002_041,0
SYN_S4_SEVERITY_CONTINUUM_R002_080,1
SYN_S4_SEVERITY_CONTINUUM_R002_045,3
SYN_S4_SEVERITY_CONTINUUM_R002_012,0
SYN_S4_SEVERITY_CONTINUUM_R002_074,2
SYN_S4_SEVERITY_CONTINUUM_R002_043,3
SYN_S4_SEVERITY_CONTINUUM_R002_039,3
SYN_S4_SEVERITY_CONTINUUM_R002_024,2
SYN_S4_SEVERITY_CONTINUUM_R002_046,2
SYN_S4_SEVERITY_CONTINUUM_R002_078,2
SYN_S4_SEVERITY_CONTINUUM_R002_034,2
SYN_S4_SEVERITY_CONTINUUM_R002_013,1
SYN_S4_SEVERITY_CONTINUUM_R002_028,3
SYN_S4_SEVERITY_CONTINUUM_R002_020,0
SYN_S4_SEVERITY_CONTINUUM_R002_025,3
SYN_S4_SEVERITY_CONTINUUM_R002_068,3
SYN_S4_SEVERITY_CONTINUUM_R002_007,3
SYN_S4_SEVERITY_CONTINUUM_R002_057,2
SYN_S4_SEVERITY_CONTINUUM_R002_010,1
SYN_S4_SEVERITY_CONTINUUM_R002_031,0
SYN_S4_SEVERITY_CONTINUUM_R002_033,3
SYN_S4_SEVERITY_CONTINUUM_R002_022,1
SYN_S4_SEVERITY_CONTINUUM_R002_064,3
SYN_S4_SEVERITY_CONTINUUM_R002_051,2
SYN_S4_SEVERITY_CONTINUUM_R002_071,1
SYN_S4_SEVERITY_CONTINUUM_R002_054,1
SYN_S4_SEVERITY_CONTINUUM_R002_065,3
SYN_S4_SEVERITY_CONTINUUM_R002_077,2
SYN_S4_SEVERITY_CONTINUUM_R002_004,2
SYN_S4_SEVERITY_CONTINUUM_R002_016,2
