candidate_id,representation,algorithm,k_requested,silhouette,davies_bouldin,calinski_harabasz,minimum_cluster_size,maximum_cluster_size,eligible_min_cluster_size
R0_STANDARDIZED__HAC_WARD__K2,R0_STANDARDIZED,HAC_WARD,2,0.2954387725571306,1.1220425969452616,29.11507117030131,17,63,True
R0_STANDARDIZED__HAC_WARD__K3,R0_STANDARDIZED,HAC_WARD,3,0.3252401539269679,1.2645899957005378,35.10664312125908,17,37,True
R0_STANDARDIZED__HAC_WARD__K4,R0_STANDARDIZED,HAC_WARD,4,0.4051747176193478,0.9601639275990088,46.149467278193775,15,26,True
R0_STANDARDIZED__HAC_WARD__K5,R0_STANDARDIZED,HAC_WARD,5,0.3271896751991693,1.122460448597535,37.1702929940696,3,23,False
R0_STANDARDIZED__HAC_WARD__K6,R0_STANDARDIZED,HAC_WARD,6,0.29760242541703696,1.3372978504386042,31.21250315162032,3,22,False
R0_STANDARDIZED__KMEANS__K2,R0_STANDARDIZED,KMEANS,2,0.2954387725571306,1.1220425969452616,29.11507117030131,17,63,True
R0_STANDARDIZED__KMEANS__K3,R0_STANDARDIZED,KMEANS,3,0.3252401539269679,1.2645899957005378,35.10664312125908,17,37,True
R0_STANDARDIZED__KMEANS__K4,R0_STANDARDIZED,KMEANS,4,0.4051747176193478,0.9601639275990088,46.14946727819377,15,26,True
R0_STANDARDIZED__KMEANS__K5,R0_STANDARDIZED,KMEANS,5,0.32201705177424444,1.4003260917198994,37.458225370637535,8,22,True
R0_STANDARDIZED__KMEANS__K6,R0_STANDARDIZED,KMEANS,6,0.29749224247913125,1.4046921232240972,31.369147885176243,3,22,False
R1_PCA85__HAC_WARD__K2,R1_PCA85,HAC_WARD,2,0.3425327760332014,0.974404520367227,34.75244516765492,17,63,True
R1_PCA85__HAC_WARD__K3,R1_PCA85,HAC_WARD,3,0.38798430134099815,1.0959023048889678,45.232833142427566,17,37,True
R1_PCA85__HAC_WARD__K4,R1_PCA85,HAC_WARD,4,0.4879301293258266,0.7786147048993246,68.9111938815446,15,26,True
R1_PCA85__HAC_WARD__K5,R1_PCA85,HAC_WARD,5,0.41173841677069023,0.8998035684543559,56.84581949428113,3,23,False
R1_PCA85__HAC_WARD__K6,R1_PCA85,HAC_WARD,6,0.36499453157046147,1.196715322944627,48.42454828895073,3,22,False
R1_PCA85__KMEANS__K2,R1_PCA85,KMEANS,2,0.3425327760332014,0.974404520367227,34.75244516765492,17,63,True
R1_PCA85__KMEANS__K3,R1_PCA85,KMEANS,3,0.38798430134099815,1.0959023048889678,45.232833142427566,17,37,True
R1_PCA85__KMEANS__K4,R1_PCA85,KMEANS,4,0.4879301293258266,0.7786147048993246,68.9111938815446,15,26,True
R1_PCA85__KMEANS__K5,R1_PCA85,KMEANS,5,0.4005264426864546,1.121367949132336,57.50673001475294,7,22,True
R1_PCA85__KMEANS__K6,R1_PCA85,KMEANS,6,0.3184447878743783,1.5004538049434915,48.96597699251698,8,18,True
