institution_id,cluster_id
SYN_S5_GOVERNANCE_CONFOUNDED_R002_061,1
SYN_S5_GOVERNANCE_CONFOUNDED_R002_056,0
SYN_S5_GOVERNANCE_CONFOUNDED_R002_006,3
SYN_S5_GOVERNANCE_CONFOUNDED_R002_004,2
SYN_S5_GOVERNANCE_CONFOUNDED_R002_014,0
SYN_S5_GOVERNANCE_CONFOUNDED_R002_040,0
SYN_S5_GOVERNANCE_CONFOUNDED_R002_030,2
SYN_S5_GOVERNANCE_CONFOUNDED_R002_028,0
SYN_S5_GOVERNANCE_CONFOUNDED_R002_050,1
SYN_S5_GOVERNANCE_CONFOUNDED_R002_020,0
SYN_S5_GOVERNANCE_CONFOUNDED_R002_053,3
SYN_S5_GOVERNANCE_CONFOUNDED_R002_074,0
SYN_S5_GOVERNANCE_CONFOUNDED_R002_009,2
SYN_S5_GOVERNANCE_CONFOUNDED_R002_062,2
SYN_S5_GOVERNANCE_CONFOUNDED_R002_051,1
SYN_S5_GOVERNANCE_CONFOUNDED_R002_007,3
SYN_S5_GOVERNANCE_CONFOUNDED_R002_031,1
SYN_S5_GOVERNANCE_CONFOUNDED_R002_063,2
SYN_S5_GOVERNANCE_CONFOUNDED_R002_067,3
SYN_S5_GOVERNANCE_CONFOUNDED_R002_059,0
SYN_S5_GOVERNANCE_CONFOUNDED_R002_017,1
SYN_S5_GOVERNANCE_CONFOUNDED_R002_078,3
SYN_S5_GOVERNANCE_CONFOUNDED_R002_001,3
SYN_S5_GOVERNANCE_CONFOUNDED_R002_032,2
SYN_S5_GOVERNANCE_CONFOUNDED_R002_075,3
SYN_S5_GOVERNANCE_CONFOUNDED_R002_023,2
SYN_S5_GOVERNANCE_CONFOUNDED_R002_069,2
SYN_S5_GOVERNANCE_CONFOUNDED_R002_008,0
SYN_S5_GOVERNANCE_CONFOUNDED_R002_025,1
SYN_S5_GOVERNANCE_CONFOUNDED_R002_036,0
SYN_S5_GOVERNANCE_CONFOUNDED_R002_016,2
SYN_S5_GOVERNANCE_CONFOUNDED_R002_024,1
SYN_S5_GOVERNANCE_CONFOUNDED_R002_055,2
SYN_S5_GOVERNANCE_CONFOUNDED_R002_026,0
SYN_S5_GOVERNANCE_CONFOUNDED_R002_035,3
SYN_S5_GOVERNANCE_CONFOUNDED_R002_015,1
SYN_S5_GOVERNANCE_CONFOUNDED_R002_065,3
SYN_S5_GOVERNANCE_CONFOUNDED_R002_070,0
SYN_S5_GOVERNANCE_CONFOUNDED_R002_002,2
SYN_S5_GOVERNANCE_CONFOUNDED_R002_021,0
SYN_S5_GOVERNANCE_CONFOUNDED_R002_027,2
SYN_S5_GOVERNANCE_CONFOUNDED_R002_048,0
SYN_S5_GOVERNANCE_CONFOUNDED_R002_077,1
SYN_S5_GOVERNANCE_CONFOUNDED_R002_052,2
SYN_S5_GOVERNANCE_CONFOUNDED_R002_068,2
SYN_S5_GOVERNANCE_CONFOUNDED_R002_072,1
SYN_S5_GOVERNANCE_CONFOUNDED_R002_010,1
SYN_S5_GOVERNANCE_CONFOUNDED_R002_044,1
SYN_S5_GOVERNANCE_CONFOUNDED_R002_003,2
SYN_S5_GOVERNANCE_CONFOUNDED_R002_033,1
SYN_S5_GOVERNANCE_CONFOUNDED_R002_057,0
SYN_S5_GOVERNANCE_CONFOUNDED_R002_011,2
SYN_S5_GOVERNANCE_CONFOUNDED_R002_034,0
SYN_S5_GOVERNANCE_CONFOUNDED_R002_060,0
SYN_S5_GOVERNANCE_CONFOUNDED_R002_042,0
SYN_S5_GOVERNANCE_CONFOUNDED_R002_012,3
SYN_S5_GOVERNANCE_CONFOUNDED_R002_058,2
SYN_S5_GOVERNANCE_CONFOUNDED_R002_049,3
SYN_S5_GOVERNANCE_CONFOUNDED_R002_038,1
SYN_S5_GOVERNANCE_CONFOUNDED_R002_066,0
SYN_S5_GOVERNANCE_CONFOUNDED_R002_037,3
SYN_S5_GOVERNANCE_CONFOUNDED_R002_022,0
SYN_S5_GOVERNANCE_CONFOUNDED_R002_080,1
SYN_S5_GOVERNANCE_CONFOUNDED_R002_071,0
SYN_S5_GOVERNANCE_CONFOUNDED_R002_064,2
SYN_S5_GOVERNANCE_CONFOUNDED_R002_041,3
SYN_S5_GOVERNANCE_CONFOUNDED_R002_019,2
SYN_S5_GOVERNANCE_CONFOUNDED_R002_076,2
SYN_S5_GOVERNANCE_CONFOUNDED_R002_079,1
SYN_S5_GOVERNANCE_CONFOUNDED_R002_073,2
SYN_S5_GOVERNANCE_CONFOUNDED_R002_005,0
SYN_S5_GOVERNANCE_CONFOUNDED_R002_029,3
SYN_S5_GOVERNANCE_CONFOUNDED_R002_013,2
SYN_S5_GOVERNANCE_CONFOUNDED_R002_045,0
SYN_S5_GOVERNANCE_CONFOUNDED_R002_047,0
SYN_S5_GOVERNANCE_CONFOUNDED_R002_043,0
SYN_S5_GOVERNANCE_CONFOUNDED_R002_054,0
SYN_S5_GOVERNANCE_CONFOUNDED_R002_018,3
SYN_S5_GOVERNANCE_CONFOUNDED_R002_046,0
SYN_S5_GOVERNANCE_CONFOUNDED_R002_039,1
