institution_id,latent_profile,true_profile,true_boundary,oracle_reachable,governance_type
SYN_S5_GOVERNANCE_CONFOUNDED_R002_061,,,False,False,PRIVATE
SYN_S5_GOVERNANCE_CONFOUNDED_R002_056,,,False,False,NGO
SYN_S5_GOVERNANCE_CONFOUNDED_R002_006,,,False,False,MIXED
SYN_S5_GOVERNANCE_CONFOUNDED_R002_004,,,False,False,PUBLIC
SYN_S5_GOVERNANCE_CONFOUNDED_R002_014,,,False,False,NGO
SYN_S5_GOVERNANCE_CONFOUNDED_R002_040,,,False,False,NGO
SYN_S5_GOVERNANCE_CONFOUNDED_R002_030,,,False,False,PUBLIC
SYN_S5_GOVERNANCE_CONFOUNDED_R002_028,,,False,False,NGO
SYN_S5_GOVERNANCE_CONFOUNDED_R002_050,,,False,False,PRIVATE
SYN_S5_GOVERNANCE_CONFOUNDED_R002_020,,,False,False,NGO
SYN_S5_GOVERNANCE_CONFOUNDED_R002_053,,,False,False,MIXED
SYN_S5_GOVERNANCE_CONFOUNDED_R002_074,,,False,False,NGO
SYN_S5_GOVERNANCE_CONFOUNDED_R002_009,,,False,False,PUBLIC
SYN_S5_GOVERNANCE_CONFOUNDED_R002_062,,,False,False,PUBLIC
SYN_S5_GOVERNANCE_CONFOUNDED_R002_051,,,False,False,PRIVATE
SYN_S5_GOVERNANCE_CONFOUNDED_R002_007,,,False,False,MIXED
SYN_S5_GOVERNANCE_CONFOUNDED_R002_031,,,False,False,PRIVATE
SYN_S5_GOVERNANCE_CONFOUNDED_R002_063,,,False,False,PUBLIC
SYN_S5_GOVERNANCE_CONFOUNDED_R002_067,,,False,False,MIXED
SYN_S5_GOVERNANCE_CONFOUNDED_R002_059,,,False,False,NGO
SYN_S5_GOVERNANCE_CONFOUNDED_R002_017,,,False,False,PRIVATE
SYN_S5_GOVERNANCE_CONFOUNDED_R002_078,,,False,False,MIXED
SYN_S5_GOVERNANCE_CONFOUNDED_R002_001,,,False,False,MIXED
SYN_S5_GOVERNANCE_CONFOUNDED_R002_032,,,False,False,PUBLIC
SYN_S5_GOVERNANCE_CONFOUNDED_R002_075,,,False,False,MIXED
SYN_S5_GOVERNANCE_CONFOUNDED_R002_023,,,False,False,PUBLIC
SYN_S5_GOVERNANCE_CONFOUNDED_R002_069,,,False,False,PUBLIC
SYN_S5_GOVERNANCE_CONFOUNDED_R002_008,,,False,False,NGO
SYN_S5_GOVERNANCE_CONFOUNDED_R002_025,,,False,False,PRIVATE
SYN_S5_GOVERNANCE_CONFOUNDED_R002_036,,,False,False,NGO
SYN_S5_GOVERNANCE_CONFOUNDED_R002_016,,,False,False,PUBLIC
SYN_S5_GOVERNANCE_CONFOUNDED_R002_024,,,False,False,PRIVATE
SYN_S5_GOVERNANCE_CONFOUNDED_R002_055,,,False,False,PUBLIC
SYN_S5_GOVERNANCE_CONFOUNDED_R002_026,,,False,False,NGO
SYN_S5_GOVERNANCE_CONFOUNDED_R002_035,,,False,False,MIXED
SYN_S5_GOVERNANCE_CONFOUNDED_R002_015,,,False,False,PRIVATE
SYN_S5_GOVERNANCE_CONFOUNDED_R002_065,,,False,False,MIXED
SYN_S5_GOVERNANCE_CONFOUNDED_R002_070,,,False,False,NGO
SYN_S5_GOVERNANCE_CONFOUNDED_R002_002,,,False,False,PUBLIC
SYN_S5_GOVERNANCE_CONFOUNDED_R002_021,,,False,False,NGO
SYN_S5_GOVERNANCE_CONFOUNDED_R002_027,,,False,False,PUBLIC
SYN_S5_GOVERNANCE_CONFOUNDED_R002_048,,,False,False,NGO
SYN_S5_GOVERNANCE_CONFOUNDED_R002_077,,,False,False,PRIVATE
SYN_S5_GOVERNANCE_CONFOUNDED_R002_052,,,False,False,PUBLIC
SYN_S5_GOVERNANCE_CONFOUNDED_R002_068,,,False,False,PUBLIC
SYN_S5_GOVERNANCE_CONFOUNDED_R002_072,,,False,False,PRIVATE
SYN_S5_GOVERNANCE_CONFOUNDED_R002_010,,,False,False,PRIVATE
SYN_S5_GOVERNANCE_CONFOUNDED_R002_044,,,False,False,PRIVATE
SYN_S5_GOVERNANCE_CONFOUNDED_R002_003,,,False,False,PUBLIC
SYN_S5_GOVERNANCE_CONFOUNDED_R002_033,,,False,False,PRIVATE
SYN_S5_GOVERNANCE_CONFOUNDED_R002_057,,,False,False,NGO
SYN_S5_GOVERNANCE_CONFOUNDED_R002_011,,,False,False,PUBLIC
SYN_S5_GOVERNANCE_CONFOUNDED_R002_034,,,False,False,NGO
SYN_S5_GOVERNANCE_CONFOUNDED_R002_060,,,False,False,NGO
SYN_S5_GOVERNANCE_CONFOUNDED_R002_042,,,False,False,NGO
SYN_S5_GOVERNANCE_CONFOUNDED_R002_012,,,False,False,MIXED
SYN_S5_GOVERNANCE_CONFOUNDED_R002_058,,,False,False,PUBLIC
SYN_S5_GOVERNANCE_CONFOUNDED_R002_049,,,False,False,MIXED
SYN_S5_GOVERNANCE_CONFOUNDED_R002_038,,,False,False,PRIVATE
