candidate_id,representation,algorithm,k_requested,silhouette,davies_bouldin,calinski_harabasz,minimum_cluster_size,maximum_cluster_size,eligible_min_cluster_size
R0_STANDARDIZED__HAC_WARD__K2,R0_STANDARDIZED,HAC_WARD,2,0.14068914334548382,2.1781566043891774,15.75811121383207,35,45,True
R0_STANDARDIZED__HAC_WARD__K3,R0_STANDARDIZED,HAC_WARD,3,0.10885093150633143,2.2729899873939594,10.6474001767963,13,45,True
R0_STANDARDIZED__HAC_WARD__K4,R0_STANDARDIZED,HAC_WARD,4,0.07027248164343633,2.586123900156176,9.123017200241362,13,28,True
R0_STANDARDIZED__HAC_WARD__K5,R0_STANDARDIZED,HAC_WARD,5,0.0787382367929395,2.3797407224543154,8.381016684864656,10,22,True
R0_STANDARDIZED__HAC_WARD__K6,R0_STANDARDIZED,HAC_WARD,6,0.08074837480292954,2.15637673997224,7.783784927795937,7,22,True
R0_STANDARDIZED__KMEANS__K2,R0_STANDARDIZED,KMEANS,2,0.14943275008630835,2.116911419348669,16.942805616866657,39,41,True
R0_STANDARDIZED__KMEANS__K3,R0_STANDARDIZED,KMEANS,3,0.09950972768721741,2.5681112137479283,12.144620603656035,24,31,True
R0_STANDARDIZED__KMEANS__K4,R0_STANDARDIZED,KMEANS,4,0.09246370396798007,2.3455420871439516,10.18183351909011,16,26,True
R0_STANDARDIZED__KMEANS__K5,R0_STANDARDIZED,KMEANS,5,0.09431872513315179,2.265716616433294,8.81771971187073,10,21,True
R0_STANDARDIZED__KMEANS__K6,R0_STANDARDIZED,KMEANS,6,0.08275320513183204,2.1503219928823802,8.139190810780285,11,16,True
R1_PCA85__HAC_WARD__K2,R1_PCA85,HAC_WARD,2,0.149244812370306,2.070167584080739,17.510160640065354,38,42,True
R1_PCA85__HAC_WARD__K3,R1_PCA85,HAC_WARD,3,0.09552592616989461,2.10077207770713,12.332521703698216,11,38,True
R1_PCA85__HAC_WARD__K4,R1_PCA85,HAC_WARD,4,0.09010283220048462,2.095378726635385,10.544547368385391,11,38,True
R1_PCA85__HAC_WARD__K5,R1_PCA85,HAC_WARD,5,0.09340671029698276,2.1061603461540517,9.862411979664381,11,27,True
R1_PCA85__HAC_WARD__K6,R1_PCA85,HAC_WARD,6,0.10065020306599068,2.026211553733871,9.432731992908828,11,18,True
R1_PCA85__KMEANS__K2,R1_PCA85,KMEANS,2,0.17241325719186268,1.9279934850261848,20.2232161761558,39,41,True
R1_PCA85__KMEANS__K3,R1_PCA85,KMEANS,3,0.11591688559059747,2.2439693888858554,14.735047430640863,18,37,True
R1_PCA85__KMEANS__K4,R1_PCA85,KMEANS,4,0.11937805030092838,2.064083190593367,12.656573900951733,19,21,True
R1_PCA85__KMEANS__K5,R1_PCA85,KMEANS,5,0.11013355482329175,1.9890157763210996,11.287577092152715,13,19,True
R1_PCA85__KMEANS__K6,R1_PCA85,KMEANS,6,0.10606107756957732,1.9469935307025958,10.213866066524623,9,18,True
