institution_id,row_index,reference_profile,n_oob_predictions,profile_1_probability,profile_2_probability,reference_profile_probability,normalized_entropy,membership_margin,family_consistency,certainty_class
SYN_S6_NO_CLUSTER_NULL_R002_068,0,2,45,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S6_NO_CLUSTER_NULL_R002_027,1,1,41,0.5365853658536586,0.4634146341463415,0.5365853658536586,0.9961344835095797,0.07317073170731714,0.4166666666666667,BOUNDARY
SYN_S6_NO_CLUSTER_NULL_R002_060,2,2,35,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S6_NO_CLUSTER_NULL_R002_023,3,1,32,0.71875,0.28125,0.71875,0.8571484374283717,0.4375,0.6363636363636364,BOUNDARY
SYN_S6_NO_CLUSTER_NULL_R002_076,4,2,41,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S6_NO_CLUSTER_NULL_R002_019,5,2,34,0.029411764705882353,0.9705882352941176,0.9705882352941176,0.19143325481419346,0.9411764705882353,0.8888888888888888,CORE
SYN_S6_NO_CLUSTER_NULL_R002_054,6,2,44,0.09090909090909091,0.9090909090909091,0.9090909090909091,0.43949698692151334,0.8181818181818181,0.7272727272727273,HALO
SYN_S6_NO_CLUSTER_NULL_R002_052,7,2,48,0.020833333333333332,0.9791666666666666,0.9791666666666666,0.1460942501201363,0.9583333333333334,0.9166666666666666,CORE
SYN_S6_NO_CLUSTER_NULL_R002_046,8,1,37,0.8108108108108109,0.1891891891891892,0.8108108108108109,0.6997722217733069,0.6216216216216217,0.7142857142857143,HALO
SYN_S6_NO_CLUSTER_NULL_R002_013,9,2,46,0.021739130434782608,0.9782608695652174,0.9782608695652174,0.15109697051711368,0.9565217391304348,0.8333333333333334,CORE
SYN_S6_NO_CLUSTER_NULL_R002_006,10,1,37,0.6756756756756757,0.32432432432432434,0.6756756756756757,0.9090221560878149,0.3513513513513513,0.5714285714285714,BOUNDARY
SYN_S6_NO_CLUSTER_NULL_R002_005,11,2,39,0.05128205128205128,0.9487179487179487,0.9487179487179487,0.29181825659888583,0.8974358974358975,0.8,CORE
SYN_S6_NO_CLUSTER_NULL_R002_077,12,1,62,0.8548387096774194,0.14516129032258066,0.8548387096774194,0.5975977764379983,0.7096774193548387,0.7272727272727273,HALO
SYN_S6_NO_CLUSTER_NULL_R002_017,13,1,45,0.6888888888888889,0.3111111111111111,0.6888888888888889,0.8944518845341284,0.37777777777777777,0.42857142857142855,BOUNDARY
SYN_S6_NO_CLUSTER_NULL_R002_048,14,2,32,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S6_NO_CLUSTER_NULL_R002_009,15,2,31,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S6_NO_CLUSTER_NULL_R002_007,16,2,43,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S6_NO_CLUSTER_NULL_R002_062,17,1,47,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S6_NO_CLUSTER_NULL_R002_033,18,1,36,0.3055555555555556,0.6944444444444444,0.3055555555555556,0.887976319515135,0.38888888888888884,0.0,BOUNDARY
SYN_S6_NO_CLUSTER_NULL_R002_014,19,1,31,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S6_NO_CLUSTER_NULL_R002_078,20,2,43,0.11627906976744186,0.8837209302325582,0.8837209302325582,0.5185697317883058,0.7674418604651163,0.8,HALO
SYN_S6_NO_CLUSTER_NULL_R002_059,21,1,38,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S6_NO_CLUSTER_NULL_R002_004,22,2,36,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S6_NO_CLUSTER_NULL_R002_069,23,2,39,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S6_NO_CLUSTER_NULL_R002_038,24,2,35,0.08571428571428572,0.9142857142857143,0.9142857142857143,0.42200051688315315,0.8285714285714285,0.7692307692307693,HALO
SYN_S6_NO_CLUSTER_NULL_R002_080,25,2,38,0.02631578947368421,0.9736842105263158,0.9736842105263158,0.17556502585750278,0.9473684210526316,0.9333333333333333,CORE
SYN_S6_NO_CLUSTER_NULL_R002_044,26,2,42,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S6_NO_CLUSTER_NULL_R002_037,27,1,21,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S6_NO_CLUSTER_NULL_R002_055,28,2,29,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S6_NO_CLUSTER_NULL_R002_024,29,2,33,0.06060606060606061,0.9393939393939394,0.9393939393939394,0.32984607020714635,0.8787878787878788,0.8888888888888888,CORE
SYN_S6_NO_CLUSTER_NULL_R002_053,30,1,38,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S6_NO_CLUSTER_NULL_R002_079,31,1,47,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S6_NO_CLUSTER_NULL_R002_022,32,2,36,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S6_NO_CLUSTER_NULL_R002_032,33,1,34,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S6_NO_CLUSTER_NULL_R002_043,34,2,47,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S6_NO_CLUSTER_NULL_R002_051,35,1,36,0.8611111111111112,0.1388888888888889,0.8611111111111112,0.5813214987637029,0.7222222222222223,0.5714285714285714,BOUNDARY
SYN_S6_NO_CLUSTER_NULL_R002_025,36,2,40,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S6_NO_CLUSTER_NULL_R002_049,37,2,33,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S6_NO_CLUSTER_NULL_R002_074,38,1,36,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S6_NO_CLUSTER_NULL_R002_001,39,1,46,0.9130434782608695,0.08695652173913043,0.9130434782608695,0.42622865699814483,0.826086956521739,0.8823529411764706,CORE
SYN_S6_NO_CLUSTER_NULL_R002_021,40,2,35,0.02857142857142857,0.9714285714285714,0.9714285714285714,0.18717625687320819,0.9428571428571428,0.8,CORE
SYN_S6_NO_CLUSTER_NULL_R002_016,41,2,39,0.05128205128205128,0.9487179487179487,0.9487179487179487,0.29181825659888583,0.8974358974358975,0.8461538461538461,CORE
SYN_S6_NO_CLUSTER_NULL_R002_050,42,1,43,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S6_NO_CLUSTER_NULL_R002_063,43,2,39,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S6_NO_CLUSTER_NULL_R002_040,44,1,44,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S6_NO_CLUSTER_NULL_R002_039,45,1,33,0.6363636363636364,0.36363636363636365,0.6363636363636364,0.9456603046006401,0.2727272727272727,0.125,BOUNDARY
SYN_S6_NO_CLUSTER_NULL_R002_075,46,1,46,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S6_NO_CLUSTER_NULL_R002_056,47,2,44,0.022727272727272728,0.9772727272727273,0.9772727272727273,0.15649106290570153,0.9545454545454546,0.9,CORE
SYN_S6_NO_CLUSTER_NULL_R002_026,48,2,50,0.2,0.8,0.8,0.7219280948873623,0.6,0.7058823529411765,HALO
SYN_S6_NO_CLUSTER_NULL_R002_057,49,2,46,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S6_NO_CLUSTER_NULL_R002_067,50,1,44,0.5681818181818182,0.4318181818181818,0.5681818181818182,0.9865446300055644,0.13636363636363646,0.5,BOUNDARY
SYN_S6_NO_CLUSTER_NULL_R002_047,51,1,40,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S6_NO_CLUSTER_NULL_R002_018,52,2,44,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S6_NO_CLUSTER_NULL_R002_045,53,1,40,0.95,0.05,0.95,0.2863969571159562,0.8999999999999999,0.75,HALO
SYN_S6_NO_CLUSTER_NULL_R002_010,54,1,41,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S6_NO_CLUSTER_NULL_R002_008,55,2,37,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S6_NO_CLUSTER_NULL_R002_041,56,2,35,0.02857142857142857,0.9714285714285714,0.9714285714285714,0.18717625687320819,0.9428571428571428,0.9285714285714286,CORE
SYN_S6_NO_CLUSTER_NULL_R002_031,57,2,46,0.021739130434782608,0.9782608695652174,0.9782608695652174,0.15109697051711368,0.9565217391304348,0.9090909090909091,CORE
SYN_S6_NO_CLUSTER_NULL_R002_070,58,2,49,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S6_NO_CLUSTER_NULL_R002_035,59,2,47,0.0851063829787234,0.9148936170212766,0.9148936170212766,0.419921097375718,0.8297872340425532,0.8333333333333334,CORE
SYN_S6_NO_CLUSTER_NULL_R002_030,60,1,41,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S6_NO_CLUSTER_NULL_R002_058,61,1,36,0.5555555555555556,0.4444444444444444,0.5555555555555556,0.9910760598382222,0.11111111111111116,0.4,BOUNDARY
SYN_S6_NO_CLUSTER_NULL_R002_042,62,1,33,0.24242424242424243,0.7575757575757576,0.24242424242424243,0.7990485210442682,0.5151515151515151,0.1,BOUNDARY
SYN_S6_NO_CLUSTER_NULL_R002_036,63,2,38,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S6_NO_CLUSTER_NULL_R002_002,64,1,45,0.26666666666666666,0.7333333333333333,0.26666666666666666,0.8366407419411673,0.4666666666666667,0.1,BOUNDARY
SYN_S6_NO_CLUSTER_NULL_R002_012,65,2,39,0.1794871794871795,0.8205128205128205,0.8205128205128205,0.6789538995185759,0.641025641025641,0.7857142857142857,HALO
