institution_id,cluster_id
SYN_S6_NO_CLUSTER_NULL_R002_068,1
SYN_S6_NO_CLUSTER_NULL_R002_027,0
SYN_S6_NO_CLUSTER_NULL_R002_060,1
SYN_S6_NO_CLUSTER_NULL_R002_023,0
SYN_S6_NO_CLUSTER_NULL_R002_076,1
SYN_S6_NO_CLUSTER_NULL_R002_019,1
SYN_S6_NO_CLUSTER_NULL_R002_054,1
SYN_S6_NO_CLUSTER_NULL_R002_052,1
SYN_S6_NO_CLUSTER_NULL_R002_046,0
SYN_S6_NO_CLUSTER_NULL_R002_013,1
SYN_S6_NO_CLUSTER_NULL_R002_006,0
SYN_S6_NO_CLUSTER_NULL_R002_005,1
SYN_S6_NO_CLUSTER_NULL_R002_077,0
SYN_S6_NO_CLUSTER_NULL_R002_017,0
SYN_S6_NO_CLUSTER_NULL_R002_048,1
SYN_S6_NO_CLUSTER_NULL_R002_009,1
SYN_S6_NO_CLUSTER_NULL_R002_007,1
SYN_S6_NO_CLUSTER_NULL_R002_062,0
SYN_S6_NO_CLUSTER_NULL_R002_033,0
SYN_S6_NO_CLUSTER_NULL_R002_014,0
SYN_S6_NO_CLUSTER_NULL_R002_078,1
SYN_S6_NO_CLUSTER_NULL_R002_059,0
SYN_S6_NO_CLUSTER_NULL_R002_004,1
SYN_S6_NO_CLUSTER_NULL_R002_069,1
SYN_S6_NO_CLUSTER_NULL_R002_038,1
SYN_S6_NO_CLUSTER_NULL_R002_080,1
SYN_S6_NO_CLUSTER_NULL_R002_044,1
SYN_S6_NO_CLUSTER_NULL_R002_037,0
SYN_S6_NO_CLUSTER_NULL_R002_055,1
SYN_S6_NO_CLUSTER_NULL_R002_024,1
SYN_S6_NO_CLUSTER_NULL_R002_053,0
SYN_S6_NO_CLUSTER_NULL_R002_079,0
SYN_S6_NO_CLUSTER_NULL_R002_022,1
SYN_S6_NO_CLUSTER_NULL_R002_032,0
SYN_S6_NO_CLUSTER_NULL_R002_043,1
SYN_S6_NO_CLUSTER_NULL_R002_051,0
SYN_S6_NO_CLUSTER_NULL_R002_025,1
SYN_S6_NO_CLUSTER_NULL_R002_049,1
SYN_S6_NO_CLUSTER_NULL_R002_074,0
SYN_S6_NO_CLUSTER_NULL_R002_001,0
SYN_S6_NO_CLUSTER_NULL_R002_021,1
SYN_S6_NO_CLUSTER_NULL_R002_016,1
SYN_S6_NO_CLUSTER_NULL_R002_050,0
SYN_S6_NO_CLUSTER_NULL_R002_063,1
SYN_S6_NO_CLUSTER_NULL_R002_040,0
SYN_S6_NO_CLUSTER_NULL_R002_039,0
SYN_S6_NO_CLUSTER_NULL_R002_075,0
SYN_S6_NO_CLUSTER_NULL_R002_056,1
SYN_S6_NO_CLUSTER_NULL_R002_026,1
SYN_S6_NO_CLUSTER_NULL_R002_057,1
SYN_S6_NO_CLUSTER_NULL_R002_067,0
SYN_S6_NO_CLUSTER_NULL_R002_047,0
SYN_S6_NO_CLUSTER_NULL_R002_018,1
SYN_S6_NO_CLUSTER_NULL_R002_045,0
SYN_S6_NO_CLUSTER_NULL_R002_010,0
SYN_S6_NO_CLUSTER_NULL_R002_008,1
SYN_S6_NO_CLUSTER_NULL_R002_041,1
SYN_S6_NO_CLUSTER_NULL_R002_031,1
SYN_S6_NO_CLUSTER_NULL_R002_070,1
SYN_S6_NO_CLUSTER_NULL_R002_035,1
SYN_S6_NO_CLUSTER_NULL_R002_030,0
SYN_S6_NO_CLUSTER_NULL_R002_058,0
SYN_S6_NO_CLUSTER_NULL_R002_042,0
SYN_S6_NO_CLUSTER_NULL_R002_036,1
SYN_S6_NO_CLUSTER_NULL_R002_002,0
SYN_S6_NO_CLUSTER_NULL_R002_012,1
SYN_S6_NO_CLUSTER_NULL_R002_020,0
SYN_S6_NO_CLUSTER_NULL_R002_028,0
SYN_S6_NO_CLUSTER_NULL_R002_015,1
SYN_S6_NO_CLUSTER_NULL_R002_066,0
SYN_S6_NO_CLUSTER_NULL_R002_071,0
SYN_S6_NO_CLUSTER_NULL_R002_072,1
SYN_S6_NO_CLUSTER_NULL_R002_003,0
SYN_S6_NO_CLUSTER_NULL_R002_034,0
SYN_S6_NO_CLUSTER_NULL_R002_065,0
SYN_S6_NO_CLUSTER_NULL_R002_064,0
SYN_S6_NO_CLUSTER_NULL_R002_073,0
SYN_S6_NO_CLUSTER_NULL_R002_029,0
SYN_S6_NO_CLUSTER_NULL_R002_011,1
SYN_S6_NO_CLUSTER_NULL_R002_061,1
