institution_id,latent_profile,true_profile,true_boundary,oracle_reachable
SYN_S6_NO_CLUSTER_NULL_R002_068,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_027,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_060,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_023,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_076,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_019,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_054,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_052,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_046,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_013,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_006,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_005,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_077,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_017,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_048,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_009,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_007,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_062,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_033,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_014,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_078,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_059,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_004,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_069,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_038,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_080,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_044,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_037,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_055,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_024,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_053,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_079,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_022,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_032,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_043,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_051,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_025,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_049,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_074,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_001,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_021,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_016,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_050,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_063,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_040,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_039,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_075,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_056,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_026,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_057,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_067,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_047,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_018,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_045,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_010,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_008,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_041,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_031,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_070,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_035,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_030,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_058,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_042,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_036,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_002,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_012,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_020,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_028,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_015,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_066,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_071,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_072,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_003,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_034,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_065,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_064,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_073,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_029,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_011,,,False,False
SYN_S6_NO_CLUSTER_NULL_R002_061,,,False,False
