institution_id,row_index,reference_profile,n_oob_predictions,profile_1_probability,profile_2_probability,reference_profile_probability,normalized_entropy,membership_margin,family_consistency,certainty_class
SYN_S1_CONFIG_TWO_PROFILE_R001_046,0,1,39,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R001_048,1,1,41,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R001_037,2,2,44,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R001_009,3,2,44,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R001_058,4,1,45,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R001_003,5,2,43,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R001_073,6,1,41,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R001_049,7,1,32,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R001_072,8,1,34,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R001_012,9,2,36,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R001_061,10,1,44,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R001_002,11,2,47,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R001_005,12,2,36,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R001_063,13,1,43,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R001_040,14,2,37,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R001_051,15,1,41,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R001_031,16,2,27,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R001_052,17,1,38,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R001_036,18,2,30,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R001_069,19,1,51,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R001_027,20,2,32,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R001_076,21,1,39,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R001_010,22,2,36,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R001_021,23,2,37,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R001_070,24,1,41,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R001_050,25,1,35,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R001_065,26,1,44,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R001_075,27,1,45,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R001_067,28,1,33,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R001_045,29,1,32,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R001_066,30,1,38,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R001_008,31,2,43,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R001_074,32,1,37,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S1_CONFIG_TWO_PROFILE_R001_018,33,2,46,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
