institution_id,cluster_id
SYN_S1_CONFIG_TWO_PROFILE_R001_046,0
SYN_S1_CONFIG_TWO_PROFILE_R001_048,0
SYN_S1_CONFIG_TWO_PROFILE_R001_037,1
SYN_S1_CONFIG_TWO_PROFILE_R001_009,1
SYN_S1_CONFIG_TWO_PROFILE_R001_058,0
SYN_S1_CONFIG_TWO_PROFILE_R001_003,1
SYN_S1_CONFIG_TWO_PROFILE_R001_073,0
SYN_S1_CONFIG_TWO_PROFILE_R001_049,0
SYN_S1_CONFIG_TWO_PROFILE_R001_072,0
SYN_S1_CONFIG_TWO_PROFILE_R001_012,1
SYN_S1_CONFIG_TWO_PROFILE_R001_061,0
SYN_S1_CONFIG_TWO_PROFILE_R001_002,1
SYN_S1_CONFIG_TWO_PROFILE_R001_005,1
SYN_S1_CONFIG_TWO_PROFILE_R001_063,0
SYN_S1_CONFIG_TWO_PROFILE_R001_040,1
SYN_S1_CONFIG_TWO_PROFILE_R001_051,0
SYN_S1_CONFIG_TWO_PROFILE_R001_031,1
SYN_S1_CONFIG_TWO_PROFILE_R001_052,0
SYN_S1_CONFIG_TWO_PROFILE_R001_036,1
SYN_S1_CONFIG_TWO_PROFILE_R001_069,0
SYN_S1_CONFIG_TWO_PROFILE_R001_027,1
SYN_S1_CONFIG_TWO_PROFILE_R001_076,0
SYN_S1_CONFIG_TWO_PROFILE_R001_010,1
SYN_S1_CONFIG_TWO_PROFILE_R001_021,1
SYN_S1_CONFIG_TWO_PROFILE_R001_070,0
SYN_S1_CONFIG_TWO_PROFILE_R001_050,0
SYN_S1_CONFIG_TWO_PROFILE_R001_065,0
SYN_S1_CONFIG_TWO_PROFILE_R001_075,0
SYN_S1_CONFIG_TWO_PROFILE_R001_067,0
SYN_S1_CONFIG_TWO_PROFILE_R001_045,0
SYN_S1_CONFIG_TWO_PROFILE_R001_066,0
SYN_S1_CONFIG_TWO_PROFILE_R001_008,1
SYN_S1_CONFIG_TWO_PROFILE_R001_074,0
SYN_S1_CONFIG_TWO_PROFILE_R001_018,1
SYN_S1_CONFIG_TWO_PROFILE_R001_007,1
SYN_S1_CONFIG_TWO_PROFILE_R001_034,1
SYN_S1_CONFIG_TWO_PROFILE_R001_059,0
SYN_S1_CONFIG_TWO_PROFILE_R001_029,1
SYN_S1_CONFIG_TWO_PROFILE_R001_064,0
SYN_S1_CONFIG_TWO_PROFILE_R001_041,0
SYN_S1_CONFIG_TWO_PROFILE_R001_015,1
SYN_S1_CONFIG_TWO_PROFILE_R001_055,0
SYN_S1_CONFIG_TWO_PROFILE_R001_042,0
SYN_S1_CONFIG_TWO_PROFILE_R001_030,1
SYN_S1_CONFIG_TWO_PROFILE_R001_054,0
SYN_S1_CONFIG_TWO_PROFILE_R001_071,0
SYN_S1_CONFIG_TWO_PROFILE_R001_060,0
SYN_S1_CONFIG_TWO_PROFILE_R001_044,0
SYN_S1_CONFIG_TWO_PROFILE_R001_078,0
SYN_S1_CONFIG_TWO_PROFILE_R001_025,1
SYN_S1_CONFIG_TWO_PROFILE_R001_062,0
SYN_S1_CONFIG_TWO_PROFILE_R001_035,1
SYN_S1_CONFIG_TWO_PROFILE_R001_022,1
SYN_S1_CONFIG_TWO_PROFILE_R001_079,0
SYN_S1_CONFIG_TWO_PROFILE_R001_056,0
SYN_S1_CONFIG_TWO_PROFILE_R001_043,0
SYN_S1_CONFIG_TWO_PROFILE_R001_013,1
SYN_S1_CONFIG_TWO_PROFILE_R001_053,0
SYN_S1_CONFIG_TWO_PROFILE_R001_077,0
SYN_S1_CONFIG_TWO_PROFILE_R001_020,1
SYN_S1_CONFIG_TWO_PROFILE_R001_006,1
SYN_S1_CONFIG_TWO_PROFILE_R001_011,1
SYN_S1_CONFIG_TWO_PROFILE_R001_019,1
SYN_S1_CONFIG_TWO_PROFILE_R001_017,1
SYN_S1_CONFIG_TWO_PROFILE_R001_068,0
SYN_S1_CONFIG_TWO_PROFILE_R001_014,1
SYN_S1_CONFIG_TWO_PROFILE_R001_024,1
SYN_S1_CONFIG_TWO_PROFILE_R001_023,1
SYN_S1_CONFIG_TWO_PROFILE_R001_004,1
SYN_S1_CONFIG_TWO_PROFILE_R001_001,1
SYN_S1_CONFIG_TWO_PROFILE_R001_026,1
SYN_S1_CONFIG_TWO_PROFILE_R001_028,1
SYN_S1_CONFIG_TWO_PROFILE_R001_039,1
SYN_S1_CONFIG_TWO_PROFILE_R001_033,1
SYN_S1_CONFIG_TWO_PROFILE_R001_032,1
SYN_S1_CONFIG_TWO_PROFILE_R001_080,0
SYN_S1_CONFIG_TWO_PROFILE_R001_057,0
SYN_S1_CONFIG_TWO_PROFILE_R001_038,1
SYN_S1_CONFIG_TWO_PROFILE_R001_016,1
SYN_S1_CONFIG_TWO_PROFILE_R001_047,0
