candidate_id,representation,algorithm,k_requested,silhouette,davies_bouldin,calinski_harabasz,minimum_cluster_size,maximum_cluster_size,eligible_min_cluster_size
R0_STANDARDIZED__HAC_WARD__K2,R0_STANDARDIZED,HAC_WARD,2,0.5413402824940106,0.6009427844979057,150.229287895708,28,52,True
R0_STANDARDIZED__HAC_WARD__K3,R0_STANDARDIZED,HAC_WARD,3,0.5560302132904915,0.6109534115907533,228.3618053238507,24,28,True
R0_STANDARDIZED__HAC_WARD__K4,R0_STANDARDIZED,HAC_WARD,4,0.5278386392880715,0.6281141689857367,183.4624403165425,3,28,False
R0_STANDARDIZED__HAC_WARD__K5,R0_STANDARDIZED,HAC_WARD,5,0.44365087745540055,0.8298219107446094,171.8137485678779,3,25,False
R0_STANDARDIZED__HAC_WARD__K6,R0_STANDARDIZED,HAC_WARD,6,0.39018913460621135,0.9502114896749531,153.81866601343083,3,24,False
R0_STANDARDIZED__KMEANS__K2,R0_STANDARDIZED,KMEANS,2,0.5242876055822892,0.6538315474100772,168.48701108865475,40,40,True
R0_STANDARDIZED__KMEANS__K3,R0_STANDARDIZED,KMEANS,3,0.5560302132904915,0.6109534115907533,228.3618053238507,24,28,True
R0_STANDARDIZED__KMEANS__K4,R0_STANDARDIZED,KMEANS,4,0.474864159461149,0.8697777546389485,184.1206521137966,13,28,True
R0_STANDARDIZED__KMEANS__K5,R0_STANDARDIZED,KMEANS,5,0.446672585458729,0.8220742403195367,172.55574049597797,3,25,False
R0_STANDARDIZED__KMEANS__K6,R0_STANDARDIZED,KMEANS,6,0.39056226053986237,0.9673553337325123,155.87502797313374,3,24,False
R1_PCA85__HAC_WARD__K2,R1_PCA85,HAC_WARD,2,0.6858098139115566,0.3593374153577992,240.06419738730975,28,52,True
R1_PCA85__HAC_WARD__K3,R1_PCA85,HAC_WARD,3,0.8587153390808178,0.22412754174107027,1957.5711025308149,24,28,True
R1_PCA85__HAC_WARD__K4,R1_PCA85,HAC_WARD,4,0.8216816070486803,0.2523839122770454,2794.750744537925,10,28,True
R1_PCA85__HAC_WARD__K5,R1_PCA85,HAC_WARD,5,0.7240316506336204,0.3665374399451392,2760.479446167072,10,28,True
R1_PCA85__HAC_WARD__K6,R1_PCA85,HAC_WARD,6,0.7009614767756827,0.4362318880753473,2902.966543383279,4,28,False
R1_PCA85__KMEANS__K2,R1_PCA85,KMEANS,2,0.6610031221512922,0.47129844469363047,283.4050496682933,40,40,True
R1_PCA85__KMEANS__K3,R1_PCA85,KMEANS,3,0.8587153390808178,0.22412754174107027,1957.571102530814,24,28,True
R1_PCA85__KMEANS__K4,R1_PCA85,KMEANS,4,0.8294136450064669,0.2734667803672173,2967.879363115927,12,28,True
R1_PCA85__KMEANS__K5,R1_PCA85,KMEANS,5,0.7333956440713454,0.3849529181260972,2992.387183336457,12,28,True
R1_PCA85__KMEANS__K6,R1_PCA85,KMEANS,6,0.6091105392034322,0.5025215239194255,3153.7631087917316,12,16,True
