candidate_id,representation,algorithm,k_requested,silhouette,davies_bouldin,calinski_harabasz,minimum_cluster_size,maximum_cluster_size,eligible_min_cluster_size
R0_STANDARDIZED__HAC_WARD__K2,R0_STANDARDIZED,HAC_WARD,2,0.468890982373809,0.884191822795839,89.12016257941167,40,40,True
R0_STANDARDIZED__HAC_WARD__K3,R0_STANDARDIZED,HAC_WARD,3,0.3292896837184324,0.8999885918532403,56.117554114009714,16,40,True
R0_STANDARDIZED__HAC_WARD__K4,R0_STANDARDIZED,HAC_WARD,4,0.2938422185984835,1.5777068330350843,44.283605153383135,10,30,True
R0_STANDARDIZED__HAC_WARD__K5,R0_STANDARDIZED,HAC_WARD,5,0.28442144901258204,1.5823646065775154,39.09756001534889,10,24,True
R0_STANDARDIZED__HAC_WARD__K6,R0_STANDARDIZED,HAC_WARD,6,0.2944025438207629,1.4825356143346813,35.86465897780873,5,24,True
R0_STANDARDIZED__KMEANS__K2,R0_STANDARDIZED,KMEANS,2,0.468890982373809,0.884191822795839,89.12016257941167,40,40,True
R0_STANDARDIZED__KMEANS__K3,R0_STANDARDIZED,KMEANS,3,0.3292896837184324,0.8999885918532403,56.117554114009714,16,40,True
R0_STANDARDIZED__KMEANS__K4,R0_STANDARDIZED,KMEANS,4,0.2918517231695213,1.5771133401218642,46.19981956427159,15,25,True
R0_STANDARDIZED__KMEANS__K5,R0_STANDARDIZED,KMEANS,5,0.28302289284818205,1.6220250797869014,39.62342317563235,9,24,True
R0_STANDARDIZED__KMEANS__K6,R0_STANDARDIZED,KMEANS,6,0.2900546344516761,1.5281322034932066,36.048105821977245,6,24,True
R1_PCA85__HAC_WARD__K2,R1_PCA85,HAC_WARD,2,0.5298722166296894,0.751396299249373,122.45410412462736,40,40,True
R1_PCA85__HAC_WARD__K3,R1_PCA85,HAC_WARD,3,0.4041283610424446,0.7579311130046555,78.75840385341426,16,40,True
R1_PCA85__HAC_WARD__K4,R1_PCA85,HAC_WARD,4,0.33501598704876273,1.3990337951399403,64.36993553410919,13,27,True
R1_PCA85__HAC_WARD__K5,R1_PCA85,HAC_WARD,5,0.34051025254861456,1.2732308882283891,57.700286141176065,4,24,False
R1_PCA85__HAC_WARD__K6,R1_PCA85,HAC_WARD,6,0.34532814853700006,1.2216014265679564,54.37098740323282,4,24,False
R1_PCA85__KMEANS__K2,R1_PCA85,KMEANS,2,0.5298722166296894,0.751396299249373,122.45410412462736,40,40,True
R1_PCA85__KMEANS__K3,R1_PCA85,KMEANS,3,0.4041283610424446,0.7579311130046555,78.75840385341426,16,40,True
R1_PCA85__KMEANS__K4,R1_PCA85,KMEANS,4,0.3564506642426298,1.3090481174352675,68.53363367885133,14,26,True
R1_PCA85__KMEANS__K5,R1_PCA85,KMEANS,5,0.3463415665459348,1.2519640615331304,62.138556598445646,11,24,True
R1_PCA85__KMEANS__K6,R1_PCA85,KMEANS,6,0.3612006345530605,1.1557358003654448,59.19379274483581,7,24,True
