candidate_id,representation,algorithm,k_requested,silhouette,davies_bouldin,calinski_harabasz,minimum_cluster_size,maximum_cluster_size,eligible_min_cluster_size
R0_STANDARDIZED__HAC_WARD__K2,R0_STANDARDIZED,HAC_WARD,2,0.5427887772129095,0.5160787779168702,150.4134161902343,25,55,True
R0_STANDARDIZED__HAC_WARD__K3,R0_STANDARDIZED,HAC_WARD,3,0.5046423737031285,0.66406010451221,234.563063052941,25,29,True
R0_STANDARDIZED__HAC_WARD__K4,R0_STANDARDIZED,HAC_WARD,4,0.44540779639512695,0.8338534360402711,233.66363043081518,14,26,True
R0_STANDARDIZED__HAC_WARD__K5,R0_STANDARDIZED,HAC_WARD,5,0.3893206145351661,1.0653399981520315,194.9116161189324,7,26,True
R0_STANDARDIZED__HAC_WARD__K6,R0_STANDARDIZED,HAC_WARD,6,0.308589319190706,1.288231491831107,169.61422037495265,7,25,True
R0_STANDARDIZED__KMEANS__K2,R0_STANDARDIZED,KMEANS,2,0.6023587561611062,0.5384640072543024,241.04202237936136,37,43,True
R0_STANDARDIZED__KMEANS__K3,R0_STANDARDIZED,KMEANS,3,0.5287676670824972,0.6640067093862871,265.1637886420678,25,29,True
R0_STANDARDIZED__KMEANS__K4,R0_STANDARDIZED,KMEANS,4,0.45640201514232287,0.8163325384618445,240.91489288760596,12,26,True
R0_STANDARDIZED__KMEANS__K5,R0_STANDARDIZED,KMEANS,5,0.38606191036988263,1.0078535874480261,199.9527847415327,7,26,True
R0_STANDARDIZED__KMEANS__K6,R0_STANDARDIZED,KMEANS,6,0.3027832347564604,1.262136814073666,176.05137848567637,8,24,True
R1_PCA85__HAC_WARD__K2,R1_PCA85,HAC_WARD,2,0.6006136615413095,0.38496863740185383,168.215267345252,24,56,True
R1_PCA85__HAC_WARD__K3,R1_PCA85,HAC_WARD,3,0.6460921796427215,0.441347520690571,401.8468512807382,24,30,True
R1_PCA85__HAC_WARD__K4,R1_PCA85,HAC_WARD,4,0.6692567012286943,0.4078990582371499,677.5681554392268,14,26,True
R1_PCA85__HAC_WARD__K5,R1_PCA85,HAC_WARD,5,0.6821522905637007,0.38248520097358835,835.7355117285075,7,26,True
R1_PCA85__HAC_WARD__K6,R1_PCA85,HAC_WARD,6,0.6189532332124644,0.44983299415830746,936.689084597315,7,24,True
R1_PCA85__KMEANS__K2,R1_PCA85,KMEANS,2,0.6843712061161846,0.4255110728630565,333.85615164428594,37,43,True
R1_PCA85__KMEANS__K3,R1_PCA85,KMEANS,3,0.7000031883746785,0.4021019283511704,562.2723192794286,24,30,True
R1_PCA85__KMEANS__K4,R1_PCA85,KMEANS,4,0.6939880155613556,0.40655307191424556,782.5308541121425,12,26,True
R1_PCA85__KMEANS__K5,R1_PCA85,KMEANS,5,0.6821522905637007,0.38248520097358835,835.7355117285074,7,26,True
R1_PCA85__KMEANS__K6,R1_PCA85,KMEANS,6,0.6503519434155167,0.4322776654678407,1005.917377623429,7,24,True
