institution_id,cluster_id
SYN_S4_SEVERITY_CONTINUUM_R001_066,0
SYN_S4_SEVERITY_CONTINUUM_R001_031,0
SYN_S4_SEVERITY_CONTINUUM_R001_069,1
SYN_S4_SEVERITY_CONTINUUM_R001_080,0
SYN_S4_SEVERITY_CONTINUUM_R001_045,2
SYN_S4_SEVERITY_CONTINUUM_R001_014,1
SYN_S4_SEVERITY_CONTINUUM_R001_079,1
SYN_S4_SEVERITY_CONTINUUM_R001_036,2
SYN_S4_SEVERITY_CONTINUUM_R001_017,0
SYN_S4_SEVERITY_CONTINUUM_R001_020,0
SYN_S4_SEVERITY_CONTINUUM_R001_035,2
SYN_S4_SEVERITY_CONTINUUM_R001_038,1
SYN_S4_SEVERITY_CONTINUUM_R001_010,0
SYN_S4_SEVERITY_CONTINUUM_R001_001,2
SYN_S4_SEVERITY_CONTINUUM_R001_003,2
SYN_S4_SEVERITY_CONTINUUM_R001_002,2
SYN_S4_SEVERITY_CONTINUUM_R001_040,2
SYN_S4_SEVERITY_CONTINUUM_R001_073,2
SYN_S4_SEVERITY_CONTINUUM_R001_074,1
SYN_S4_SEVERITY_CONTINUUM_R001_065,1
SYN_S4_SEVERITY_CONTINUUM_R001_064,0
SYN_S4_SEVERITY_CONTINUUM_R001_018,0
SYN_S4_SEVERITY_CONTINUUM_R001_037,2
SYN_S4_SEVERITY_CONTINUUM_R001_029,2
SYN_S4_SEVERITY_CONTINUUM_R001_067,0
SYN_S4_SEVERITY_CONTINUUM_R001_043,1
SYN_S4_SEVERITY_CONTINUUM_R001_013,1
SYN_S4_SEVERITY_CONTINUUM_R001_044,2
SYN_S4_SEVERITY_CONTINUUM_R001_071,0
SYN_S4_SEVERITY_CONTINUUM_R001_059,2
SYN_S4_SEVERITY_CONTINUUM_R001_057,1
SYN_S4_SEVERITY_CONTINUUM_R001_050,0
SYN_S4_SEVERITY_CONTINUUM_R001_004,2
SYN_S4_SEVERITY_CONTINUUM_R001_070,1
SYN_S4_SEVERITY_CONTINUUM_R001_056,0
SYN_S4_SEVERITY_CONTINUUM_R001_068,0
SYN_S4_SEVERITY_CONTINUUM_R001_023,2
SYN_S4_SEVERITY_CONTINUUM_R001_048,2
SYN_S4_SEVERITY_CONTINUUM_R001_063,1
SYN_S4_SEVERITY_CONTINUUM_R001_062,1
SYN_S4_SEVERITY_CONTINUUM_R001_055,2
SYN_S4_SEVERITY_CONTINUUM_R001_039,2
SYN_S4_SEVERITY_CONTINUUM_R001_047,1
SYN_S4_SEVERITY_CONTINUUM_R001_026,1
SYN_S4_SEVERITY_CONTINUUM_R001_022,2
SYN_S4_SEVERITY_CONTINUUM_R001_078,2
SYN_S4_SEVERITY_CONTINUUM_R001_006,0
SYN_S4_SEVERITY_CONTINUUM_R001_015,1
SYN_S4_SEVERITY_CONTINUUM_R001_032,1
SYN_S4_SEVERITY_CONTINUUM_R001_075,0
SYN_S4_SEVERITY_CONTINUUM_R001_028,0
SYN_S4_SEVERITY_CONTINUUM_R001_046,0
SYN_S4_SEVERITY_CONTINUUM_R001_005,2
SYN_S4_SEVERITY_CONTINUUM_R001_021,1
SYN_S4_SEVERITY_CONTINUUM_R001_058,2
SYN_S4_SEVERITY_CONTINUUM_R001_025,1
SYN_S4_SEVERITY_CONTINUUM_R001_053,0
SYN_S4_SEVERITY_CONTINUUM_R001_016,2
SYN_S4_SEVERITY_CONTINUUM_R001_041,1
SYN_S4_SEVERITY_CONTINUUM_R001_077,1
SYN_S4_SEVERITY_CONTINUUM_R001_072,0
SYN_S4_SEVERITY_CONTINUUM_R001_007,0
SYN_S4_SEVERITY_CONTINUUM_R001_027,0
SYN_S4_SEVERITY_CONTINUUM_R001_009,1
SYN_S4_SEVERITY_CONTINUUM_R001_042,1
SYN_S4_SEVERITY_CONTINUUM_R001_012,0
SYN_S4_SEVERITY_CONTINUUM_R001_061,1
SYN_S4_SEVERITY_CONTINUUM_R001_052,1
SYN_S4_SEVERITY_CONTINUUM_R001_034,2
SYN_S4_SEVERITY_CONTINUUM_R001_030,1
SYN_S4_SEVERITY_CONTINUUM_R001_054,2
SYN_S4_SEVERITY_CONTINUUM_R001_051,2
SYN_S4_SEVERITY_CONTINUUM_R001_019,0
SYN_S4_SEVERITY_CONTINUUM_R001_024,2
SYN_S4_SEVERITY_CONTINUUM_R001_011,2
SYN_S4_SEVERITY_CONTINUUM_R001_033,2
SYN_S4_SEVERITY_CONTINUUM_R001_076,2
SYN_S4_SEVERITY_CONTINUUM_R001_060,0
SYN_S4_SEVERITY_CONTINUUM_R001_008,1
SYN_S4_SEVERITY_CONTINUUM_R001_049,0
