institution_id,row_index,reference_profile,n_oob_predictions,profile_1_probability,profile_2_probability,reference_profile_probability,normalized_entropy,membership_margin,family_consistency,certainty_class
SYN_S6_NO_CLUSTER_NULL_R001_045,0,2,38,0.02631578947368421,0.9736842105263158,0.9736842105263158,0.17556502585750278,0.9473684210526316,0.8888888888888888,CORE
SYN_S6_NO_CLUSTER_NULL_R001_021,1,2,41,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S6_NO_CLUSTER_NULL_R001_030,2,1,50,0.84,0.16,0.84,0.6343095546405662,0.6799999999999999,0.6,HALO
SYN_S6_NO_CLUSTER_NULL_R001_075,3,1,40,0.95,0.05,0.95,0.2863969571159562,0.8999999999999999,0.8461538461538461,CORE
SYN_S6_NO_CLUSTER_NULL_R001_029,4,1,43,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S6_NO_CLUSTER_NULL_R001_032,5,2,44,0.045454545454545456,0.9545454545454546,0.9545454545454546,0.26676498780302604,0.9090909090909091,0.7777777777777778,HALO
SYN_S6_NO_CLUSTER_NULL_R001_036,6,1,32,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S6_NO_CLUSTER_NULL_R001_056,7,1,41,0.8780487804878049,0.12195121951219512,0.8780487804878049,0.5349436990971067,0.7560975609756098,0.7777777777777778,HALO
SYN_S6_NO_CLUSTER_NULL_R001_017,8,2,39,0.2564102564102564,0.7435897435897436,0.7435897435897436,0.8212809417449864,0.4871794871794872,0.6363636363636364,BOUNDARY
SYN_S6_NO_CLUSTER_NULL_R001_037,9,2,32,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S6_NO_CLUSTER_NULL_R001_003,10,1,45,0.4666666666666667,0.5333333333333333,0.4666666666666667,0.9967916319816367,0.06666666666666665,0.2727272727272727,BOUNDARY
SYN_S6_NO_CLUSTER_NULL_R001_055,11,1,51,0.37254901960784315,0.6274509803921569,0.37254901960784315,0.9526092095121206,0.2549019607843137,0.25,BOUNDARY
SYN_S6_NO_CLUSTER_NULL_R001_057,12,1,41,0.8292682926829268,0.17073170731707318,0.8292682926829268,0.6593758812786993,0.6585365853658536,0.5,BOUNDARY
SYN_S6_NO_CLUSTER_NULL_R001_002,13,1,49,0.8571428571428571,0.14285714285714285,0.8571428571428571,0.5916727785823274,0.7142857142857142,0.7777777777777778,HALO
SYN_S6_NO_CLUSTER_NULL_R001_054,14,2,45,0.06666666666666667,0.9333333333333333,0.9333333333333333,0.3533593350214213,0.8666666666666667,0.8571428571428571,CORE
SYN_S6_NO_CLUSTER_NULL_R001_069,15,1,28,0.5714285714285714,0.42857142857142855,0.5714285714285714,0.9852281360342515,0.1428571428571428,0.3333333333333333,BOUNDARY
SYN_S6_NO_CLUSTER_NULL_R001_024,16,2,45,0.044444444444444446,0.9555555555555556,0.9555555555555556,0.2623112196143366,0.9111111111111111,0.8571428571428571,CORE
SYN_S6_NO_CLUSTER_NULL_R001_074,17,2,45,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S6_NO_CLUSTER_NULL_R001_011,18,2,44,0.06818181818181818,0.9318181818181818,0.9318181818181818,0.3591016256485496,0.8636363636363636,0.8,CORE
SYN_S6_NO_CLUSTER_NULL_R001_020,19,1,43,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S6_NO_CLUSTER_NULL_R001_064,20,2,44,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S6_NO_CLUSTER_NULL_R001_052,21,2,40,0.025,0.975,0.975,0.16866093149667025,0.95,0.9230769230769231,CORE
