institution_id,cluster_id
SYN_S6_NO_CLUSTER_NULL_R001_045,1
SYN_S6_NO_CLUSTER_NULL_R001_021,1
SYN_S6_NO_CLUSTER_NULL_R001_030,0
SYN_S6_NO_CLUSTER_NULL_R001_075,0
SYN_S6_NO_CLUSTER_NULL_R001_029,0
SYN_S6_NO_CLUSTER_NULL_R001_032,1
SYN_S6_NO_CLUSTER_NULL_R001_036,0
SYN_S6_NO_CLUSTER_NULL_R001_056,0
SYN_S6_NO_CLUSTER_NULL_R001_017,1
SYN_S6_NO_CLUSTER_NULL_R001_037,1
SYN_S6_NO_CLUSTER_NULL_R001_003,0
SYN_S6_NO_CLUSTER_NULL_R001_055,0
SYN_S6_NO_CLUSTER_NULL_R001_057,0
SYN_S6_NO_CLUSTER_NULL_R001_002,0
SYN_S6_NO_CLUSTER_NULL_R001_054,1
SYN_S6_NO_CLUSTER_NULL_R001_069,0
SYN_S6_NO_CLUSTER_NULL_R001_024,1
SYN_S6_NO_CLUSTER_NULL_R001_074,1
SYN_S6_NO_CLUSTER_NULL_R001_011,1
SYN_S6_NO_CLUSTER_NULL_R001_020,0
SYN_S6_NO_CLUSTER_NULL_R001_064,1
SYN_S6_NO_CLUSTER_NULL_R001_052,1
SYN_S6_NO_CLUSTER_NULL_R001_050,0
SYN_S6_NO_CLUSTER_NULL_R001_043,0
SYN_S6_NO_CLUSTER_NULL_R001_046,1
SYN_S6_NO_CLUSTER_NULL_R001_019,0
SYN_S6_NO_CLUSTER_NULL_R001_044,1
SYN_S6_NO_CLUSTER_NULL_R001_031,0
SYN_S6_NO_CLUSTER_NULL_R001_062,1
SYN_S6_NO_CLUSTER_NULL_R001_060,1
SYN_S6_NO_CLUSTER_NULL_R001_034,0
SYN_S6_NO_CLUSTER_NULL_R001_016,1
SYN_S6_NO_CLUSTER_NULL_R001_026,0
SYN_S6_NO_CLUSTER_NULL_R001_028,0
SYN_S6_NO_CLUSTER_NULL_R001_042,0
SYN_S6_NO_CLUSTER_NULL_R001_025,0
SYN_S6_NO_CLUSTER_NULL_R001_079,0
SYN_S6_NO_CLUSTER_NULL_R001_068,1
SYN_S6_NO_CLUSTER_NULL_R001_001,0
SYN_S6_NO_CLUSTER_NULL_R001_039,0
SYN_S6_NO_CLUSTER_NULL_R001_014,0
SYN_S6_NO_CLUSTER_NULL_R001_006,0
SYN_S6_NO_CLUSTER_NULL_R001_027,0
SYN_S6_NO_CLUSTER_NULL_R001_063,0
SYN_S6_NO_CLUSTER_NULL_R001_066,0
SYN_S6_NO_CLUSTER_NULL_R001_061,0
SYN_S6_NO_CLUSTER_NULL_R001_041,1
SYN_S6_NO_CLUSTER_NULL_R001_070,1
SYN_S6_NO_CLUSTER_NULL_R001_004,0
SYN_S6_NO_CLUSTER_NULL_R001_051,0
SYN_S6_NO_CLUSTER_NULL_R001_038,0
SYN_S6_NO_CLUSTER_NULL_R001_049,0
SYN_S6_NO_CLUSTER_NULL_R001_009,1
SYN_S6_NO_CLUSTER_NULL_R001_080,1
SYN_S6_NO_CLUSTER_NULL_R001_072,0
SYN_S6_NO_CLUSTER_NULL_R001_012,1
SYN_S6_NO_CLUSTER_NULL_R001_013,1
SYN_S6_NO_CLUSTER_NULL_R001_010,1
SYN_S6_NO_CLUSTER_NULL_R001_065,0
SYN_S6_NO_CLUSTER_NULL_R001_022,1
SYN_S6_NO_CLUSTER_NULL_R001_076,0
SYN_S6_NO_CLUSTER_NULL_R001_033,0
SYN_S6_NO_CLUSTER_NULL_R001_008,0
SYN_S6_NO_CLUSTER_NULL_R001_007,0
SYN_S6_NO_CLUSTER_NULL_R001_048,0
SYN_S6_NO_CLUSTER_NULL_R001_018,0
SYN_S6_NO_CLUSTER_NULL_R001_015,0
SYN_S6_NO_CLUSTER_NULL_R001_071,1
SYN_S6_NO_CLUSTER_NULL_R001_077,0
SYN_S6_NO_CLUSTER_NULL_R001_005,0
SYN_S6_NO_CLUSTER_NULL_R001_023,1
SYN_S6_NO_CLUSTER_NULL_R001_058,1
SYN_S6_NO_CLUSTER_NULL_R001_059,0
SYN_S6_NO_CLUSTER_NULL_R001_078,1
SYN_S6_NO_CLUSTER_NULL_R001_067,0
SYN_S6_NO_CLUSTER_NULL_R001_053,0
SYN_S6_NO_CLUSTER_NULL_R001_073,0
SYN_S6_NO_CLUSTER_NULL_R001_035,0
SYN_S6_NO_CLUSTER_NULL_R001_040,1
SYN_S6_NO_CLUSTER_NULL_R001_047,0
