candidate_id,representation,algorithm,k_requested,silhouette,davies_bouldin,calinski_harabasz,minimum_cluster_size,maximum_cluster_size,eligible_min_cluster_size
R0_STANDARDIZED__HAC_WARD__K2,R0_STANDARDIZED,HAC_WARD,2,0.7491944381739706,0.36165290779108794,518.3067172434036,40,40,True
R0_STANDARDIZED__HAC_WARD__K3,R0_STANDARDIZED,HAC_WARD,3,0.5187463003507826,0.8839426458891743,326.7975491923732,16,40,True
R0_STANDARDIZED__HAC_WARD__K4,R0_STANDARDIZED,HAC_WARD,4,0.29295768112359327,1.156607115662654,285.6309163265973,12,28,True
R0_STANDARDIZED__HAC_WARD__K5,R0_STANDARDIZED,HAC_WARD,5,0.27554462149646214,1.1527962896660056,235.43113295438292,3,25,False
R0_STANDARDIZED__HAC_WARD__K6,R0_STANDARDIZED,HAC_WARD,6,0.21556962364903018,1.3283911098778596,207.32954855521095,3,25,False
R0_STANDARDIZED__KMEANS__K2,R0_STANDARDIZED,KMEANS,2,0.7491944381739706,0.36165290779108794,518.3067172434036,40,40,True
R0_STANDARDIZED__KMEANS__K3,R0_STANDARDIZED,KMEANS,3,0.5190366047015729,0.8877614074223761,327.77000587957315,17,40,True
R0_STANDARDIZED__KMEANS__K4,R0_STANDARDIZED,KMEANS,4,0.2902400757268662,1.1789256135280732,289.8169121475005,14,26,True
R0_STANDARDIZED__KMEANS__K5,R0_STANDARDIZED,KMEANS,5,0.2484591304657866,1.3160070213678037,240.3210115451991,12,26,True
R0_STANDARDIZED__KMEANS__K6,R0_STANDARDIZED,KMEANS,6,0.23250793888284202,1.2905349891560562,212.2353681752813,3,23,False
R1_PCA85__HAC_WARD__K2,R1_PCA85,HAC_WARD,2,0.9581245273171195,0.056533739851035894,14451.924154524842,40,40,True
R1_PCA85__HAC_WARD__K3,R1_PCA85,HAC_WARD,3,0.7467637956725622,0.4224870253242235,11449.439783289938,19,40,True
R1_PCA85__HAC_WARD__K4,R1_PCA85,HAC_WARD,4,0.5587064889933433,0.52895393697525,11656.180286438479,7,33,True
R1_PCA85__HAC_WARD__K5,R1_PCA85,HAC_WARD,5,0.5678930373939333,0.5198107702427092,12301.672705816567,6,27,True
R1_PCA85__HAC_WARD__K6,R1_PCA85,HAC_WARD,6,0.5568510093180389,0.5029572684667319,15453.750971598383,6,27,True
R1_PCA85__KMEANS__K2,R1_PCA85,KMEANS,2,0.9581245273171195,0.056533739851035894,14451.924154524842,40,40,True
R1_PCA85__KMEANS__K3,R1_PCA85,KMEANS,3,0.7486759801850689,0.4270593274184791,11505.261962429771,16,40,True
R1_PCA85__KMEANS__K4,R1_PCA85,KMEANS,4,0.5140079844936114,0.6618080165991937,12099.106435032909,15,25,True
R1_PCA85__KMEANS__K5,R1_PCA85,KMEANS,5,0.5696575988259639,0.5225897284453623,12434.283073821412,6,27,True
R1_PCA85__KMEANS__K6,R1_PCA85,KMEANS,6,0.5583844976000867,0.5058975253449977,16028.479021978386,6,27,True
