institution_id,cluster_id
SYN_S2_CORE_BOUNDARY_R001_055,1
SYN_S2_CORE_BOUNDARY_R001_066,1
SYN_S2_CORE_BOUNDARY_R001_028,2
SYN_S2_CORE_BOUNDARY_R001_042,1
SYN_S2_CORE_BOUNDARY_R001_062,1
SYN_S2_CORE_BOUNDARY_R001_032,0
SYN_S2_CORE_BOUNDARY_R001_079,0
SYN_S2_CORE_BOUNDARY_R001_034,0
SYN_S2_CORE_BOUNDARY_R001_061,1
SYN_S2_CORE_BOUNDARY_R001_054,1
SYN_S2_CORE_BOUNDARY_R001_001,2
SYN_S2_CORE_BOUNDARY_R001_065,1
SYN_S2_CORE_BOUNDARY_R001_007,2
SYN_S2_CORE_BOUNDARY_R001_051,1
SYN_S2_CORE_BOUNDARY_R001_056,1
SYN_S2_CORE_BOUNDARY_R001_014,2
SYN_S2_CORE_BOUNDARY_R001_020,2
SYN_S2_CORE_BOUNDARY_R001_002,2
SYN_S2_CORE_BOUNDARY_R001_049,1
SYN_S2_CORE_BOUNDARY_R001_050,1
SYN_S2_CORE_BOUNDARY_R001_025,2
SYN_S2_CORE_BOUNDARY_R001_058,1
SYN_S2_CORE_BOUNDARY_R001_012,2
SYN_S2_CORE_BOUNDARY_R001_033,0
SYN_S2_CORE_BOUNDARY_R001_024,2
SYN_S2_CORE_BOUNDARY_R001_044,1
SYN_S2_CORE_BOUNDARY_R001_040,0
SYN_S2_CORE_BOUNDARY_R001_045,1
SYN_S2_CORE_BOUNDARY_R001_003,2
SYN_S2_CORE_BOUNDARY_R001_005,2
SYN_S2_CORE_BOUNDARY_R001_073,0
SYN_S2_CORE_BOUNDARY_R001_075,0
SYN_S2_CORE_BOUNDARY_R001_057,1
SYN_S2_CORE_BOUNDARY_R001_039,0
SYN_S2_CORE_BOUNDARY_R001_019,2
SYN_S2_CORE_BOUNDARY_R001_078,0
SYN_S2_CORE_BOUNDARY_R001_067,1
SYN_S2_CORE_BOUNDARY_R001_048,1
SYN_S2_CORE_BOUNDARY_R001_069,0
SYN_S2_CORE_BOUNDARY_R001_038,0
SYN_S2_CORE_BOUNDARY_R001_060,1
SYN_S2_CORE_BOUNDARY_R001_052,1
SYN_S2_CORE_BOUNDARY_R001_006,2
SYN_S2_CORE_BOUNDARY_R001_026,2
SYN_S2_CORE_BOUNDARY_R001_072,0
SYN_S2_CORE_BOUNDARY_R001_004,2
SYN_S2_CORE_BOUNDARY_R001_046,1
SYN_S2_CORE_BOUNDARY_R001_076,0
SYN_S2_CORE_BOUNDARY_R001_063,1
SYN_S2_CORE_BOUNDARY_R001_053,1
SYN_S2_CORE_BOUNDARY_R001_080,0
SYN_S2_CORE_BOUNDARY_R001_035,0
SYN_S2_CORE_BOUNDARY_R001_068,1
SYN_S2_CORE_BOUNDARY_R001_070,0
SYN_S2_CORE_BOUNDARY_R001_022,2
SYN_S2_CORE_BOUNDARY_R001_023,2
SYN_S2_CORE_BOUNDARY_R001_043,1
SYN_S2_CORE_BOUNDARY_R001_021,2
SYN_S2_CORE_BOUNDARY_R001_036,0
SYN_S2_CORE_BOUNDARY_R001_016,2
SYN_S2_CORE_BOUNDARY_R001_047,1
SYN_S2_CORE_BOUNDARY_R001_013,2
SYN_S2_CORE_BOUNDARY_R001_027,2
SYN_S2_CORE_BOUNDARY_R001_059,1
SYN_S2_CORE_BOUNDARY_R001_074,0
SYN_S2_CORE_BOUNDARY_R001_041,1
SYN_S2_CORE_BOUNDARY_R001_009,2
SYN_S2_CORE_BOUNDARY_R001_037,0
SYN_S2_CORE_BOUNDARY_R001_015,2
SYN_S2_CORE_BOUNDARY_R001_017,2
SYN_S2_CORE_BOUNDARY_R001_030,0
SYN_S2_CORE_BOUNDARY_R001_077,0
SYN_S2_CORE_BOUNDARY_R001_064,1
SYN_S2_CORE_BOUNDARY_R001_018,2
SYN_S2_CORE_BOUNDARY_R001_029,0
SYN_S2_CORE_BOUNDARY_R001_071,0
SYN_S2_CORE_BOUNDARY_R001_031,0
SYN_S2_CORE_BOUNDARY_R001_011,2
SYN_S2_CORE_BOUNDARY_R001_010,2
SYN_S2_CORE_BOUNDARY_R001_008,2
