institution_id,row_index,reference_profile,n_oob_predictions,profile_1_probability,profile_2_probability,reference_profile_probability,normalized_entropy,membership_margin,family_consistency,certainty_class
SYN_S3_DIRECTIONAL_REACHABILITY_R001_025,0,1,47,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R001_003,1,1,42,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R001_031,2,1,47,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R001_018,3,1,36,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R001_074,4,2,35,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R001_047,5,2,47,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R001_044,6,2,44,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R001_073,7,2,36,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R001_005,8,1,38,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R001_030,9,1,41,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R001_075,10,2,30,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R001_077,11,2,38,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R001_040,12,1,45,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R001_060,13,2,47,0.0,1.0,1.0,-0.0,1.0,1.0,CORE
SYN_S3_DIRECTIONAL_REACHABILITY_R001_009,14,1,40,1.0,0.0,1.0,-0.0,1.0,1.0,CORE
