institution_id,cluster_id
SYN_S3_DIRECTIONAL_REACHABILITY_R001_025,0
SYN_S3_DIRECTIONAL_REACHABILITY_R001_003,0
SYN_S3_DIRECTIONAL_REACHABILITY_R001_031,0
SYN_S3_DIRECTIONAL_REACHABILITY_R001_018,0
SYN_S3_DIRECTIONAL_REACHABILITY_R001_074,1
SYN_S3_DIRECTIONAL_REACHABILITY_R001_047,1
SYN_S3_DIRECTIONAL_REACHABILITY_R001_044,1
SYN_S3_DIRECTIONAL_REACHABILITY_R001_073,1
SYN_S3_DIRECTIONAL_REACHABILITY_R001_005,0
SYN_S3_DIRECTIONAL_REACHABILITY_R001_030,0
SYN_S3_DIRECTIONAL_REACHABILITY_R001_075,1
SYN_S3_DIRECTIONAL_REACHABILITY_R001_077,1
SYN_S3_DIRECTIONAL_REACHABILITY_R001_040,0
SYN_S3_DIRECTIONAL_REACHABILITY_R001_060,1
SYN_S3_DIRECTIONAL_REACHABILITY_R001_009,0
SYN_S3_DIRECTIONAL_REACHABILITY_R001_032,0
SYN_S3_DIRECTIONAL_REACHABILITY_R001_028,0
SYN_S3_DIRECTIONAL_REACHABILITY_R001_050,1
SYN_S3_DIRECTIONAL_REACHABILITY_R001_023,0
SYN_S3_DIRECTIONAL_REACHABILITY_R001_043,1
SYN_S3_DIRECTIONAL_REACHABILITY_R001_055,1
SYN_S3_DIRECTIONAL_REACHABILITY_R001_049,1
SYN_S3_DIRECTIONAL_REACHABILITY_R001_046,1
SYN_S3_DIRECTIONAL_REACHABILITY_R001_076,1
SYN_S3_DIRECTIONAL_REACHABILITY_R001_008,0
SYN_S3_DIRECTIONAL_REACHABILITY_R001_063,1
SYN_S3_DIRECTIONAL_REACHABILITY_R001_064,1
SYN_S3_DIRECTIONAL_REACHABILITY_R001_067,1
SYN_S3_DIRECTIONAL_REACHABILITY_R001_061,1
SYN_S3_DIRECTIONAL_REACHABILITY_R001_016,0
SYN_S3_DIRECTIONAL_REACHABILITY_R001_051,1
SYN_S3_DIRECTIONAL_REACHABILITY_R001_041,1
SYN_S3_DIRECTIONAL_REACHABILITY_R001_042,1
SYN_S3_DIRECTIONAL_REACHABILITY_R001_035,0
SYN_S3_DIRECTIONAL_REACHABILITY_R001_048,1
SYN_S3_DIRECTIONAL_REACHABILITY_R001_054,1
SYN_S3_DIRECTIONAL_REACHABILITY_R001_070,1
SYN_S3_DIRECTIONAL_REACHABILITY_R001_038,0
SYN_S3_DIRECTIONAL_REACHABILITY_R001_059,1
SYN_S3_DIRECTIONAL_REACHABILITY_R001_037,0
SYN_S3_DIRECTIONAL_REACHABILITY_R001_015,0
SYN_S3_DIRECTIONAL_REACHABILITY_R001_069,1
SYN_S3_DIRECTIONAL_REACHABILITY_R001_029,0
SYN_S3_DIRECTIONAL_REACHABILITY_R001_078,1
SYN_S3_DIRECTIONAL_REACHABILITY_R001_013,0
SYN_S3_DIRECTIONAL_REACHABILITY_R001_026,0
SYN_S3_DIRECTIONAL_REACHABILITY_R001_014,0
SYN_S3_DIRECTIONAL_REACHABILITY_R001_080,1
SYN_S3_DIRECTIONAL_REACHABILITY_R001_021,0
SYN_S3_DIRECTIONAL_REACHABILITY_R001_027,0
SYN_S3_DIRECTIONAL_REACHABILITY_R001_052,1
SYN_S3_DIRECTIONAL_REACHABILITY_R001_007,0
SYN_S3_DIRECTIONAL_REACHABILITY_R001_036,0
SYN_S3_DIRECTIONAL_REACHABILITY_R001_006,0
SYN_S3_DIRECTIONAL_REACHABILITY_R001_079,1
SYN_S3_DIRECTIONAL_REACHABILITY_R001_002,0
SYN_S3_DIRECTIONAL_REACHABILITY_R001_072,1
SYN_S3_DIRECTIONAL_REACHABILITY_R001_024,0
SYN_S3_DIRECTIONAL_REACHABILITY_R001_012,0
SYN_S3_DIRECTIONAL_REACHABILITY_R001_065,1
SYN_S3_DIRECTIONAL_REACHABILITY_R001_053,1
SYN_S3_DIRECTIONAL_REACHABILITY_R001_071,1
SYN_S3_DIRECTIONAL_REACHABILITY_R001_010,0
SYN_S3_DIRECTIONAL_REACHABILITY_R001_066,1
SYN_S3_DIRECTIONAL_REACHABILITY_R001_068,1
SYN_S3_DIRECTIONAL_REACHABILITY_R001_019,0
SYN_S3_DIRECTIONAL_REACHABILITY_R001_057,1
SYN_S3_DIRECTIONAL_REACHABILITY_R001_004,0
SYN_S3_DIRECTIONAL_REACHABILITY_R001_017,0
SYN_S3_DIRECTIONAL_REACHABILITY_R001_045,1
SYN_S3_DIRECTIONAL_REACHABILITY_R001_034,0
SYN_S3_DIRECTIONAL_REACHABILITY_R001_020,0
SYN_S3_DIRECTIONAL_REACHABILITY_R001_033,0
SYN_S3_DIRECTIONAL_REACHABILITY_R001_056,1
SYN_S3_DIRECTIONAL_REACHABILITY_R001_001,0
SYN_S3_DIRECTIONAL_REACHABILITY_R001_011,0
SYN_S3_DIRECTIONAL_REACHABILITY_R001_039,0
SYN_S3_DIRECTIONAL_REACHABILITY_R001_058,1
SYN_S3_DIRECTIONAL_REACHABILITY_R001_022,0
SYN_S3_DIRECTIONAL_REACHABILITY_R001_062,1
