candidate_id,representation,algorithm,k_requested,silhouette,davies_bouldin,calinski_harabasz,minimum_cluster_size,maximum_cluster_size,eligible_min_cluster_size
R0_STANDARDIZED__HAC_WARD__K2,R0_STANDARDIZED,HAC_WARD,2,0.2636356553366853,1.2472306694349276,24.97623115136004,17,63,True
R0_STANDARDIZED__HAC_WARD__K3,R0_STANDARDIZED,HAC_WARD,3,0.31292421849223795,1.3069649063428503,31.914821079117516,17,37,True
R0_STANDARDIZED__HAC_WARD__K4,R0_STANDARDIZED,HAC_WARD,4,0.39477541978134695,0.9616236280361545,43.99858343341178,15,26,True
R0_STANDARDIZED__HAC_WARD__K5,R0_STANDARDIZED,HAC_WARD,5,0.31635448297790403,1.2595229917576471,34.950095103545415,5,26,True
R0_STANDARDIZED__HAC_WARD__K6,R0_STANDARDIZED,HAC_WARD,6,0.2596445664404955,1.4441066275957548,29.494709962699833,3,23,False
R0_STANDARDIZED__KMEANS__K2,R0_STANDARDIZED,KMEANS,2,0.252672617281492,1.6905304231700922,25.68322875548573,32,48,True
R0_STANDARDIZED__KMEANS__K3,R0_STANDARDIZED,KMEANS,3,0.3139708705255048,1.2897316587451495,32.08688104076434,17,38,True
R0_STANDARDIZED__KMEANS__K4,R0_STANDARDIZED,KMEANS,4,0.394921267248948,0.9646539886485468,44.125505744911614,15,25,True
R0_STANDARDIZED__KMEANS__K5,R0_STANDARDIZED,KMEANS,5,0.3321198399063495,1.3158574066471722,34.943656696241334,4,22,False
R0_STANDARDIZED__KMEANS__K6,R0_STANDARDIZED,KMEANS,6,0.2246914013468496,1.8445354992155716,29.580244957175058,7,17,True
R1_PCA85__HAC_WARD__K2,R1_PCA85,HAC_WARD,2,0.30771906206089933,1.0976161931087456,29.728096537794723,17,63,True
R1_PCA85__HAC_WARD__K3,R1_PCA85,HAC_WARD,3,0.3765428214089795,1.115956758931923,41.260406142860894,17,38,True
R1_PCA85__HAC_WARD__K4,R1_PCA85,HAC_WARD,4,0.4788746078138034,0.7777652618986305,66.06190677817885,15,25,True
R1_PCA85__HAC_WARD__K5,R1_PCA85,HAC_WARD,5,0.38036191381350526,1.1513754482071772,52.99170291405065,7,25,True
R1_PCA85__HAC_WARD__K6,R1_PCA85,HAC_WARD,6,0.2835323559600534,1.490623550599666,45.17451697311168,7,17,True
R1_PCA85__KMEANS__K2,R1_PCA85,KMEANS,2,0.29616886186835717,1.5436081122560519,30.629068395274054,32,48,True
R1_PCA85__KMEANS__K3,R1_PCA85,KMEANS,3,0.3765428214089795,1.115956758931923,41.260406142860894,17,38,True
R1_PCA85__KMEANS__K4,R1_PCA85,KMEANS,4,0.4788746078138034,0.7777652618986305,66.06190677817885,15,25,True
R1_PCA85__KMEANS__K5,R1_PCA85,KMEANS,5,0.38036191381350526,1.1513754482071772,52.99170291405064,7,25,True
R1_PCA85__KMEANS__K6,R1_PCA85,KMEANS,6,0.2893222786019336,1.4947544772026553,45.588273826929274,7,17,True
