institution_id,cluster_id
SYN_S5_GOVERNANCE_CONFOUNDED_R001_051,2
SYN_S5_GOVERNANCE_CONFOUNDED_R001_027,0
SYN_S5_GOVERNANCE_CONFOUNDED_R001_043,0
SYN_S5_GOVERNANCE_CONFOUNDED_R001_055,2
SYN_S5_GOVERNANCE_CONFOUNDED_R001_002,1
SYN_S5_GOVERNANCE_CONFOUNDED_R001_009,0
SYN_S5_GOVERNANCE_CONFOUNDED_R001_035,2
SYN_S5_GOVERNANCE_CONFOUNDED_R001_042,0
SYN_S5_GOVERNANCE_CONFOUNDED_R001_045,0
SYN_S5_GOVERNANCE_CONFOUNDED_R001_046,3
SYN_S5_GOVERNANCE_CONFOUNDED_R001_071,3
SYN_S5_GOVERNANCE_CONFOUNDED_R001_050,0
SYN_S5_GOVERNANCE_CONFOUNDED_R001_010,2
SYN_S5_GOVERNANCE_CONFOUNDED_R001_031,1
SYN_S5_GOVERNANCE_CONFOUNDED_R001_070,2
SYN_S5_GOVERNANCE_CONFOUNDED_R001_029,0
SYN_S5_GOVERNANCE_CONFOUNDED_R001_023,0
SYN_S5_GOVERNANCE_CONFOUNDED_R001_013,1
SYN_S5_GOVERNANCE_CONFOUNDED_R001_048,2
SYN_S5_GOVERNANCE_CONFOUNDED_R001_034,1
SYN_S5_GOVERNANCE_CONFOUNDED_R001_021,2
SYN_S5_GOVERNANCE_CONFOUNDED_R001_052,3
SYN_S5_GOVERNANCE_CONFOUNDED_R001_058,1
SYN_S5_GOVERNANCE_CONFOUNDED_R001_014,1
SYN_S5_GOVERNANCE_CONFOUNDED_R001_001,2
SYN_S5_GOVERNANCE_CONFOUNDED_R001_025,0
SYN_S5_GOVERNANCE_CONFOUNDED_R001_067,2
SYN_S5_GOVERNANCE_CONFOUNDED_R001_068,0
SYN_S5_GOVERNANCE_CONFOUNDED_R001_073,2
SYN_S5_GOVERNANCE_CONFOUNDED_R001_015,2
SYN_S5_GOVERNANCE_CONFOUNDED_R001_059,3
SYN_S5_GOVERNANCE_CONFOUNDED_R001_040,0
SYN_S5_GOVERNANCE_CONFOUNDED_R001_032,2
SYN_S5_GOVERNANCE_CONFOUNDED_R001_022,0
SYN_S5_GOVERNANCE_CONFOUNDED_R001_047,1
SYN_S5_GOVERNANCE_CONFOUNDED_R001_024,2
SYN_S5_GOVERNANCE_CONFOUNDED_R001_076,2
SYN_S5_GOVERNANCE_CONFOUNDED_R001_006,2
SYN_S5_GOVERNANCE_CONFOUNDED_R001_041,3
SYN_S5_GOVERNANCE_CONFOUNDED_R001_053,2
SYN_S5_GOVERNANCE_CONFOUNDED_R001_057,0
SYN_S5_GOVERNANCE_CONFOUNDED_R001_060,0
SYN_S5_GOVERNANCE_CONFOUNDED_R001_017,2
SYN_S5_GOVERNANCE_CONFOUNDED_R001_069,1
SYN_S5_GOVERNANCE_CONFOUNDED_R001_019,1
SYN_S5_GOVERNANCE_CONFOUNDED_R001_011,3
SYN_S5_GOVERNANCE_CONFOUNDED_R001_079,2
SYN_S5_GOVERNANCE_CONFOUNDED_R001_008,1
SYN_S5_GOVERNANCE_CONFOUNDED_R001_072,2
SYN_S5_GOVERNANCE_CONFOUNDED_R001_077,2
SYN_S5_GOVERNANCE_CONFOUNDED_R001_062,1
SYN_S5_GOVERNANCE_CONFOUNDED_R001_074,2
SYN_S5_GOVERNANCE_CONFOUNDED_R001_078,1
SYN_S5_GOVERNANCE_CONFOUNDED_R001_026,0
SYN_S5_GOVERNANCE_CONFOUNDED_R001_056,1
SYN_S5_GOVERNANCE_CONFOUNDED_R001_054,1
SYN_S5_GOVERNANCE_CONFOUNDED_R001_039,3
SYN_S5_GOVERNANCE_CONFOUNDED_R001_080,0
SYN_S5_GOVERNANCE_CONFOUNDED_R001_004,0
SYN_S5_GOVERNANCE_CONFOUNDED_R001_018,0
SYN_S5_GOVERNANCE_CONFOUNDED_R001_007,2
SYN_S5_GOVERNANCE_CONFOUNDED_R001_030,0
SYN_S5_GOVERNANCE_CONFOUNDED_R001_033,0
SYN_S5_GOVERNANCE_CONFOUNDED_R001_063,3
SYN_S5_GOVERNANCE_CONFOUNDED_R001_061,3
SYN_S5_GOVERNANCE_CONFOUNDED_R001_049,0
SYN_S5_GOVERNANCE_CONFOUNDED_R001_003,0
SYN_S5_GOVERNANCE_CONFOUNDED_R001_036,3
SYN_S5_GOVERNANCE_CONFOUNDED_R001_037,1
SYN_S5_GOVERNANCE_CONFOUNDED_R001_064,0
SYN_S5_GOVERNANCE_CONFOUNDED_R001_005,2
SYN_S5_GOVERNANCE_CONFOUNDED_R001_066,2
SYN_S5_GOVERNANCE_CONFOUNDED_R001_028,3
SYN_S5_GOVERNANCE_CONFOUNDED_R001_065,3
SYN_S5_GOVERNANCE_CONFOUNDED_R001_020,2
SYN_S5_GOVERNANCE_CONFOUNDED_R001_038,1
SYN_S5_GOVERNANCE_CONFOUNDED_R001_012,3
SYN_S5_GOVERNANCE_CONFOUNDED_R001_075,3
SYN_S5_GOVERNANCE_CONFOUNDED_R001_016,1
SYN_S5_GOVERNANCE_CONFOUNDED_R001_044,3
