candidate_id,representation,algorithm,k_requested,silhouette,davies_bouldin,calinski_harabasz,minimum_cluster_size,maximum_cluster_size,eligible_min_cluster_size
R0_STANDARDIZED__HAC_WARD__K2,R0_STANDARDIZED,HAC_WARD,2,0.12019620171940097,2.4259650241553237,12.43801229626964,32,48,True
R0_STANDARDIZED__HAC_WARD__K3,R0_STANDARDIZED,HAC_WARD,3,0.09217711758349385,2.4625447224642083,10.425587873734525,10,38,True
R0_STANDARDIZED__HAC_WARD__K4,R0_STANDARDIZED,HAC_WARD,4,0.09483213155703743,2.361186900892291,9.153985143563382,10,38,True
R0_STANDARDIZED__HAC_WARD__K5,R0_STANDARDIZED,HAC_WARD,5,0.0731611290622565,2.3814753520084238,8.230959017541789,10,24,True
R0_STANDARDIZED__HAC_WARD__K6,R0_STANDARDIZED,HAC_WARD,6,0.07720813836697135,2.238320335201983,7.642567902449453,6,24,True
R0_STANDARDIZED__KMEANS__K2,R0_STANDARDIZED,KMEANS,2,0.13397126730165476,2.2042530817260495,14.550156210790476,30,50,True
R0_STANDARDIZED__KMEANS__K3,R0_STANDARDIZED,KMEANS,3,0.10368833638554764,2.3293423991027273,11.734881361512882,15,40,True
R0_STANDARDIZED__KMEANS__K4,R0_STANDARDIZED,KMEANS,4,0.09282295269772692,2.276321800621125,9.98884812290158,14,28,True
R0_STANDARDIZED__KMEANS__K5,R0_STANDARDIZED,KMEANS,5,0.08949955700452317,2.1446732848867436,8.857355740390775,13,21,True
R0_STANDARDIZED__KMEANS__K6,R0_STANDARDIZED,KMEANS,6,0.08954760173516725,2.128012631010557,7.860157765436709,9,21,True
R1_PCA85__HAC_WARD__K2,R1_PCA85,HAC_WARD,2,0.13671617589420365,2.0941608774315976,13.136929227807826,22,58,True
R1_PCA85__HAC_WARD__K3,R1_PCA85,HAC_WARD,3,0.10553822601840283,2.237248869205443,12.067624799303422,14,44,True
R1_PCA85__HAC_WARD__K4,R1_PCA85,HAC_WARD,4,0.09636777632991086,2.1770814159178546,10.770735032442849,14,29,True
R1_PCA85__HAC_WARD__K5,R1_PCA85,HAC_WARD,5,0.09044569557839388,2.0687442843838095,9.793235169271943,13,22,True
R1_PCA85__HAC_WARD__K6,R1_PCA85,HAC_WARD,6,0.09745402779854676,1.9943269632669594,9.206927601695956,6,16,True
R1_PCA85__KMEANS__K2,R1_PCA85,KMEANS,2,0.1571670592670243,1.9960279778474366,17.410020258194443,30,50,True
R1_PCA85__KMEANS__K3,R1_PCA85,KMEANS,3,0.12562261802140776,2.093066524224501,14.394157186581563,14,39,True
R1_PCA85__KMEANS__K4,R1_PCA85,KMEANS,4,0.11317053585414494,2.0484165896674025,12.27024617505994,13,26,True
R1_PCA85__KMEANS__K5,R1_PCA85,KMEANS,5,0.11304675826145574,1.8692071294732693,11.250806593959902,11,21,True
R1_PCA85__KMEANS__K6,R1_PCA85,KMEANS,6,0.11800342251180798,1.7991149170774048,10.436265642616153,5,18,True
