institution_id,latent_profile,true_profile,true_boundary,oracle_reachable
SYN_S1_CONFIG_TWO_PROFILE_R000_080,B,2,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_004,A,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_009,A,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_045,B,2,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_058,B,2,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_046,B,2,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_010,A,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_073,B,2,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_042,B,2,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_005,A,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_018,A,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_026,A,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_023,A,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_078,B,2,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_039,A,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_059,B,2,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_074,B,2,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_044,B,2,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_049,B,2,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_021,A,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_030,A,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_006,A,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_043,B,2,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_019,A,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_008,A,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_061,B,2,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_016,A,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_069,B,2,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_035,A,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_011,A,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_031,A,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_064,B,2,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_047,B,2,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_027,A,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_002,A,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_014,A,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_055,B,2,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_029,A,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_032,A,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_028,A,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_077,B,2,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_022,A,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_041,B,2,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_051,B,2,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_072,B,2,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_025,A,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_066,B,2,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_057,B,2,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_079,B,2,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_040,A,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_063,B,2,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_070,B,2,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_013,A,1,False,False
SYN_S1_CONFIG_TWO_PROFILE_R000_071,B,2,False,False
