source_institution_id_pre_permutation,source_latent_profile,target_latent_profile,oracle_required_features,oracle_gate_features_json,paired_target_anchor_index,willingness_constraint_score,digital_usage_constraint_score,training_deficit_score,device_constraint,digital_tool_variety_constraint,internet_stability_constraint,staffing_constraint_score,time_constraint_score,administrative_disorganization_constraint,recording_system_constraint,system_change_resistance_constraint,admin_time_load_constraint,resource_constraint_score
SYN_S3_DIRECTIONAL_REACHABILITY_R000_025,A,B,3,"[""digital_usage_constraint_score"", ""staffing_constraint_score"", ""recording_system_constraint""]",13,0.5659247639985205,0.3351988469488163,0.6087076549111736,0.48194986070017864,0.5329015682214421,0.5929629133955363,0.7538462482695847,0.37281461554572526,0.4365160728335159,0.7092703581256348,0.49547918949947467,0.47528081364092895,0.4722599010035252
SYN_S3_DIRECTIONAL_REACHABILITY_R000_026,A,B,3,"[""digital_usage_constraint_score"", ""staffing_constraint_score"", ""recording_system_constraint""]",23,0.4585577439713459,0.2617035306150825,0.6302525926974009,0.5476927957108433,0.5136145913647899,0.5572177146164108,0.7028906230847944,0.5313134462186875,0.45546944745170026,0.6956186358484728,0.48429390716092163,0.38848971334127635,0.5193983442589793
SYN_S3_DIRECTIONAL_REACHABILITY_R000_027,A,B,3,"[""digital_usage_constraint_score"", ""staffing_constraint_score"", ""recording_system_constraint""]",38,0.4936026046158545,0.20744861877009366,0.48788672869435545,0.5162008173718214,0.49745174731180675,0.5021872122509474,0.7424967657707429,0.4501120877234125,0.5461547694267918,0.8152643143107283,0.42309876826803056,0.488100671171367,0.43147789125579583
SYN_S3_DIRECTIONAL_REACHABILITY_R000_028,A,B,3,"[""digital_usage_constraint_score"", ""staffing_constraint_score"", ""recording_system_constraint""]",11,0.549648991936858,0.3476147374604537,0.4564689163166181,0.4798563975327824,0.4626055866751257,0.45040277156323044,0.780352577584923,0.5327460345940815,0.48977611614636346,0.749012210607595,0.43243611363233286,0.5534685833127904,0.4727120133312352
SYN_S3_DIRECTIONAL_REACHABILITY_R000_029,A,B,3,"[""digital_usage_constraint_score"", ""staffing_constraint_score"", ""recording_system_constraint""]",0,0.5438593953570706,0.35617868101047245,0.5378147526003133,0.6467405493755268,0.5896488177118415,0.508563746087318,0.7482643083565853,0.4534053117068626,0.4812857846022011,0.794486138186961,0.5395890875692303,0.5129871855676503,0.43783057501526634
SYN_S3_DIRECTIONAL_REACHABILITY_R000_030,A,B,3,"[""digital_usage_constraint_score"", ""staffing_constraint_score"", ""recording_system_constraint""]",27,0.5275535063764141,0.21872446260325337,0.5438692204849471,0.5454388922447455,0.43469543639301433,0.46736478711865814,0.7888403398788353,0.4584168451598313,0.5005288317594881,0.7803627695318824,0.4384534823364934,0.4623707564478501,0.4246380225465236
SYN_S3_DIRECTIONAL_REACHABILITY_R000_031,A,B,3,"[""digital_usage_constraint_score"", ""staffing_constraint_score"", ""recording_system_constraint""]",1,0.62956820328079,0.281002959013421,0.45653206125060136,0.6083495307741692,0.5022333234003894,0.5797585260915681,0.8436431207079896,0.4935156139178469,0.5417580912221057,0.6637408803875866,0.49863493278073806,0.5040356078367707,0.4891045394067328
SYN_S3_DIRECTIONAL_REACHABILITY_R000_032,A,B,3,"[""digital_usage_constraint_score"", ""staffing_constraint_score"", ""recording_system_constraint""]",29,0.5239095579017712,0.3037144662646029,0.5839551890097926,0.5640011353066493,0.49418634486851026,0.5140978672995825,0.7329413981350331,0.4665094182224085,0.43824865317120854,0.7298755583916384,0.4383403758575161,0.4286585582577321,0.4570723737163494
SYN_S3_DIRECTIONAL_REACHABILITY_R000_033,A,B,3,"[""digital_usage_constraint_score"", ""staffing_constraint_score"", ""recording_system_constraint""]",32,0.4664351902041689,0.2040665705534207,0.5127873521578724,0.6000442831006073,0.4600697638360345,0.49469827395155364,0.7781626562053943,0.5396137639024208,0.6061402077421373,0.7435586210275769,0.47361321153123004,0.4510282398058856,0.4632763750197524
SYN_S3_DIRECTIONAL_REACHABILITY_R000_034,A,B,3,"[""digital_usage_constraint_score"", ""staffing_constraint_score"", ""recording_system_constraint""]",21,0.5505252383305139,0.3426949192484798,0.5226958294275139,0.5520116551336568,0.5307877897512255,0.5032194855498788,0.6905539207067463,0.48794505943253963,0.4622886171115417,0.8272019345708478,0.45664826417765786,0.5340722879678582,0.4427778405322697
SYN_S3_DIRECTIONAL_REACHABILITY_R000_035,A,B,3,"[""digital_usage_constraint_score"", ""staffing_constraint_score"", ""recording_system_constraint""]",30,0.4867904427601934,0.2565794766331684,0.5396659517402016,0.5271565534660113,0.5914217481458975,0.4748715036096625,0.7972457871037011,0.5099007488115026,0.447632385906675,0.8007967481052547,0.5045934452958346,0.4123551968826501,0.5182963839783432
SYN_S3_DIRECTIONAL_REACHABILITY_R000_036,A,B,3,"[""digital_usage_constraint_score"", ""staffing_constraint_score"", ""recording_system_constraint""]",9,0.5845399238119399,0.18384761962374496,0.5293490172611811,0.49624488141260364,0.5215900999248347,0.4632780234175004,0.8032037499172446,0.4452221805743781,0.5776994580252526,0.723240524653645,0.4229823233391825,0.42884992823927603,0.45872769634287247
SYN_S3_DIRECTIONAL_REACHABILITY_R000_037,A,B,3,"[""digital_usage_constraint_score"", ""staffing_constraint_score"", ""recording_system_constraint""]",4,0.5225865288388347,0.23256285048644817,0.5658531710555945,0.4338995729097549,0.5480883829371084,0.548422706407616,0.6578609877208388,0.5079384365786209,0.38053684972785606,0.9698496548811856,0.4306776945877963,0.3652448597420139,0.5623901506620564
SYN_S3_DIRECTIONAL_REACHABILITY_R000_038,A,B,3,"[""digital_usage_constraint_score"", ""staffing_constraint_score"", ""recording_system_constraint""]",39,0.5037723154049282,0.31384292371008815,0.4511941157145959,0.4415403055456311,0.4685757105347984,0.5187004271742724,0.668419940438086,0.47654090941936195,0.5525451686877512,0.7326716246109904,0.40215028947733766,0.346752946533131,0.48522984237820554
SYN_S3_DIRECTIONAL_REACHABILITY_R000_039,A,B,3,"[""digital_usage_constraint_score"", ""staffing_constraint_score"", ""recording_system_constraint""]",3,0.586606350765847,0.22720658246410003,0.5692978632881205,0.5229627266386055,0.6026224147991049,0.47959164515837405,0.68974839263931,0.4616000639589916,0.48970454597011825,0.6708081868665214,0.5039861321496876,0.46248874179964183,0.598095923272932
SYN_S3_DIRECTIONAL_REACHABILITY_R000_040,A,B,3,"[""digital_usage_constraint_score"", ""staffing_constraint_score"", ""recording_system_constraint""]",33,0.617247814120687,0.2969815559371268,0.510656528417456,0.44006272241421346,0.510731726522232,0.49667242944742834,0.7336848262616401,0.3548985310584136,0.3918365143786765,0.6618027663556134,0.5088649722307614,0.45960558239944904,0.4434246033115409
