institution_id,latent_profile,true_profile,true_boundary,oracle_reachable,governance_type
SYN_S5_GOVERNANCE_CONFOUNDED_R000_049,,,False,False,NGO
SYN_S5_GOVERNANCE_CONFOUNDED_R000_079,,,False,False,NGO
SYN_S5_GOVERNANCE_CONFOUNDED_R000_011,,,False,False,NGO
SYN_S5_GOVERNANCE_CONFOUNDED_R000_002,,,False,False,PUBLIC
SYN_S5_GOVERNANCE_CONFOUNDED_R000_037,,,False,False,PRIVATE
SYN_S5_GOVERNANCE_CONFOUNDED_R000_028,,,False,False,PUBLIC
SYN_S5_GOVERNANCE_CONFOUNDED_R000_050,,,False,False,PRIVATE
SYN_S5_GOVERNANCE_CONFOUNDED_R000_034,,,False,False,NGO
SYN_S5_GOVERNANCE_CONFOUNDED_R000_070,,,False,False,MIXED
SYN_S5_GOVERNANCE_CONFOUNDED_R000_071,,,False,False,PRIVATE
SYN_S5_GOVERNANCE_CONFOUNDED_R000_025,,,False,False,NGO
SYN_S5_GOVERNANCE_CONFOUNDED_R000_029,,,False,False,PUBLIC
SYN_S5_GOVERNANCE_CONFOUNDED_R000_021,,,False,False,PUBLIC
SYN_S5_GOVERNANCE_CONFOUNDED_R000_013,,,False,False,MIXED
SYN_S5_GOVERNANCE_CONFOUNDED_R000_001,,,False,False,PRIVATE
SYN_S5_GOVERNANCE_CONFOUNDED_R000_044,,,False,False,MIXED
SYN_S5_GOVERNANCE_CONFOUNDED_R000_027,,,False,False,PUBLIC
SYN_S5_GOVERNANCE_CONFOUNDED_R000_067,,,False,False,PRIVATE
SYN_S5_GOVERNANCE_CONFOUNDED_R000_076,,,False,False,MIXED
SYN_S5_GOVERNANCE_CONFOUNDED_R000_074,,,False,False,PRIVATE
SYN_S5_GOVERNANCE_CONFOUNDED_R000_046,,,False,False,NGO
SYN_S5_GOVERNANCE_CONFOUNDED_R000_005,,,False,False,PRIVATE
SYN_S5_GOVERNANCE_CONFOUNDED_R000_007,,,False,False,NGO
SYN_S5_GOVERNANCE_CONFOUNDED_R000_047,,,False,False,PRIVATE
SYN_S5_GOVERNANCE_CONFOUNDED_R000_043,,,False,False,MIXED
SYN_S5_GOVERNANCE_CONFOUNDED_R000_003,,,False,False,PUBLIC
SYN_S5_GOVERNANCE_CONFOUNDED_R000_053,,,False,False,MIXED
SYN_S5_GOVERNANCE_CONFOUNDED_R000_019,,,False,False,NGO
SYN_S5_GOVERNANCE_CONFOUNDED_R000_008,,,False,False,NGO
SYN_S5_GOVERNANCE_CONFOUNDED_R000_054,,,False,False,NGO
SYN_S5_GOVERNANCE_CONFOUNDED_R000_061,,,False,False,PRIVATE
SYN_S5_GOVERNANCE_CONFOUNDED_R000_055,,,False,False,PUBLIC
SYN_S5_GOVERNANCE_CONFOUNDED_R000_077,,,False,False,NGO
SYN_S5_GOVERNANCE_CONFOUNDED_R000_020,,,False,False,PRIVATE
SYN_S5_GOVERNANCE_CONFOUNDED_R000_065,,,False,False,PUBLIC
SYN_S5_GOVERNANCE_CONFOUNDED_R000_064,,,False,False,PUBLIC
SYN_S5_GOVERNANCE_CONFOUNDED_R000_052,,,False,False,NGO
SYN_S5_GOVERNANCE_CONFOUNDED_R000_072,,,False,False,MIXED
