institution_id,latent_profile,true_profile,true_boundary,oracle_reachable
SYN_S6_NO_CLUSTER_NULL_R000_008,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_053,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_028,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_021,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_005,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_031,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_074,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_020,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_044,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_069,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_013,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_060,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_034,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_014,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_061,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_003,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_012,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_042,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_077,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_063,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_075,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_070,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_038,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_067,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_041,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_071,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_025,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_049,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_059,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_033,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_035,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_079,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_080,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_066,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_039,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_037,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_064,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_032,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_026,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_055,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_036,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_015,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_024,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_004,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_011,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_009,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_006,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_001,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_052,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_046,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_030,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_068,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_016,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_019,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_072,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_002,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_022,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_029,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_027,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_057,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_040,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_054,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_007,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_010,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_018,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_048,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_023,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_043,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_062,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_045,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_065,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_058,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_078,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_076,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_050,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_056,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_047,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_017,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_073,,,False,False
SYN_S6_NO_CLUSTER_NULL_R000_051,,,False,False
