institution_id,state,institution_type,children_served,staff_size,available_devices,internet_stability,current_digital_tools,registration_system_type,admin_time_load,administrative_organization,digital_usage_frequency,previous_digital_implementation,implementation_difficulty,time_constraint,staffing_constraint,training_deficit,resource_constraint,system_change_resistance,perceived_digital_utility,tool_adoption_willingness,pilot_openness,available_devices_encoded,internet_stability_encoded,registration_system_type_encoded,admin_time_load_encoded,admin_time_load_norm,administrative_organization_encoded,digital_usage_frequency_encoded,previous_digital_implementation_encoded,implementation_difficulty_encoded,implementation_difficulty_norm,time_constraint_encoded,time_constraint_norm,staffing_constraint_encoded,staffing_constraint_norm,training_deficit_encoded,training_deficit_norm,resource_constraint_encoded,resource_constraint_norm,system_change_resistance_encoded,system_change_resistance_norm,perceived_digital_utility_encoded,tool_adoption_willingness_encoded,pilot_openness_encoded,uses_excel,uses_whatsapp,uses_google_workspace,uses_specialized_software,uses_other_tool,uses_no_tool,digital_tool_variety
INST_001,Jalisco,Pública,1-10,1-5,0,No hay acceso,Ninguna,Papel,Menos de 1 hora,Muy alto,Nunca,No,Fácil,Nada,Poco,Medio,Muy alto,Muy fácil,Mucho,Muy dispuestos,Sí,0,1,1,1,1,5,1,0,2.0,2.0,1,1,2,2,3,3,5,5,1,1,4,5,1.0,0,0,0,0,0,1,0
INST_002,Baja California,Asociación civil / ONG,31-60,16-30,6+,Muy inestable,Excel;WhatsApp;Google Drive / Docs,Software,5+ horas,Medio,Diario,Sí,Difícil,Alto,Alto,Alto,Alto,Difícil,Mucho,Dispuestos,Sí,3,2,4,4,4,3,4,1,4.0,4.0,4,4,4,4,4,4,4,4,4,4,4,4,1.0,1,1,1,0,0,0,3
INST_003,Chihuahua,Privada,11-30,1-5,1-2,Estable,Excel;WhatsApp,Papel,3-5 horas,Medio,Rara vez,No,Difícil,Alto,Muy alto,Alto,Medio,Difícil,Algo,Neutrales,Tal vez,1,4,1,3,3,3,2,0,4.0,4.0,4,4,5,5,4,4,3,3,4,4,3,3,0.5,1,1,0,0,0,0,2
INST_004,Guanajuato,Asociación civil / ONG,60+,16-30,3-5,Estable,Excel;WhatsApp;Google Drive / Docs,Mixto,5+ horas,Bajo,Rara vez,Sí,Difícil,Muy alto,Alto,Alto,Medio,Difícil,Algo,Neutrales,Tal vez,2,4,3,4,4,2,2,1,4.0,4.0,5,5,4,4,4,4,3,3,4,4,3,3,0.5,1,1,1,0,0,0,3
INST_005,Puebla,Pública,60+,30+,3-5,Estable,Excel;WhatsApp,Excel,5+ horas,Medio,Rara vez,No,Moderado,Muy alto,Alto,Medio,Medio,Neutral,Mucho,Neutrales,Sí,2,4,2,4,4,3,2,0,3.0,3.0,5,5,4,4,3,3,3,3,3,3,4,3,1.0,1,1,0,0,0,0,2
INST_006,Estado de México,Asociación civil / ONG,31-60,16-30,3-5,Estable,Excel;WhatsApp;Google Drive / Docs,Mixto,5+ horas,Muy bajo,Semanal,Sí,Muy difícil,Alto,Medio,Muy alto,Poco,Muy difícil,Mucho,Poco dispuestos,No,2,4,3,4,4,1,3,1,5.0,5.0,4,4,3,3,5,5,2,2,5,5,4,2,0.0,1,1,1,0,0,0,3
INST_007,Ciudad de México,Pública,31-60,16-30,3-5,Inestable,Excel;WhatsApp;Otra,Excel,1-3 horas,Medio,Rara vez,No,,Medio,Alto,Alto,Muy alto,Difícil,Mucho,Muy dispuestos,Sí,2,3,2,2,2,3,2,0,,,3,3,4,4,4,4,5,5,4,4,4,5,1.0,1,1,0,0,1,0,3
INST_008,Tlaxcala,Privada,11-30,6-15,6+,Muy estable,Excel;WhatsApp;Google Drive / Docs,Mixto,1-3 horas,Medio,Diario,Sí,Fácil,Poco,Poco,Muy alto,Nada,Neutral,Mucho,Muy dispuestos,Sí,3,5,3,2,2,3,4,1,2.0,2.0,2,2,2,2,5,5,1,1,3,3,4,5,1.0,1,1,1,0,0,0,3
INST_009,Ciudad de México,Pública,31-60,6-15,6+,Inestable,Excel;WhatsApp;Google Drive / Docs;Software especializado,Excel,Menos de 1 hora,Medio,Diario,Sí,Moderado,Medio,Poco,Nada,Medio,Neutral,Mucho,Neutrales,Sí,3,3,2,1,1,3,4,1,3.0,3.0,3,3,2,2,1,1,3,3,3,3,4,3,1.0,1,1,1,1,0,0,4
INST_010,Ciudad de México,Asociación civil / ONG,60+,30+,6+,Estable,Excel;WhatsApp,Mixto,5+ horas,Alto,Diario,No,,Alto,Medio,Alto,Alto,Difícil,Mucho,Dispuestos,Sí,3,4,3,4,4,4,4,0,,,4,4,3,3,4,4,4,4,4,4,4,4,1.0,1,1,0,0,0,0,2
INST_011,Querétaro,Privada,11-30,6-15,6+,Muy estable,Excel;WhatsApp;Google Drive / Docs;Software especializado,Software,3-5 horas,Muy bajo,Diario,Sí,Muy difícil,Medio,Medio,Muy alto,Poco,Muy difícil,Mucho,Poco dispuestos,No,3,5,4,3,3,1,4,1,5.0,5.0,3,3,3,3,5,5,2,2,5,5,4,2,0.0,1,1,1,1,0,0,4
INST_012,Puebla,Mixta,31-60,6-15,3-5,Muy estable,Excel;WhatsApp;Google Drive / Docs,Excel,3-5 horas,Muy bajo,Diario,Sí,Muy difícil,Medio,Medio,Muy alto,Poco,Muy difícil,Mucho,Nada dispuestos,No,2,5,2,3,3,1,4,1,5.0,5.0,3,3,3,3,5,5,2,2,5,5,4,1,0.0,1,1,1,0,0,0,3
INST_013,San Luis Potosí,Mixta,11-30,16-30,3-5,Estable,Excel;WhatsApp;Google Drive / Docs,Mixto,5+ horas,Alto,Diario,Sí,Moderado,Muy alto,Alto,Poco,Medio,Fácil,Mucho,Dispuestos,Tal vez,2,4,3,4,4,4,4,1,3.0,3.0,5,5,4,4,2,2,3,3,2,2,4,4,0.5,1,1,1,0,0,0,3
INST_014,Sonora,Pública,60+,30+,6+,Muy estable,Excel;WhatsApp;Google Drive / Docs;Software especializado,Software,5+ horas,Bajo,Diario,Sí,Difícil,Muy alto,Alto,Medio,Nada,Neutral,Mucho,Dispuestos,Tal vez,3,5,4,4,4,2,4,1,4.0,4.0,5,5,4,4,3,3,1,1,3,3,4,4,0.5,1,1,1,1,0,0,4
INST_015,Colima,Asociación civil / ONG,1-10,1-5,6+,Muy estable,Excel;WhatsApp;Google Drive / Docs;Software especializado,Software,Menos de 1 hora,Muy alto,Diario,Sí,Muy fácil,Nada,Poco,Medio,Nada,Fácil,Mucho,Neutrales,Tal vez,3,5,4,1,1,5,4,1,1.0,1.0,1,1,2,2,3,3,1,1,2,2,4,3,0.5,1,1,1,1,0,0,4
INST_016,Jalisco,Asociación civil / ONG,60+,30+,6+,Muy estable,Excel;WhatsApp;Google Drive / Docs;Software especializado,Software,5+ horas,Bajo,Diario,Sí,Difícil,Muy alto,Muy alto,Medio,Nada,Neutral,Mucho,Dispuestos,Tal vez,3,5,4,4,4,2,4,1,4.0,4.0,5,5,5,5,3,3,1,1,3,3,4,4,0.5,1,1,1,1,0,0,4
