state,institution_type,children_served,staff_size,available_devices,internet_constraint,current_digital_tools,information_recording_method,admin_time_load_norm,admin_disorganization,digital_usage_constraint,previous_digital_implementation,implementation_difficulty_norm,time_constraint_norm,staffing_constraint_norm,training_deficit_norm,resource_constraint_norm,system_change_resistance_norm,perceived_digital_utility_norm,willingness_constraint,pilot_openness,uses_excel,uses_whatsapp,uses_google_workspace,uses_specialized_software,uses_no_tool,digital_tool_variety,device_constraint,internet_stability_constraint,digital_tool_variety_constraint,recording_system_constraint,admin_time_load_constraint,administrative_disorganization_constraint,implementation_difficulty_constraint,system_change_resistance_constraint,time_constraint_score,staffing_constraint_score,resource_constraint_score,digital_usage_constraint_score,training_deficit_score,willingness_constraint_score,perceived_utility_constraint,pilot_openness_constraint,previous_implementation_constraint,ICI,OCI,OLI,HCARI,AFS_baseline,AFS_theoretical,friction_category,dominant_constraint
Jalisco,Pública,1-10,1-5,0,3,Ninguna,1,1,5,1,0,2,3,3,3,4,1,4,5,1.0,0,0,0,0,1,0,1.0,0.5,1.0,1.0,0.0,0.0,0.25,0.0,0.5,0.5,0.75,1.0,0.5,0.0,0.0,0.0,1.0,0.875,0.08333333333333333,0.4375,0.4166666666666667,0.45312500000000006,0.4354166666666667,Moderate friction,Infrastructure
Baja California,Asociación civil / ONG,31-60,16-30,3,1,Excel;WhatsApp;Google Drive / Docs,4,4,3,4,1,4,3,3,3,3,4,4,4,1.0,1,1,1,0,0,3,0.0,1.0,0.25,0.0,1.0,0.5,0.75,0.75,0.5,0.5,0.5,0.0,0.5,0.25,0.0,0.0,0.0,0.3125,0.6666666666666666,0.625,0.125,0.43229166666666663,0.43437499999999996,Moderate friction,Organizational
Chihuahua,Privada,11-30,1-5,1,4,Excel;WhatsApp,1,3,3,1,0,4,3,3,3,2,4,3,3,0.5,1,1,0,0,0,2,0.6666666666666666,0.25,0.5,1.0,0.6666666666666666,0.5,0.75,0.75,0.5,0.5,0.25,1.0,0.5,0.5,0.3333333333333333,0.5,1.0,0.6041666666666666,0.6666666666666666,0.47916666666666663,0.638888888888889,0.5972222222222222,0.6065972222222222,High friction,Organizational
Guanajuato,Asociación civil / ONG,60+,16-30,2,4,Excel;WhatsApp;Google Drive / Docs,2,4,2,1,1,4,3,3,3,2,4,3,3,0.5,1,1,1,0,0,3,0.3333333333333333,0.25,0.25,0.6666666666666666,1.0,0.75,0.75,0.75,0.5,0.5,0.25,1.0,0.5,0.5,0.3333333333333333,0.5,0.0,0.375,0.75,0.5625,0.47222222222222227,0.5399305555555556,0.5493055555555555,High friction,Organizational
Puebla,Pública,60+,30+,2,4,Excel;WhatsApp,3,4,3,1,0,3,3,3,3,2,3,4,3,1.0,1,1,0,0,0,2,0.3333333333333333,0.25,0.5,0.3333333333333333,1.0,0.5,0.5,0.5,0.5,0.5,0.25,1.0,0.5,0.5,0.0,0.0,1.0,0.35416666666666663,0.5,0.5625,0.5,0.47916666666666663,0.47604166666666664,Moderate friction,Operational
Estado de México,Asociación civil / ONG,31-60,16-30,2,4,Excel;WhatsApp;Google Drive / Docs,2,4,1,2,1,5,3,3,3,1,5,4,2,0.0,1,1,1,0,0,3,0.3333333333333333,0.25,0.25,0.6666666666666666,1.0,1.0,1.0,1.0,0.5,0.5,0.0,0.6666666666666666,0.5,0.75,0.0,1.0,0.0,0.375,1.0,0.5,0.4861111111111111,0.5902777777777778,0.6152777777777778,High friction,Organizational
Ciudad de México,Pública,31-60,16-30,2,2,Excel;WhatsApp;Otra,3,2,3,1,0,3,3,3,3,4,4,4,5,1.0,1,1,0,0,0,2,0.3333333333333333,0.75,0.5,0.3333333333333333,0.3333333333333333,0.5,0.5,0.75,0.5,0.5,0.75,1.0,0.5,0.0,0.0,0.0,1.0,0.47916666666666663,0.5833333333333334,0.5208333333333333,0.4166666666666667,0.5,0.5031249999999999,High friction,Organizational
Tlaxcala,Privada,11-30,6-15,3,5,Excel;WhatsApp;Google Drive / Docs,2,2,3,4,1,2,3,3,3,3,3,4,5,1.0,1,1,1,0,0,3,0.0,0.0,0.25,0.6666666666666666,0.3333333333333333,0.5,0.25,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.22916666666666666,0.4166666666666667,0.4583333333333333,0.08333333333333333,0.296875,0.2947916666666666,Moderate friction,Operational
Ciudad de México,Pública,31-60,6-15,3,2,Excel;WhatsApp;Google Drive / Docs;Software especializado,3,1,3,4,1,3,3,3,3,2,3,4,3,1.0,1,1,1,1,0,4,0.0,0.75,0.0,0.3333333333333333,0.0,0.5,0.5,0.5,0.5,0.5,0.25,0.0,0.5,0.5,0.0,0.0,0.0,0.2708333333333333,0.5,0.3125,0.16666666666666666,0.3125,0.321875,Moderate friction,Organizational
Ciudad de México,Asociación civil / ONG,60+,30+,3,4,Excel;WhatsApp,2,4,4,4,0,3,3,3,3,3,4,4,4,1.0,1,1,0,0,0,2,0.0,0.25,0.5,0.6666666666666666,1.0,0.25,0.5,0.75,0.5,0.5,0.5,0.0,0.5,0.25,0.0,0.0,1.0,0.35416666666666663,0.5,0.625,0.2916666666666667,0.4427083333333333,0.43645833333333334,Moderate friction,Operational
