institution_id,state,institution_type,children_served,staff_size,available_devices,internet_stability,current_digital_tools,registration_system_type,admin_time_load,administrative_organization,digital_usage_frequency,previous_digital_implementation,implementation_difficulty,time_constraint,staffing_constraint,training_deficit,resource_constraint,system_change_resistance,perceived_digital_utility,tool_adoption_willingness,pilot_openness,available_devices_encoded,internet_stability_encoded,registration_system_type_encoded,admin_time_load_encoded,admin_time_load_norm,administrative_organization_encoded,digital_usage_frequency_encoded,previous_digital_implementation_encoded,implementation_difficulty_encoded,implementation_difficulty_norm,time_constraint_encoded,time_constraint_norm,staffing_constraint_encoded,staffing_constraint_norm,training_deficit_encoded,training_deficit_norm,resource_constraint_encoded,resource_constraint_norm,system_change_resistance_encoded,system_change_resistance_norm,perceived_digital_utility_encoded,tool_adoption_willingness_encoded,pilot_openness_encoded,uses_excel,uses_whatsapp,uses_google_workspace,uses_specialized_software,uses_other_tool,uses_no_tool,digital_tool_variety,device_constraint,internet_stability_constraint,digital_tool_variety_constraint,recording_system_constraint,admin_time_load_constraint,administrative_disorganization_constraint,system_change_resistance_constraint,digital_usage_constraint_score,implementation_difficulty_constraint,previous_implementation_constraint,time_constraint_score,staffing_constraint_score,training_deficit_score,resource_constraint_score,willingness_constraint_score,perceived_utility_constraint,pilot_openness_constraint,ICI,OCI,OLI,HCARI,AFS_baseline,AFS_theoretical,AFS_equal_weights,AFS_organizational_heavy,AFS_human_heavy,AFS_infrastructure_heavy
INST_001,Jalisco,Pública,1-10,1-5,0,No hay acceso,Ninguna,Papel,Menos de 1 hora,Muy alto,Nunca,No,Fácil,Nada,Poco,Medio,Muy alto,Muy fácil,Mucho,Muy dispuestos,Sí,0,1,1,1,1,5,1,0,2.0,2.0,1,1,2,2,3,3,5,5,1,1,4,5,1.0,0,0,0,0,0,1,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.25,1,0.0,0.25,0.5,1.0,0.0,0.0,0.0,1.0,0.25,0.75,0.25,0.5625,0.5375000000000001,0.5625,0.5,0.5,0.6125
INST_002,Baja California,Asociación civil / ONG,31-60,16-30,6+,Muy inestable,Excel;WhatsApp;Google Drive / Docs,Software,5+ horas,Medio,Diario,Sí,Difícil,Alto,Alto,Alto,Alto,Difícil,Mucho,Dispuestos,Sí,3,2,4,4,4,3,4,1,4.0,4.0,4,4,4,4,4,4,4,4,4,4,4,4,1.0,1,1,1,0,0,0,3,0.0,0.75,0.4,0.0,1.0,0.5,0.75,0.0,0.75,0,0.75,0.75,0.75,0.75,0.25,0.0,0.0,0.3833333333333333,0.5625,0.25,0.4642857142857143,0.4150297619047619,0.4306547619047618,0.41502976190476193,0.4396130952380952,0.4297916666666667,0.4176488095238095
INST_003,Chihuahua,Privada,11-30,1-5,1-2,Estable,Excel;WhatsApp,Papel,3-5 horas,Medio,Rara vez,No,Difícil,Alto,Muy alto,Alto,Medio,Difícil,Algo,Neutrales,Tal vez,1,4,1,3,3,3,2,0,4.0,4.0,4,4,5,5,4,4,3,3,4,4,3,3,0.5,1,1,0,0,0,0,2,0.6666666666666666,0.25,0.6,1.0,0.6666666666666666,0.5,0.75,0.6666666666666666,0.75,1,0.75,1.0,0.75,0.5,0.5,0.3333333333333333,0.5,0.5055555555555555,0.7291666666666666,0.8055555555555555,0.6190476190476192,0.6648313492063491,0.6610119047619047,0.6648313492063491,0.6721924603174603,0.6611805555555555,0.644156746031746
INST_004,Guanajuato,Asociación civil / ONG,60+,16-30,3-5,Estable,Excel;WhatsApp;Google Drive / Docs,Mixto,5+ horas,Bajo,Rara vez,Sí,Difícil,Muy alto,Alto,Alto,Medio,Difícil,Algo,Neutrales,Tal vez,2,4,3,4,4,2,2,1,4.0,4.0,5,5,4,4,4,4,3,3,4,4,3,3,0.5,1,1,1,0,0,0,3,0.3333333333333333,0.25,0.4,0.3333333333333333,1.0,0.75,0.75,0.6666666666666666,0.75,0,1.0,0.75,0.75,0.5,0.5,0.3333333333333333,0.5,0.3277777777777778,0.7083333333333333,0.4722222222222221,0.6190476190476192,0.5318452380952381,0.5436507936507936,0.5318452380952381,0.5626785714285714,0.55375,0.5100595238095238
INST_005,Puebla,Pública,60+,30+,3-5,Estable,Excel;WhatsApp,Excel,5+ horas,Medio,Rara vez,No,Moderado,Muy alto,Alto,Medio,Medio,Neutral,Mucho,Neutrales,Sí,2,4,2,4,4,3,2,0,3.0,3.0,5,5,4,4,3,3,3,3,3,3,4,3,1.0,1,1,0,0,0,0,2,0.3333333333333333,0.25,0.6,0.6666666666666666,1.0,0.5,0.5,0.6666666666666666,0.5,1,1.0,0.75,0.5,0.5,0.5,0.0,0.0,0.3944444444444444,0.6666666666666666,0.7222222222222222,0.4642857142857143,0.5619047619047619,0.5591269841269841,0.5619047619047619,0.5727380952380953,0.5525,0.5420238095238095
INST_006,Estado de México,Asociación civil / ONG,31-60,16-30,3-5,Estable,Excel;WhatsApp;Google Drive / Docs,Mixto,5+ horas,Muy bajo,Semanal,Sí,Muy difícil,Alto,Medio,Muy alto,Poco,Muy difícil,Mucho,Poco dispuestos,No,2,4,3,4,4,1,3,1,5.0,5.0,4,4,3,3,5,5,2,2,5,5,4,2,0.0,1,1,1,0,0,0,3,0.3333333333333333,0.25,0.4,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,0,0.75,0.5,1.0,0.25,0.75,0.0,1.0,0.3277777777777778,0.8333333333333333,0.4444444444444444,0.6071428571428571,0.5531746031746031,0.5726190476190476,0.5531746031746031,0.5978968253968254,0.5752777777777778,0.5333730158730159
INST_007,Ciudad de México,Pública,31-60,16-30,3-5,Inestable,Excel;WhatsApp;Otra,Excel,1-3 horas,Medio,Rara vez,No,,Medio,Alto,Alto,Muy alto,Difícil,Mucho,Muy dispuestos,Sí,2,3,2,2,2,3,2,0,,,3,3,4,4,4,4,5,5,4,4,4,5,1.0,1,1,0,0,1,0,3,0.3333333333333333,0.5,0.4,0.6666666666666666,0.3333333333333333,0.5,0.75,0.6666666666666666,,1,0.5,0.75,0.75,1.0,0.0,0.0,0.0,0.4111111111111111,0.5625,0.8333333333333333,0.4285714285714285,0.5588789682539682,0.5453373015873015,0.5588789682539682,0.5529067460317459,0.5395138888888888,0.5368948412698412
INST_008,Tlaxcala,Privada,11-30,6-15,6+,Muy estable,Excel;WhatsApp;Google Drive / Docs,Mixto,1-3 horas,Medio,Diario,Sí,Fácil,Poco,Poco,Muy alto,Nada,Neutral,Mucho,Muy dispuestos,Sí,3,5,3,2,2,3,4,1,2.0,2.0,2,2,2,2,5,5,1,1,3,3,4,5,1.0,1,1,1,0,0,0,3,0.0,0.0,0.4,0.3333333333333333,0.3333333333333333,0.5,0.5,0.0,0.25,0,0.25,0.25,1.0,0.0,0.0,0.0,0.0,0.1333333333333333,0.4166666666666666,0.0833333333333333,0.2142857142857142,0.2119047619047619,0.2285714285714285,0.21190476190476182,0.24273809523809517,0.22249999999999992,0.2103571428571428
INST_009,Ciudad de México,Pública,31-60,6-15,6+,Inestable,Excel;WhatsApp;Google Drive / Docs;Software especializado,Excel,Menos de 1 hora,Medio,Diario,Sí,Moderado,Medio,Poco,Nada,Medio,Neutral,Mucho,Neutrales,Sí,3,3,2,1,1,3,4,1,3.0,3.0,3,3,2,2,1,1,3,3,3,3,4,3,1.0,1,1,1,1,0,0,4,0.0,0.5,0.2,0.6666666666666666,0.0,0.5,0.5,0.0,0.5,0,0.5,0.25,0.0,0.5,0.5,0.0,0.0,0.2333333333333333,0.4166666666666666,0.1666666666666666,0.25,0.2666666666666666,0.2791666666666666,0.2666666666666666,0.2883333333333333,0.2716666666666666,0.2691666666666666
INST_010,Ciudad de México,Asociación civil / ONG,60+,30+,6+,Estable,Excel;WhatsApp,Mixto,5+ horas,Alto,Diario,No,,Alto,Medio,Alto,Alto,Difícil,Mucho,Dispuestos,Sí,3,4,3,4,4,4,4,0,,,4,4,3,3,4,4,4,4,4,4,4,4,1.0,1,1,0,0,0,0,2,0.0,0.25,0.6,0.3333333333333333,1.0,0.25,0.75,0.0,,1,0.75,0.5,0.75,0.75,0.25,0.0,0.0,0.2833333333333333,0.5833333333333333,0.5,0.4285714285714285,0.4488095238095238,0.4529761904761904,0.44880952380952377,0.46797619047619043,0.45249999999999996,0.43071428571428566
