institution_id,cluster_id,cluster_label_zero_based,friction_archetype
INST_001,2,1,Infrastructure-Limited
INST_002,1,0,Organizationally-Limited
INST_003,1,0,Multi-Constraint
INST_004,1,0,Organizationally-Limited
INST_005,1,0,Operationally-Limited
INST_006,1,0,Organizationally-Limited
INST_007,1,0,Operationally-Limited
INST_008,1,0,Organizationally-Limited
INST_009,1,0,Organizationally-Limited
INST_010,1,0,Organizationally-Limited
INST_011,1,0,Organizationally-Limited
INST_012,1,0,Organizationally-Limited
INST_013,1,0,Human-Capacity-Limited
INST_014,1,0,Organizationally-Limited
INST_015,1,0,Human-Capacity-Limited
INST_016,1,0,Organizationally-Limited
INST_017,1,0,Organizationally-Limited
INST_018,1,0,Human-Capacity-Limited
INST_019,1,0,Organizationally-Limited
INST_020,1,0,Organizationally-Limited
INST_021,1,0,Organizationally-Limited
INST_022,2,1,Infrastructure-Limited
INST_023,1,0,Operationally-Limited
INST_024,1,0,Organizationally-Limited
INST_025,1,0,Multi-Constraint
INST_026,1,0,Organizationally-Limited
INST_027,2,1,Multi-Constraint
INST_028,1,0,Organizationally-Limited
INST_029,1,0,Organizationally-Limited
INST_030,1,0,Organizationally-Limited
INST_031,1,0,Human-Capacity-Limited
INST_032,1,0,Organizationally-Limited
INST_033,1,0,Organizationally-Limited
INST_034,2,1,Infrastructure-Limited
INST_035,1,0,Organizationally-Limited
INST_036,2,1,Infrastructure-Limited
INST_037,2,1,Infrastructure-Limited
INST_038,1,0,Organizationally-Limited
INST_039,2,1,Infrastructure-Limited
INST_040,1,0,Organizationally-Limited
INST_041,2,1,Infrastructure-Limited
INST_042,1,0,Organizationally-Limited
INST_043,1,0,Organizationally-Limited
INST_044,1,0,Human-Capacity-Limited
INST_045,1,0,Human-Capacity-Limited
INST_046,1,0,Organizationally-Limited
INST_047,1,0,Organizationally-Limited
INST_048,1,0,Organizationally-Limited
INST_049,1,0,Organizationally-Limited
INST_050,1,0,Organizationally-Limited
INST_051,2,1,Infrastructure-Limited
INST_052,1,0,Human-Capacity-Limited
INST_053,1,0,Organizationally-Limited
INST_054,2,1,Infrastructure-Limited
INST_055,1,0,Organizationally-Limited
INST_056,1,0,Organizationally-Limited
INST_057,1,0,Organizationally-Limited
INST_058,1,0,Organizationally-Limited
INST_059,1,0,Organizationally-Limited
INST_060,1,0,Organizationally-Limited
INST_061,1,0,Organizationally-Limited
INST_062,1,0,Organizationally-Limited
INST_063,1,0,Organizationally-Limited
INST_064,1,0,Organizationally-Limited
INST_065,2,1,Infrastructure-Limited
INST_066,1,0,Organizationally-Limited
INST_067,1,0,Organizationally-Limited
INST_068,1,0,Organizationally-Limited
INST_069,1,0,Human-Capacity-Limited
INST_070,1,0,Human-Capacity-Limited
INST_071,2,1,Infrastructure-Limited
INST_072,1,0,Human-Capacity-Limited
INST_073,1,0,Organizationally-Limited
INST_074,2,1,Infrastructure-Limited
INST_075,1,0,Organizationally-Limited
INST_076,1,0,Organizationally-Limited
INST_077,1,0,Infrastructure-Limited
INST_078,1,0,Organizationally-Limited
INST_079,1,0,Organizationally-Limited
INST_080,1,0,Organizationally-Limited
INST_081,1,0,Organizationally-Limited
