institution_id,cluster_id,cluster_label_zero_based,friction_archetype,cluster_modal_fricta_v1_archetype,is_cluster_modal_archetype
INST_003,1,0,Multi-Constraint,Organizationally-Limited,False
INST_005,1,0,Operationally-Limited,Organizationally-Limited,False
INST_007,1,0,Operationally-Limited,Organizationally-Limited,False
INST_013,1,0,Human-Capacity-Limited,Organizationally-Limited,False
INST_015,1,0,Human-Capacity-Limited,Organizationally-Limited,False
INST_018,1,0,Human-Capacity-Limited,Organizationally-Limited,False
INST_023,1,0,Operationally-Limited,Organizationally-Limited,False
INST_025,1,0,Multi-Constraint,Organizationally-Limited,False
INST_027,2,1,Multi-Constraint,Infrastructure-Limited,False
INST_031,1,0,Human-Capacity-Limited,Organizationally-Limited,False
INST_044,1,0,Human-Capacity-Limited,Organizationally-Limited,False
INST_045,1,0,Human-Capacity-Limited,Organizationally-Limited,False
INST_052,1,0,Human-Capacity-Limited,Organizationally-Limited,False
INST_069,1,0,Human-Capacity-Limited,Organizationally-Limited,False
INST_070,1,0,Human-Capacity-Limited,Organizationally-Limited,False
INST_072,1,0,Human-Capacity-Limited,Organizationally-Limited,False
INST_077,1,0,Infrastructure-Limited,Organizationally-Limited,False
