feature,conceptual_group,planned_role,reason,n_total,n_observed,n_missing,missing_rate,mean,median,std,variance,minimum,maximum,unique_values,outside_0_1_count,audit_status,flags,final_role,final_decision_reason
device_constraint,infrastructure,PRIMARY,Direct measure of device-access friction.,81,81,0,0.0,0.284,0.3333,0.3123,0.0975,0.0,1.0,4,0,PASS,,,
internet_stability_constraint,infrastructure,PRIMARY,Direct measure of connectivity instability.,81,81,0,0.0,0.2716,0.25,0.2856,0.0816,0.0,1.0,5,0,PASS,,,
digital_tool_variety_constraint,infrastructure,PRIMARY,Measures limited institutional tool availability.,81,81,0,0.0,0.4469,0.4,0.2414,0.0583,0.2,1.0,5,0,PASS,,,
recording_system_constraint,organizational,PRIMARY,Represents the maturity of administrative recording systems.,81,81,0,0.0,0.4403,0.3333,0.3645,0.1329,0.0,1.0,4,0,PASS,,,
admin_time_load_constraint,organizational_operational,PRIMARY,Captures administrative workload associated with institutional processes.,81,81,0,0.0,0.6296,0.6667,0.3249,0.1056,0.0,1.0,4,0,PASS,,,
administrative_disorganization_constraint,organizational,PRIMARY,Measures organizational-process disorder.,81,81,0,0.0,0.4846,0.5,0.3454,0.1193,0.0,1.0,5,0,PASS,,,
system_change_resistance_constraint,organizational,PRIMARY,Represents institutional resistance to changing systems.,81,81,0,0.0,0.5432,0.5,0.3057,0.0934,0.0,1.0,5,0,PASS,,,
digital_usage_constraint_score,digital_capacity,PRIMARY,Measures limited routine use of digital tools.,81,81,0,0.0,0.2263,0.0,0.311,0.0967,0.0,1.0,4,0,PASS,,,
time_constraint_score,operational_capacity,PRIMARY,Captures time scarcity affecting adoption.,81,81,0,0.0,0.571,0.5,0.3193,0.1019,0.0,1.0,5,0,PASS,,,
staffing_constraint_score,operational_capacity,PRIMARY,Captures personnel limitations.,81,81,0,0.0,0.534,0.5,0.2615,0.0684,0.0,1.0,5,0,PASS,,,
training_deficit_score,human_capacity,PRIMARY,Measures training limitations.,81,81,0,0.0,0.6142,0.5,0.3012,0.0907,0.0,1.0,5,0,PASS,,,
resource_constraint_score,resource_capacity,PRIMARY,Captures general resource scarcity.,81,81,0,0.0,0.4537,0.25,0.3604,0.1299,0.0,1.0,5,0,PASS,,,
willingness_constraint_score,adoption_readiness,PRIMARY,Measures readiness or willingness to adopt tools.,81,81,0,0.0,0.3457,0.25,0.3152,0.0993,0.0,1.0,5,0,PASS,,,
implementation_difficulty_constraint,implementation_history,VALIDATION_ONLY,May depend on prior implementation experience and is better reserved for external descriptive comparison.,81,77,4,0.0494,0.5552,0.5,0.2828,0.08,0.0,1.0,5,0,REVIEW,CONCEPTUAL_REVIEW,,
previous_implementation_constraint,implementation_history,SENSITIVITY_ONLY,Binary historical indicator rather than a continuous current friction condition.,81,81,0,0.0,0.284,0.0,0.4537,0.2059,0.0,1.0,2,0,REVIEW,CONCEPTUAL_REVIEW,,
perceived_utility_constraint,attitudinal,SENSITIVITY_ONLY,Perceived utility may be attitudinal and conceptually distinct from institutional constraints.,81,81,0,0.0,0.0288,0.0,0.0942,0.0089,0.0,0.3333,2,0,REVIEW,LOW_VARIANCE;CONCEPTUAL_REVIEW,,
pilot_openness_constraint,research_participation,SENSITIVITY_ONLY,May reflect willingness to participate in the pilot rather than digital-adoption friction itself.,81,81,0,0.0,0.3704,0.5,0.3773,0.1424,0.0,1.0,3,0,REVIEW,CONCEPTUAL_REVIEW,,
