,device_constraint,internet_stability_constraint,digital_tool_variety_constraint,recording_system_constraint,admin_time_load_constraint,administrative_disorganization_constraint,system_change_resistance_constraint,digital_usage_constraint_score,time_constraint_score,staffing_constraint_score,training_deficit_score,resource_constraint_score,willingness_constraint_score,implementation_difficulty_constraint,previous_implementation_constraint,perceived_utility_constraint,pilot_openness_constraint
device_constraint,1.0,0.7595974275358578,0.8712184968018676,0.8522918650998897,-0.12775935072967226,-0.14235567817794512,-0.35931139423814906,0.8314278587282398,-0.1837971057096098,-0.09402269229135167,-0.22724530296566642,0.6551113087455243,-0.215981531293686,-0.05862942194280682,0.6588991096830552,0.14331459917448286,-0.17876847065589713
internet_stability_constraint,0.7595974275358578,1.0,0.7466592613872362,0.6980252850345603,-0.11476211516103046,-0.23419266695562607,-0.3867348635779602,0.7182410103442909,-0.16269621368097248,-0.1773479593540027,-0.31062826552696654,0.7689693800218894,-0.28365798297599537,-0.10111562582087104,0.6514587411250046,0.09269458467691655,-0.33620170974390257
digital_tool_variety_constraint,0.8712184968018676,0.7466592613872362,1.0,0.841999837624913,-0.15820201293165922,-0.23109088028023103,-0.4598309891652386,0.7780237421883061,-0.18161632490648025,-0.17408531501758284,-0.2551479926733183,0.6790924093954402,-0.40478022445866585,-0.19765353175334782,0.767050944312161,0.049744126387658356,-0.37156898100862557
recording_system_constraint,0.8522918650998897,0.6980252850345603,0.841999837624913,1.0,-0.10685928161577804,-0.201856340675159,-0.40667324842438285,0.7392985430082915,-0.14664920552964278,-0.10417431174851917,-0.302485890465949,0.7677944711450482,-0.2534575151118357,-0.1491414549310919,0.7210090414656591,0.19217683809377833,-0.27660510101615204
admin_time_load_constraint,-0.12775935072967226,-0.11476211516103046,-0.15820201293165922,-0.10685928161577804,1.0,0.32902897809746395,0.37296746593717506,-0.12217058401259102,0.8089744550423777,0.5422685551765198,0.11828696630725322,-0.014828506484455103,0.3198918647981022,0.5852281937064202,-0.18215591681863252,0.08063958919072324,0.36822615420668914
administrative_disorganization_constraint,-0.14235567817794512,-0.23419266695562607,-0.23109088028023103,-0.201856340675159,0.32902897809746395,1.0,0.6946451692265528,-0.15131458628027847,0.3643081316506816,0.3346176170953919,0.4602838364994047,-0.16901251946178494,0.6166243269889823,0.7644947132503209,-0.3705176039022974,0.045829315535166976,0.6798819698653359
system_change_resistance_constraint,-0.35931139423814906,-0.3867348635779602,-0.4598309891652386,-0.40667324842438285,0.37296746593717506,0.6946451692265528,1.0,-0.3342596638841603,0.37648037117144645,0.30401434801514593,0.7180458710446911,-0.36462919361715257,0.8243458184859526,0.7959403901348806,-0.3825185941964825,0.10089539082008672,0.6724200237393443
digital_usage_constraint_score,0.8314278587282398,0.7182410103442909,0.7780237421883061,0.7392985430082915,-0.12217058401259102,-0.15131458628027847,-0.3342596638841603,1.0,-0.13235426864626548,-0.044435280350276024,-0.2237766423836168,0.6429756619365533,-0.2555618173872749,-0.0708862195181047,0.6313256462704204,0.24860365492398767,-0.27943478060634136
time_constraint_score,-0.1837971057096098,-0.16269621368097248,-0.18161632490648025,-0.14664920552964278,0.8089744550423777,0.3643081316506816,0.37648037117144645,-0.13235426864626548,1.0,0.7662778301715432,0.1421402705414326,-0.03219198603048383,0.33540620782733005,0.5829686416348646,-0.18403640041960295,0.17352607813628138,0.3497381823860264
staffing_constraint_score,-0.09402269229135167,-0.1773479593540027,-0.17408531501758284,-0.10417431174851917,0.5422685551765198,0.3346176170953919,0.30401434801514593,-0.044435280350276024,0.7662778301715432,1.0,0.14857393853957135,0.00030709471949399796,0.282435331167988,0.4923594287131035,-0.08227743648678976,0.34026780646465205,0.3460973140144906
