institution_id,R0_STANDARDIZED__KMEANS__K2,R0_STANDARDIZED__HAC_WARD__K2,R0_STANDARDIZED__GMM_DIAG__K2,R0_STANDARDIZED__KMEANS__K3,R0_STANDARDIZED__HAC_WARD__K3,R0_STANDARDIZED__GMM_DIAG__K3,R0_STANDARDIZED__KMEANS__K4,R0_STANDARDIZED__HAC_WARD__K4,R0_STANDARDIZED__GMM_DIAG__K4,R0_STANDARDIZED__KMEANS__K5,R0_STANDARDIZED__HAC_WARD__K5,R0_STANDARDIZED__GMM_DIAG__K5,R0_STANDARDIZED__KMEANS__K6,R0_STANDARDIZED__HAC_WARD__K6,R0_STANDARDIZED__GMM_DIAG__K6,R1_PCA_85__KMEANS__K2,R1_PCA_85__HAC_WARD__K2,R1_PCA_85__GMM_DIAG__K2,R1_PCA_85__KMEANS__K3,R1_PCA_85__HAC_WARD__K3,R1_PCA_85__GMM_DIAG__K3,R1_PCA_85__KMEANS__K4,R1_PCA_85__HAC_WARD__K4,R1_PCA_85__GMM_DIAG__K4,R1_PCA_85__KMEANS__K5,R1_PCA_85__HAC_WARD__K5,R1_PCA_85__GMM_DIAG__K5,R1_PCA_85__KMEANS__K6,R1_PCA_85__HAC_WARD__K6,R1_PCA_85__GMM_DIAG__K6
INST_001,0,1,1,0,1,2,2,1,1,2,4,3,2,4,3,1,1,1,1,1,1,0,1,0,3,4,2,4,4,1
INST_002,1,0,0,1,0,0,1,2,2,1,0,2,3,0,2,0,0,1,2,0,2,1,2,3,1,0,1,2,2,0
INST_003,1,0,0,1,0,1,1,2,3,4,0,2,1,0,5,0,0,1,2,0,1,1,2,0,4,0,1,1,5,0
INST_004,1,0,0,1,0,1,1,2,3,4,0,2,1,0,5,0,0,1,2,0,2,1,2,0,4,0,1,1,5,0
INST_005,1,0,0,1,0,1,1,2,3,4,0,2,1,0,5,0,0,1,2,0,2,1,2,0,4,0,1,1,5,0
INST_006,1,0,0,1,0,1,0,3,3,3,3,0,4,3,5,0,0,1,2,0,2,3,3,1,2,3,4,5,3,3
INST_007,1,0,0,0,0,1,1,2,3,4,0,2,5,0,5,0,0,1,1,0,1,1,2,0,4,0,1,1,5,1
INST_008,1,0,0,2,2,0,3,0,0,0,2,4,0,2,4,0,0,1,0,2,2,2,0,0,0,2,0,0,0,5
INST_009,1,0,0,2,2,0,3,0,2,0,1,1,5,1,2,0,0,1,0,2,1,2,0,0,0,1,3,3,1,0
INST_010,1,0,0,1,0,0,1,2,2,1,0,2,3,0,2,0,0,1,2,0,2,1,2,3,1,0,1,2,2,0
INST_011,1,0,0,1,0,0,0,3,2,3,3,0,4,3,2,0,0,1,2,0,2,3,3,1,2,3,4,5,3,3
INST_012,1,0,0,1,0,0,0,3,2,3,3,0,4,3,5,0,0,1,2,0,2,3,3,1,2,3,4,5,3,3
INST_013,1,0,0,1,0,0,1,2,2,1,0,2,3,5,1,0,0,1,2,0,2,1,2,3,1,0,1,2,2,0
INST_014,1,0,0,1,0,0,1,2,2,1,0,2,3,5,2,0,0,1,2,0,2,1,2,3,1,0,1,2,2,4
INST_015,1,0,0,2,2,0,3,0,0,0,2,4,0,2,0,0,0,0,0,2,0,2,0,2,0,2,3,0,0,2
INST_016,1,0,0,1,0,0,1,2,2,1,0,2,3,5,2,0,0,1,2,0,2,1,2,3,1,0,1,2,2,4
INST_017,1,0,0,2,0,0,0,3,0,3,3,4,4,3,4,0,0,1,0,2,2,3,0,1,2,2,0,5,0,5
INST_018,1,0,0,2,2,0,3,0,0,0,2,4,0,2,0,0,0,0,0,2,0,2,0,2,0,2,3,0,0,2
INST_019,1,0,0,0,2,1,1,0,3,4,1,1,5,1,1,0,0,1,1,2,1,1,0,0,4,1,1,3,1,1
INST_020,1,0,0,2,2,0,3,0,0,0,2,1,0,2,4,0,0,1,0,2,2,2,0,1,0,2,0,0,0,5
INST_021,1,0,0,1,0,0,1,2,2,1,0,2,3,0,2,0,0,1,2,0,2,1,2,3,1,0,1,2,2,0
INST_022,0,1,1,0,1,2,2,1,1,2,4,3,2,4,3,1,1,1,1,1,1,0,1,0,3,4,2,4,4,1
INST_023,0,0,1,0,0,1,1,2,3,4,0,1,5,0,1,1,0,1,1,0,1,1,2,0,4,0,1,3,5,1
INST_024,1,0,0,1,0,0,0,3,2,3,3,0,4,3,5,0,0,1,2,0,2,3,3,1,2,3,4,5,3,3
INST_025,1,0,0,1,0,1,1,2,3,4,0,2,1,0,5,0,0,1,2,0,1,1,2,0,4,0,1,1,5,0
INST_026,1,0,0,1,0,0,1,2,2,1,0,2,3,5,2,0,0,1,2,0,2,1,2,3,1,0,1,2,2,4
INST_027,0,1,1,0,1,2,2,1,1,2,4,3,2,4,3,1,1,1,1,1,1,0,1,0,3,4,2,4,4,1
