institution_id,candidate_id,cluster
INST_001,R0_STANDARDIZED__KMEANS__K2,0
INST_002,R0_STANDARDIZED__KMEANS__K2,1
INST_003,R0_STANDARDIZED__KMEANS__K2,1
INST_004,R0_STANDARDIZED__KMEANS__K2,1
INST_005,R0_STANDARDIZED__KMEANS__K2,1
INST_006,R0_STANDARDIZED__KMEANS__K2,1
INST_007,R0_STANDARDIZED__KMEANS__K2,1
INST_008,R0_STANDARDIZED__KMEANS__K2,1
INST_009,R0_STANDARDIZED__KMEANS__K2,1
INST_010,R0_STANDARDIZED__KMEANS__K2,1
INST_011,R0_STANDARDIZED__KMEANS__K2,1
INST_012,R0_STANDARDIZED__KMEANS__K2,1
INST_013,R0_STANDARDIZED__KMEANS__K2,1
INST_014,R0_STANDARDIZED__KMEANS__K2,1
INST_015,R0_STANDARDIZED__KMEANS__K2,1
INST_016,R0_STANDARDIZED__KMEANS__K2,1
INST_017,R0_STANDARDIZED__KMEANS__K2,1
INST_018,R0_STANDARDIZED__KMEANS__K2,1
INST_019,R0_STANDARDIZED__KMEANS__K2,1
INST_020,R0_STANDARDIZED__KMEANS__K2,1
INST_021,R0_STANDARDIZED__KMEANS__K2,1
INST_022,R0_STANDARDIZED__KMEANS__K2,0
INST_023,R0_STANDARDIZED__KMEANS__K2,0
INST_024,R0_STANDARDIZED__KMEANS__K2,1
INST_025,R0_STANDARDIZED__KMEANS__K2,1
INST_026,R0_STANDARDIZED__KMEANS__K2,1
INST_027,R0_STANDARDIZED__KMEANS__K2,0
INST_028,R0_STANDARDIZED__KMEANS__K2,1
INST_029,R0_STANDARDIZED__KMEANS__K2,1
INST_030,R0_STANDARDIZED__KMEANS__K2,1
INST_031,R0_STANDARDIZED__KMEANS__K2,1
INST_032,R0_STANDARDIZED__KMEANS__K2,1
INST_033,R0_STANDARDIZED__KMEANS__K2,1
INST_034,R0_STANDARDIZED__KMEANS__K2,0
INST_035,R0_STANDARDIZED__KMEANS__K2,1
INST_036,R0_STANDARDIZED__KMEANS__K2,0
INST_037,R0_STANDARDIZED__KMEANS__K2,0
INST_038,R0_STANDARDIZED__KMEANS__K2,1
INST_039,R0_STANDARDIZED__KMEANS__K2,0
INST_040,R0_STANDARDIZED__KMEANS__K2,1
INST_041,R0_STANDARDIZED__KMEANS__K2,0
INST_042,R0_STANDARDIZED__KMEANS__K2,1
INST_043,R0_STANDARDIZED__KMEANS__K2,1
INST_044,R0_STANDARDIZED__KMEANS__K2,1
INST_045,R0_STANDARDIZED__KMEANS__K2,1
INST_046,R0_STANDARDIZED__KMEANS__K2,1
INST_047,R0_STANDARDIZED__KMEANS__K2,1
INST_048,R0_STANDARDIZED__KMEANS__K2,1
INST_049,R0_STANDARDIZED__KMEANS__K2,1
INST_050,R0_STANDARDIZED__KMEANS__K2,1
INST_051,R0_STANDARDIZED__KMEANS__K2,0
INST_052,R0_STANDARDIZED__KMEANS__K2,1
INST_053,R0_STANDARDIZED__KMEANS__K2,1
INST_054,R0_STANDARDIZED__KMEANS__K2,0
INST_055,R0_STANDARDIZED__KMEANS__K2,1
INST_056,R0_STANDARDIZED__KMEANS__K2,1
INST_057,R0_STANDARDIZED__KMEANS__K2,1
INST_058,R0_STANDARDIZED__KMEANS__K2,1
INST_059,R0_STANDARDIZED__KMEANS__K2,1
INST_060,R0_STANDARDIZED__KMEANS__K2,1
INST_061,R0_STANDARDIZED__KMEANS__K2,1
INST_062,R0_STANDARDIZED__KMEANS__K2,1
INST_063,R0_STANDARDIZED__KMEANS__K2,1
INST_064,R0_STANDARDIZED__KMEANS__K2,0
INST_065,R0_STANDARDIZED__KMEANS__K2,0
INST_066,R0_STANDARDIZED__KMEANS__K2,0
INST_067,R0_STANDARDIZED__KMEANS__K2,1
INST_068,R0_STANDARDIZED__KMEANS__K2,1
INST_069,R0_STANDARDIZED__KMEANS__K2,1
INST_070,R0_STANDARDIZED__KMEANS__K2,1
INST_071,R0_STANDARDIZED__KMEANS__K2,0
INST_072,R0_STANDARDIZED__KMEANS__K2,1
INST_073,R0_STANDARDIZED__KMEANS__K2,1
INST_074,R0_STANDARDIZED__KMEANS__K2,0
INST_075,R0_STANDARDIZED__KMEANS__K2,1
INST_076,R0_STANDARDIZED__KMEANS__K2,1
INST_077,R0_STANDARDIZED__KMEANS__K2,1
INST_078,R0_STANDARDIZED__KMEANS__K2,1
INST_079,R0_STANDARDIZED__KMEANS__K2,1
INST_080,R0_STANDARDIZED__KMEANS__K2,1
INST_081,R0_STANDARDIZED__KMEANS__K2,1
INST_001,R0_STANDARDIZED__HAC_WARD__K2,1
INST_002,R0_STANDARDIZED__HAC_WARD__K2,0
INST_003,R0_STANDARDIZED__HAC_WARD__K2,0
INST_004,R0_STANDARDIZED__HAC_WARD__K2,0
INST_005,R0_STANDARDIZED__HAC_WARD__K2,0
INST_006,R0_STANDARDIZED__HAC_WARD__K2,0
INST_007,R0_STANDARDIZED__HAC_WARD__K2,0
INST_008,R0_STANDARDIZED__HAC_WARD__K2,0
INST_009,R0_STANDARDIZED__HAC_WARD__K2,0
INST_010,R0_STANDARDIZED__HAC_WARD__K2,0
INST_011,R0_STANDARDIZED__HAC_WARD__K2,0
INST_012,R0_STANDARDIZED__HAC_WARD__K2,0
INST_013,R0_STANDARDIZED__HAC_WARD__K2,0
INST_014,R0_STANDARDIZED__HAC_WARD__K2,0
INST_015,R0_STANDARDIZED__HAC_WARD__K2,0
INST_016,R0_STANDARDIZED__HAC_WARD__K2,0
INST_017,R0_STANDARDIZED__HAC_WARD__K2,0
INST_018,R0_STANDARDIZED__HAC_WARD__K2,0
INST_019,R0_STANDARDIZED__HAC_WARD__K2,0
INST_020,R0_STANDARDIZED__HAC_WARD__K2,0
INST_021,R0_STANDARDIZED__HAC_WARD__K2,0
INST_022,R0_STANDARDIZED__HAC_WARD__K2,1
INST_023,R0_STANDARDIZED__HAC_WARD__K2,0
INST_024,R0_STANDARDIZED__HAC_WARD__K2,0
INST_025,R0_STANDARDIZED__HAC_WARD__K2,0
INST_026,R0_STANDARDIZED__HAC_WARD__K2,0
INST_027,R0_STANDARDIZED__HAC_WARD__K2,1
INST_028,R0_STANDARDIZED__HAC_WARD__K2,0
INST_029,R0_STANDARDIZED__HAC_WARD__K2,0
INST_030,R0_STANDARDIZED__HAC_WARD__K2,0
INST_031,R0_STANDARDIZED__HAC_WARD__K2,0
INST_032,R0_STANDARDIZED__HAC_WARD__K2,0
INST_033,R0_STANDARDIZED__HAC_WARD__K2,0
INST_034,R0_STANDARDIZED__HAC_WARD__K2,1
INST_035,R0_STANDARDIZED__HAC_WARD__K2,0
INST_036,R0_STANDARDIZED__HAC_WARD__K2,1
INST_037,R0_STANDARDIZED__HAC_WARD__K2,1
INST_038,R0_STANDARDIZED__HAC_WARD__K2,0
INST_039,R0_STANDARDIZED__HAC_WARD__K2,1
INST_040,R0_STANDARDIZED__HAC_WARD__K2,0
INST_041,R0_STANDARDIZED__HAC_WARD__K2,1
INST_042,R0_STANDARDIZED__HAC_WARD__K2,0
INST_043,R0_STANDARDIZED__HAC_WARD__K2,0
INST_044,R0_STANDARDIZED__HAC_WARD__K2,0
INST_045,R0_STANDARDIZED__HAC_WARD__K2,0
INST_046,R0_STANDARDIZED__HAC_WARD__K2,0
INST_047,R0_STANDARDIZED__HAC_WARD__K2,0
INST_048,R0_STANDARDIZED__HAC_WARD__K2,0
INST_049,R0_STANDARDIZED__HAC_WARD__K2,0
INST_050,R0_STANDARDIZED__HAC_WARD__K2,0
INST_051,R0_STANDARDIZED__HAC_WARD__K2,1
INST_052,R0_STANDARDIZED__HAC_WARD__K2,0
INST_053,R0_STANDARDIZED__HAC_WARD__K2,0
INST_054,R0_STANDARDIZED__HAC_WARD__K2,1
INST_055,R0_STANDARDIZED__HAC_WARD__K2,0
INST_056,R0_STANDARDIZED__HAC_WARD__K2,0
INST_057,R0_STANDARDIZED__HAC_WARD__K2,0
INST_058,R0_STANDARDIZED__HAC_WARD__K2,0
INST_059,R0_STANDARDIZED__HAC_WARD__K2,0
INST_060,R0_STANDARDIZED__HAC_WARD__K2,0
INST_061,R0_STANDARDIZED__HAC_WARD__K2,0
INST_062,R0_STANDARDIZED__HAC_WARD__K2,0
INST_063,R0_STANDARDIZED__HAC_WARD__K2,0
INST_064,R0_STANDARDIZED__HAC_WARD__K2,0
INST_065,R0_STANDARDIZED__HAC_WARD__K2,1
INST_066,R0_STANDARDIZED__HAC_WARD__K2,0
INST_067,R0_STANDARDIZED__HAC_WARD__K2,0
INST_068,R0_STANDARDIZED__HAC_WARD__K2,0
INST_069,R0_STANDARDIZED__HAC_WARD__K2,0
INST_070,R0_STANDARDIZED__HAC_WARD__K2,0
INST_071,R0_STANDARDIZED__HAC_WARD__K2,1
INST_072,R0_STANDARDIZED__HAC_WARD__K2,0
INST_073,R0_STANDARDIZED__HAC_WARD__K2,0
INST_074,R0_STANDARDIZED__HAC_WARD__K2,1
INST_075,R0_STANDARDIZED__HAC_WARD__K2,0
INST_076,R0_STANDARDIZED__HAC_WARD__K2,0
INST_077,R0_STANDARDIZED__HAC_WARD__K2,0
INST_078,R0_STANDARDIZED__HAC_WARD__K2,0
INST_079,R0_STANDARDIZED__HAC_WARD__K2,0
INST_080,R0_STANDARDIZED__HAC_WARD__K2,0
INST_081,R0_STANDARDIZED__HAC_WARD__K2,0
INST_001,R0_STANDARDIZED__GMM_DIAG__K2,1
INST_002,R0_STANDARDIZED__GMM_DIAG__K2,0
INST_003,R0_STANDARDIZED__GMM_DIAG__K2,0
INST_004,R0_STANDARDIZED__GMM_DIAG__K2,0
INST_005,R0_STANDARDIZED__GMM_DIAG__K2,0
INST_006,R0_STANDARDIZED__GMM_DIAG__K2,0
INST_007,R0_STANDARDIZED__GMM_DIAG__K2,0
INST_008,R0_STANDARDIZED__GMM_DIAG__K2,0
INST_009,R0_STANDARDIZED__GMM_DIAG__K2,0
INST_010,R0_STANDARDIZED__GMM_DIAG__K2,0
INST_011,R0_STANDARDIZED__GMM_DIAG__K2,0
INST_012,R0_STANDARDIZED__GMM_DIAG__K2,0
INST_013,R0_STANDARDIZED__GMM_DIAG__K2,0
INST_014,R0_STANDARDIZED__GMM_DIAG__K2,0
INST_015,R0_STANDARDIZED__GMM_DIAG__K2,0
INST_016,R0_STANDARDIZED__GMM_DIAG__K2,0
INST_017,R0_STANDARDIZED__GMM_DIAG__K2,0
INST_018,R0_STANDARDIZED__GMM_DIAG__K2,0
INST_019,R0_STANDARDIZED__GMM_DIAG__K2,0
INST_020,R0_STANDARDIZED__GMM_DIAG__K2,0
INST_021,R0_STANDARDIZED__GMM_DIAG__K2,0
INST_022,R0_STANDARDIZED__GMM_DIAG__K2,1
INST_023,R0_STANDARDIZED__GMM_DIAG__K2,1
INST_024,R0_STANDARDIZED__GMM_DIAG__K2,0
INST_025,R0_STANDARDIZED__GMM_DIAG__K2,0
INST_026,R0_STANDARDIZED__GMM_DIAG__K2,0
INST_027,R0_STANDARDIZED__GMM_DIAG__K2,1
INST_028,R0_STANDARDIZED__GMM_DIAG__K2,0
INST_029,R0_STANDARDIZED__GMM_DIAG__K2,0
INST_030,R0_STANDARDIZED__GMM_DIAG__K2,0
INST_031,R0_STANDARDIZED__GMM_DIAG__K2,0
INST_032,R0_STANDARDIZED__GMM_DIAG__K2,0
INST_033,R0_STANDARDIZED__GMM_DIAG__K2,0
INST_034,R0_STANDARDIZED__GMM_DIAG__K2,1
INST_035,R0_STANDARDIZED__GMM_DIAG__K2,0
INST_036,R0_STANDARDIZED__GMM_DIAG__K2,1
INST_037,R0_STANDARDIZED__GMM_DIAG__K2,1
INST_038,R0_STANDARDIZED__GMM_DIAG__K2,0
INST_039,R0_STANDARDIZED__GMM_DIAG__K2,1
INST_040,R0_STANDARDIZED__GMM_DIAG__K2,0
INST_041,R0_STANDARDIZED__GMM_DIAG__K2,1
INST_042,R0_STANDARDIZED__GMM_DIAG__K2,0
INST_043,R0_STANDARDIZED__GMM_DIAG__K2,0
INST_044,R0_STANDARDIZED__GMM_DIAG__K2,0
INST_045,R0_STANDARDIZED__GMM_DIAG__K2,0
INST_046,R0_STANDARDIZED__GMM_DIAG__K2,0
INST_047,R0_STANDARDIZED__GMM_DIAG__K2,0
INST_048,R0_STANDARDIZED__GMM_DIAG__K2,0
INST_049,R0_STANDARDIZED__GMM_DIAG__K2,0
INST_050,R0_STANDARDIZED__GMM_DIAG__K2,0
INST_051,R0_STANDARDIZED__GMM_DIAG__K2,1
INST_052,R0_STANDARDIZED__GMM_DIAG__K2,0
INST_053,R0_STANDARDIZED__GMM_DIAG__K2,0
INST_054,R0_STANDARDIZED__GMM_DIAG__K2,1
INST_055,R0_STANDARDIZED__GMM_DIAG__K2,0
INST_056,R0_STANDARDIZED__GMM_DIAG__K2,0
INST_057,R0_STANDARDIZED__GMM_DIAG__K2,0
INST_058,R0_STANDARDIZED__GMM_DIAG__K2,0
INST_059,R0_STANDARDIZED__GMM_DIAG__K2,0
INST_060,R0_STANDARDIZED__GMM_DIAG__K2,0
INST_061,R0_STANDARDIZED__GMM_DIAG__K2,0
INST_062,R0_STANDARDIZED__GMM_DIAG__K2,0
INST_063,R0_STANDARDIZED__GMM_DIAG__K2,0
INST_064,R0_STANDARDIZED__GMM_DIAG__K2,0
INST_065,R0_STANDARDIZED__GMM_DIAG__K2,1
INST_066,R0_STANDARDIZED__GMM_DIAG__K2,0
INST_067,R0_STANDARDIZED__GMM_DIAG__K2,0
INST_068,R0_STANDARDIZED__GMM_DIAG__K2,0
INST_069,R0_STANDARDIZED__GMM_DIAG__K2,0
INST_070,R0_STANDARDIZED__GMM_DIAG__K2,0
INST_071,R0_STANDARDIZED__GMM_DIAG__K2,1
INST_072,R0_STANDARDIZED__GMM_DIAG__K2,0
INST_073,R0_STANDARDIZED__GMM_DIAG__K2,0
INST_074,R0_STANDARDIZED__GMM_DIAG__K2,1
INST_075,R0_STANDARDIZED__GMM_DIAG__K2,0
INST_076,R0_STANDARDIZED__GMM_DIAG__K2,0
INST_077,R0_STANDARDIZED__GMM_DIAG__K2,0
INST_078,R0_STANDARDIZED__GMM_DIAG__K2,0
INST_079,R0_STANDARDIZED__GMM_DIAG__K2,0
INST_080,R0_STANDARDIZED__GMM_DIAG__K2,0
INST_081,R0_STANDARDIZED__GMM_DIAG__K2,0
INST_001,R0_STANDARDIZED__KMEANS__K3,0
INST_002,R0_STANDARDIZED__KMEANS__K3,1
INST_003,R0_STANDARDIZED__KMEANS__K3,1
INST_004,R0_STANDARDIZED__KMEANS__K3,1
INST_005,R0_STANDARDIZED__KMEANS__K3,1
INST_006,R0_STANDARDIZED__KMEANS__K3,1
INST_007,R0_STANDARDIZED__KMEANS__K3,0
INST_008,R0_STANDARDIZED__KMEANS__K3,2
INST_009,R0_STANDARDIZED__KMEANS__K3,2
INST_010,R0_STANDARDIZED__KMEANS__K3,1
INST_011,R0_STANDARDIZED__KMEANS__K3,1
INST_012,R0_STANDARDIZED__KMEANS__K3,1
INST_013,R0_STANDARDIZED__KMEANS__K3,1
INST_014,R0_STANDARDIZED__KMEANS__K3,1
INST_015,R0_STANDARDIZED__KMEANS__K3,2
INST_016,R0_STANDARDIZED__KMEANS__K3,1
INST_017,R0_STANDARDIZED__KMEANS__K3,2
INST_018,R0_STANDARDIZED__KMEANS__K3,2
INST_019,R0_STANDARDIZED__KMEANS__K3,0
INST_020,R0_STANDARDIZED__KMEANS__K3,2
INST_021,R0_STANDARDIZED__KMEANS__K3,1
INST_022,R0_STANDARDIZED__KMEANS__K3,0
INST_023,R0_STANDARDIZED__KMEANS__K3,0
INST_024,R0_STANDARDIZED__KMEANS__K3,1
INST_025,R0_STANDARDIZED__KMEANS__K3,1
INST_026,R0_STANDARDIZED__KMEANS__K3,1
INST_027,R0_STANDARDIZED__KMEANS__K3,0
INST_028,R0_STANDARDIZED__KMEANS__K3,1
INST_029,R0_STANDARDIZED__KMEANS__K3,1
INST_030,R0_STANDARDIZED__KMEANS__K3,1
INST_031,R0_STANDARDIZED__KMEANS__K3,2
INST_032,R0_STANDARDIZED__KMEANS__K3,1
INST_033,R0_STANDARDIZED__KMEANS__K3,1
INST_034,R0_STANDARDIZED__KMEANS__K3,0
INST_035,R0_STANDARDIZED__KMEANS__K3,1
INST_036,R0_STANDARDIZED__KMEANS__K3,0
INST_037,R0_STANDARDIZED__KMEANS__K3,0
INST_038,R0_STANDARDIZED__KMEANS__K3,2
INST_039,R0_STANDARDIZED__KMEANS__K3,0
INST_040,R0_STANDARDIZED__KMEANS__K3,1
INST_041,R0_STANDARDIZED__KMEANS__K3,0
INST_042,R0_STANDARDIZED__KMEANS__K3,2
INST_043,R0_STANDARDIZED__KMEANS__K3,1
INST_044,R0_STANDARDIZED__KMEANS__K3,2
INST_045,R0_STANDARDIZED__KMEANS__K3,1
INST_046,R0_STANDARDIZED__KMEANS__K3,2
INST_047,R0_STANDARDIZED__KMEANS__K3,1
INST_048,R0_STANDARDIZED__KMEANS__K3,1
INST_049,R0_STANDARDIZED__KMEANS__K3,1
INST_050,R0_STANDARDIZED__KMEANS__K3,2
INST_051,R0_STANDARDIZED__KMEANS__K3,0
INST_052,R0_STANDARDIZED__KMEANS__K3,2
INST_053,R0_STANDARDIZED__KMEANS__K3,1
INST_054,R0_STANDARDIZED__KMEANS__K3,0
INST_055,R0_STANDARDIZED__KMEANS__K3,1
INST_056,R0_STANDARDIZED__KMEANS__K3,1
INST_057,R0_STANDARDIZED__KMEANS__K3,1
INST_058,R0_STANDARDIZED__KMEANS__K3,1
INST_059,R0_STANDARDIZED__KMEANS__K3,1
INST_060,R0_STANDARDIZED__KMEANS__K3,2
INST_061,R0_STANDARDIZED__KMEANS__K3,1
INST_062,R0_STANDARDIZED__KMEANS__K3,2
INST_063,R0_STANDARDIZED__KMEANS__K3,2
INST_064,R0_STANDARDIZED__KMEANS__K3,0
INST_065,R0_STANDARDIZED__KMEANS__K3,0
INST_066,R0_STANDARDIZED__KMEANS__K3,0
INST_067,R0_STANDARDIZED__KMEANS__K3,1
INST_068,R0_STANDARDIZED__KMEANS__K3,1
INST_069,R0_STANDARDIZED__KMEANS__K3,1
INST_070,R0_STANDARDIZED__KMEANS__K3,1
INST_071,R0_STANDARDIZED__KMEANS__K3,0
INST_072,R0_STANDARDIZED__KMEANS__K3,1
INST_073,R0_STANDARDIZED__KMEANS__K3,1
INST_074,R0_STANDARDIZED__KMEANS__K3,0
INST_075,R0_STANDARDIZED__KMEANS__K3,1
INST_076,R0_STANDARDIZED__KMEANS__K3,1
INST_077,R0_STANDARDIZED__KMEANS__K3,2
INST_078,R0_STANDARDIZED__KMEANS__K3,1
INST_079,R0_STANDARDIZED__KMEANS__K3,1
INST_080,R0_STANDARDIZED__KMEANS__K3,1
