candidate_id,representation,algorithm,k_requested,n_samples,n_dimensions,observed_clusters,silhouette,davies_bouldin,calinski_harabasz,minimum_cluster_size,maximum_cluster_size,bic,aic,inertia,converged,eligible_min_cluster_size
R0_STANDARDIZED__GMM_DIAG__K2,R0_STANDARDIZED,GMM_DIAG,2,81,13,2,0.3495289691928451,0.9325475305329851,37.40994185971451,14,67,2592.7481137001387,2465.8423085024992,,True,True
R0_STANDARDIZED__GMM_DIAG__K3,R0_STANDARDIZED,GMM_DIAG,3,81,13,3,0.16638291330486651,1.6546036030631466,26.87762013040243,15,47,2132.12213444786,1940.5662020740647,,True,True
R0_STANDARDIZED__GMM_DIAG__K4,R0_STANDARDIZED,GMM_DIAG,4,81,13,4,0.21518311346649513,1.7737151129968123,28.661590421150798,13,32,1721.4871509778409,1465.28109142789,,True,True
R0_STANDARDIZED__GMM_DIAG__K5,R0_STANDARDIZED,GMM_DIAG,5,81,13,5,0.24859917728172706,1.4814009161979995,29.357983857551343,12,32,1423.2012406088306,1102.3450538827237,,True,True
R0_STANDARDIZED__GMM_DIAG__K6,R0_STANDARDIZED,GMM_DIAG,6,81,13,6,0.2192115758159911,1.5598025760993925,22.81551768287774,6,23,815.5018785072396,429.99556460497683,,True,True
R0_STANDARDIZED__HAC_WARD__K2,R0_STANDARDIZED,HAC_WARD,2,81,13,2,0.36027400363129414,0.8888983077423682,37.34296216978151,13,68,,,,True,True
R0_STANDARDIZED__HAC_WARD__K3,R0_STANDARDIZED,HAC_WARD,3,81,13,3,0.27688525180246065,1.3603487642539944,34.231324220025456,13,48,,,,True,True
R0_STANDARDIZED__HAC_WARD__K4,R0_STANDARDIZED,HAC_WARD,4,81,13,4,0.2727913753494315,1.296221805194663,33.110372523970064,13,34,,,,True,True
R0_STANDARDIZED__HAC_WARD__K5,R0_STANDARDIZED,HAC_WARD,5,81,13,5,0.26197370302118633,1.396286212255082,30.067378630147815,9,34,,,,True,True
R0_STANDARDIZED__HAC_WARD__K6,R0_STANDARDIZED,HAC_WARD,6,81,13,6,0.2596638979921513,1.3843236307222917,29.018546307812393,9,25,,,,True,True
R0_STANDARDIZED__KMEANS__K2,R0_STANDARDIZED,KMEANS,2,81,13,2,0.3351919060650141,1.0227041459560755,37.44861198934348,16,65,,,714.3666084024485,True,True
R0_STANDARDIZED__KMEANS__K3,R0_STANDARDIZED,KMEANS,3,81,13,3,0.2998738937373569,1.2136233382887063,36.67999843593935,17,46,,,542.640074639561,True,True
R0_STANDARDIZED__KMEANS__K4,R0_STANDARDIZED,KMEANS,4,81,13,4,0.28582928792812,1.229390542119663,35.052306897697264,13,37,,,445.1162200782359,True,True
R0_STANDARDIZED__KMEANS__K5,R0_STANDARDIZED,KMEANS,5,81,13,5,0.2835288105690803,1.368425671005838,33.27351583103977,13,20,,,382.73683493314866,True,True
R0_STANDARDIZED__KMEANS__K6,R0_STANDARDIZED,KMEANS,6,81,13,6,0.2744662721947953,1.3424577049495614,30.706183167839768,7,19,,,345.5768761525866,True,True
R1_PCA_85__GMM_DIAG__K2,R1_PCA_85,GMM_DIAG,2,81,5,2,0.22929061803975906,0.8263977638215929,10.990037222836174,6,75,1329.0588158834887,1278.7753836353675,,True,True
R1_PCA_85__GMM_DIAG__K3,R1_PCA_85,GMM_DIAG,3,81,5,3,0.2921761319137789,1.0285305996270362,32.23325303194472,6,47,1328.6201436371573,1251.9977706876393,,True,True
R1_PCA_85__GMM_DIAG__K4,R1_PCA_85,GMM_DIAG,4,81,5,4,0.23714186057563105,1.159581764233071,22.203671602158813,6,39,1324.0859966390544,1221.1246829881395,,True,True
R1_PCA_85__GMM_DIAG__K5,R1_PCA_85,GMM_DIAG,5,81,5,5,0.3382887227151773,0.9302826081555982,41.74177071338974,7,39,1346.241876729941,1216.9416223776293,,True,True
R1_PCA_85__GMM_DIAG__K6,R1_PCA_85,GMM_DIAG,6,81,5,6,0.29081956853224955,0.9900634611358708,34.22831481991959,6,32,1331.9924405008514,1176.3532454471429,,True,True
R1_PCA_85__HAC_WARD__K2,R1_PCA_85,HAC_WARD,2,81,5,2,0.4108366444914675,0.7760107265875373,46.174845454458506,13,68,,,,True,True
R1_PCA_85__HAC_WARD__K3,R1_PCA_85,HAC_WARD,3,81,5,3,0.3360816510079463,1.178930747935072,46.295653974702375,13,46,,,,True,True
R1_PCA_85__HAC_WARD__K4,R1_PCA_85,HAC_WARD,4,81,5,4,0.3185781285389345,1.0765765943506334,43.94616283453051,11,35,,,,True,True
R1_PCA_85__HAC_WARD__K5,R1_PCA_85,HAC_WARD,5,81,5,5,0.31329491909589585,1.122418686068073,42.55868390053699,9,35,,,,True,True
R1_PCA_85__HAC_WARD__K6,R1_PCA_85,HAC_WARD,6,81,5,6,0.33178612192775675,1.0998750636261565,44.8243041690163,9,20,,,,True,True
R1_PCA_85__KMEANS__K2,R1_PCA_85,KMEANS,2,81,5,2,0.38228013934506855,0.8966314430369156,46.34151317488878,16,65,,,576.2224435885959,True,True
R1_PCA_85__KMEANS__K3,R1_PCA_85,KMEANS,3,81,5,3,0.3564530228052238,1.0355772573406568,48.76911997610364,17,46,,,406.238308357493,True,True
R1_PCA_85__KMEANS__K4,R1_PCA_85,KMEANS,4,81,5,4,0.3510711873340892,1.0111194601129245,49.90782403622014,13,37,,,310.49331434906674,True,True
R1_PCA_85__KMEANS__K5,R1_PCA_85,KMEANS,5,81,5,5,0.35067431908356794,1.098480621174487,50.17402844683382,13,20,,,251.11262312364371,True,True
