candidate_id,representation,algorithm,k_requested,cluster,size
R0_STANDARDIZED__KMEANS__K2,R0_STANDARDIZED,KMEANS,2,0,16
R0_STANDARDIZED__KMEANS__K2,R0_STANDARDIZED,KMEANS,2,1,65
R0_STANDARDIZED__HAC_WARD__K2,R0_STANDARDIZED,HAC_WARD,2,0,68
R0_STANDARDIZED__HAC_WARD__K2,R0_STANDARDIZED,HAC_WARD,2,1,13
R0_STANDARDIZED__GMM_DIAG__K2,R0_STANDARDIZED,GMM_DIAG,2,0,67
R0_STANDARDIZED__GMM_DIAG__K2,R0_STANDARDIZED,GMM_DIAG,2,1,14
R0_STANDARDIZED__KMEANS__K3,R0_STANDARDIZED,KMEANS,3,0,18
R0_STANDARDIZED__KMEANS__K3,R0_STANDARDIZED,KMEANS,3,1,46
R0_STANDARDIZED__KMEANS__K3,R0_STANDARDIZED,KMEANS,3,2,17
R0_STANDARDIZED__HAC_WARD__K3,R0_STANDARDIZED,HAC_WARD,3,0,48
R0_STANDARDIZED__HAC_WARD__K3,R0_STANDARDIZED,HAC_WARD,3,1,13
R0_STANDARDIZED__HAC_WARD__K3,R0_STANDARDIZED,HAC_WARD,3,2,20
R0_STANDARDIZED__GMM_DIAG__K3,R0_STANDARDIZED,GMM_DIAG,3,0,47
R0_STANDARDIZED__GMM_DIAG__K3,R0_STANDARDIZED,GMM_DIAG,3,1,19
R0_STANDARDIZED__GMM_DIAG__K3,R0_STANDARDIZED,GMM_DIAG,3,2,15
R0_STANDARDIZED__KMEANS__K4,R0_STANDARDIZED,KMEANS,4,0,16
R0_STANDARDIZED__KMEANS__K4,R0_STANDARDIZED,KMEANS,4,1,37
R0_STANDARDIZED__KMEANS__K4,R0_STANDARDIZED,KMEANS,4,2,13
R0_STANDARDIZED__KMEANS__K4,R0_STANDARDIZED,KMEANS,4,3,15
R0_STANDARDIZED__HAC_WARD__K4,R0_STANDARDIZED,HAC_WARD,4,0,20
R0_STANDARDIZED__HAC_WARD__K4,R0_STANDARDIZED,HAC_WARD,4,1,13
R0_STANDARDIZED__HAC_WARD__K4,R0_STANDARDIZED,HAC_WARD,4,2,34
R0_STANDARDIZED__HAC_WARD__K4,R0_STANDARDIZED,HAC_WARD,4,3,14
R0_STANDARDIZED__GMM_DIAG__K4,R0_STANDARDIZED,GMM_DIAG,4,0,15
R0_STANDARDIZED__GMM_DIAG__K4,R0_STANDARDIZED,GMM_DIAG,4,1,13
R0_STANDARDIZED__GMM_DIAG__K4,R0_STANDARDIZED,GMM_DIAG,4,2,32
R0_STANDARDIZED__GMM_DIAG__K4,R0_STANDARDIZED,GMM_DIAG,4,3,21
R0_STANDARDIZED__KMEANS__K5,R0_STANDARDIZED,KMEANS,5,0,15
R0_STANDARDIZED__KMEANS__K5,R0_STANDARDIZED,KMEANS,5,1,19
R0_STANDARDIZED__KMEANS__K5,R0_STANDARDIZED,KMEANS,5,2,13
R0_STANDARDIZED__KMEANS__K5,R0_STANDARDIZED,KMEANS,5,3,14
R0_STANDARDIZED__KMEANS__K5,R0_STANDARDIZED,KMEANS,5,4,20
R0_STANDARDIZED__HAC_WARD__K5,R0_STANDARDIZED,HAC_WARD,5,0,34
