candidate_id,within_cluster_consensus_mean,within_cluster_consensus_median,within_cluster_consensus_p025,between_cluster_consensus_mean,between_cluster_consensus_median,between_cluster_consensus_p975,consensus_separation
R1_PCA_85__HAC_WARD__K2,0.9960954034925531,1.0,0.970125786163522,0.0026586969670006153,0.0,0.025350568194620723,0.9934367065255525
R0_STANDARDIZED__HAC_WARD__K2,0.9982690297729709,1.0,0.9843382253274678,0.0016170444066831318,0.0,0.013698210633375335,0.9966519853662879
R1_PCA_85__KMEANS__K2,0.9489444017503117,1.0,0.5142329604428555,0.08013251568157678,0.0,0.43299707546448496,0.8688118860687349
R0_STANDARDIZED__KMEANS__K2,0.9402697085826391,1.0,0.4292059225273186,0.07743452281029956,0.0,0.5472307896375925,0.8628351857723395
R1_PCA_85__KMEANS__K5,0.8910077195811427,0.9873217115689382,0.3635407129511772,0.02941208992499905,0.0,0.46928777106745156,0.8615956296561437
R0_STANDARDIZED__GMM_DIAG__K2,0.7842948232180529,0.880748530505681,0.45891295078890226,0.19683821302509732,0.10054970059880236,0.5146855768603829,0.5874566101929556
R1_PCA_85__HAC_WARD__K3,0.9027006948475454,0.9702878172837093,0.3158290095846645,0.14174976418753127,0.0091188780176834,0.6733680423632219,0.7609509306600142
R1_PCA_85__GMM_DIAG__K5,0.7046150260337306,0.7223926380368099,0.23965249518098095,0.09026756982612158,0.0303951367781155,0.5091194968553455,0.614347456207609
R0_STANDARDIZED__GMM_DIAG__K6,0.5322088873004855,0.621753293213755,0.022602784642359125,0.09171041891236639,0.0093896713615023,0.647363717922314,0.4404984683881191
R1_PCA_85__GMM_DIAG__K4,0.5608644046592838,0.652620863209277,0.018401471272143064,0.2292474977329845,0.1538461538461538,0.8281139293983255,0.3316169069262993
R1_PCA_85__GMM_DIAG__K2,0.6629768459460725,0.7271305602425844,0.17669356836926126,0.5396296366469397,0.6682211538461538,0.8666479247973304,0.12334720929913279
